
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 17, 2005 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,524	1,446	3	9	82	83	150	138													
NEW ENGLAND	124	132	-	1	10	8	5	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	6	14	-	-	-	2	-	-													
Vt.	7	5	-	-	-	-	2	1													
Mass.	59	62	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	39	36	-	-	5	3	1	-													
MID. ATLANTIC	307	289	-	1	-	4	37	32													
Upstate N.Y.	91	99	-	1	-	4	8	5													
N.Y. City	55	65	-	-	-	-	10	12													
N.J.	59	54	-	-	-	-	9	2													
Pa.	102	71	-	-	-	-	10	13													
E.N. CENTRAL	219	274	1	-	4	8	15	41													
Ohio	93	79	-	-	-	2	9	14													
Ind.	53	38	-	-	4	4	-	1													
Ill.	35	96	-	-	-	-	3	20													
Mich.	17	18	1	-	-	2	2	4													
Wis.	21	43	-	-	-	-	1	2													
W.N. CENTRAL	81	80	-	2	3	3	9	8													
Minn.	36	36	-	1	3	3	2	-													
Iowa	1	1	-	1	-	-	-	-													
Mo.	28	30	-	-	-	-	5	6													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	7	4	-	-	-	-	1	1													
Kans.	8	6	-	-	-	-	-	1													
S. ATLANTIC	365	332	1	-	22	22	21	24													
Del.	-	-	-	-	-	-	-	-													
Md.	54	51	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	37	31	-	-	-	-	2	4													
W. Va.	22	15	-	-	1	4	4	-													
N.C.	64	44	1	-	7	5	-	1													
S.C.	20	10	-	-	-	-	1	1													
Ga.	71	91	-	-	-	-	10	16													
Fla.	97	88	-	-	9	8	4	1													
E.S. CENTRAL	88	58	-	1	1	-	16	7													
Ky.	8	5	-	-	1	-	2	-													
Tenn.	62	39	-	-	-	-	10	5													
Ala.	18	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	85	56	1	1	7	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	11	1	-	2	-	6	1													
Okla.	51	43	-	-	4	6	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	171	153	-	3	13	22	31	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	1	-	-	-	1	1	-													
Colo.	34	39	-	-	-	-	9	5													
N. Mex.	16	32	-	-	4	7	2	6													
Ariz.	88	53	-	-	7	9	10	2													
Utah	13	12	-	2	-	2	6	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	84	72	-	-	22	10	10	6													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	33	-	-	-	-	5	2													
Calif.	39	25	-	-	22	10	2	1													
Alaska	5	5	-	-	-	-	1	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


