
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 1, 2005 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,608	1,496	4	9	88	84	164	141													
NEW ENGLAND	128	138	-	1	10	8	5	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	6	15	-	-	-	2	-	-													
Vt.	8	6	-	-	-	-	2	1													
Mass.	61	65	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	40	37	-	-	5	3	1	-													
MID. ATLANTIC	321	306	-	1	-	4	37	32													
Upstate N.Y.	95	102	-	1	-	4	8	5													
N.Y. City	58	68	-	-	-	-	10	12													
N.J.	63	58	-	-	-	-	9	2													
Pa.	105	78	-	-	-	-	10	13													
E.N. CENTRAL	222	286	1	-	4	8	16	42													
Ohio	94	80	-	-	-	2	10	14													
Ind.	54	40	-	-	4	4	-	1													
Ill.	35	101	-	-	-	-	3	20													
Mich.	18	18	1	-	-	2	2	4													
Wis.	21	47	-	-	-	-	1	3													
W.N. CENTRAL	86	83	-	2	3	3	9	8													
Minn.	37	37	-	1	3	3	2	-													
Iowa	1	1	-	1	-	-	-	-													
Mo.	30	32	-	-	-	-	5	6													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	8	4	-	-	-	-	1	1													
Kans.	9	6	-	-	-	-	-	1													
S. ATLANTIC	383	338	1	-	23	23	24	25													
Del.	-	-	-	-	-	-	-	-													
Md.	57	53	-	-	5	5	1	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	38	32	-	-	-	-	2	5													
W. Va.	23	15	-	-	1	4	4	-													
N.C.	67	45	1	-	8	6	-	1													
S.C.	23	10	-	-	-	-	2	1													
Ga.	74	91	-	-	-	-	10	16													
Fla.	101	90	-	-	9	8	5	1													
E.S. CENTRAL	91	58	-	1	1	-	17	7													
Ky.	8	5	-	-	1	-	2	-													
Tenn.	65	39	-	-	-	-	11	5													
Ala.	18	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	85	59	1	1	7	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	12	1	-	2	-	6	1													
Okla.	51	45	-	-	4	6	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	180	153	-	3	13	22	36	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	1	-	-	-	1	1	-													
Colo.	35	39	-	-	-	-	9	5													
N. Mex.	16	32	-	-	4	7	2	6													
Ariz.	96	53	-	-	7	9	15	2													
Utah	13	12	-	2	-	2	6	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	112	75	1	-	27	10	14	7													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	36	-	-	-	-	5	3													
Calif.	47	25	1	-	27	10	2	1													
Alaska	25	5	-	-	-	-	5	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


