
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 5, 2005 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	34,502	774,093	779,488	3,904	4,967	6,294	3,142													
NEW ENGLAND	778	1,129	26,634	25,519	-	-	301	161													
Maine	11	23	1,900	1,774	N	N	25	18													
N.H.	20	39	1,538	1,478	-	-	30	30													
Vt.	4	14	779	955	-	-	35	23													
Mass.	368	425	12,055	11,260	-	-	126	59													
R.I.	68	114	2,732	2,890	-	-	11	4													
Conn.	307	514	7,630	7,162	N	N	74	27													
MID. ATLANTIC	4,352	7,360	97,536	95,193	-	-	2,760	510													
Upstate N.Y.	800	837	19,618	19,138	N	N	2,362	159													
N.Y. City	2,327	4,039	30,639	29,396	-	-	116	122													
N.J.	574	1,229	15,503	15,002	N	N	48	42													
Pa.	651	1,255	31,776	31,657	N	N	234	187													
E.N. CENTRAL	1,938	2,816	126,008	137,771	10	13	1,349	946													
Ohio	312	540	33,584	33,782	N	N	727	198													
Ind.	236	326	16,692	15,765	N	N	73	69													
Ill.	983	1,274	38,170	40,505	-	-	128	146													
Mich.	322	535	21,743	31,449	10	13	92	137													
Wis.	85	141	15,819	16,270	N	N	329	396													
W.N. CENTRAL	463	710	47,993	48,133	5	6	531	361													
Minn.	123	190	9,335	10,025	3	N	127	119													
Iowa	50	57	6,072	5,915	N	N	102	78													
Mo.	198	296	18,979	17,746	1	3	238	64													
N. Dak.	5	15	995	1,533	N	N	1	10													
S. Dak.	10	8	2,340	2,140	-	-	24	37													
Nebr.	18	44	4,350	4,447	1	3	7	26													
Kans.	59	100	5,922	6,327	N	N	32	27													
S. ATLANTIC	6,473	10,881	147,767	146,952	2	-	606	464													
Del.	100	131	2,892	2,490	N	N	3	-													
Md.	812	1,292	15,512	15,998	2	-	33	19													
D.C.	467	785	3,269	3,038	-	-	10	14													
Va.	307	565	17,750	18,960	-	-	60	54													
W. Va.	36	71	2,271	2,376	N	N	13	6													
N.C.	531	1,014	26,366	24,877	N	N	77	70													
S.C.	386	640	17,809	16,015	-	-	16	21													
Ga.	1,103	1,375	25,798	27,440	-	-	101	164													
Fla.	2,731	5,008	36,100	35,758	N	N	293	116													
E.S. CENTRAL	1,093	1,646	58,129	51,063	-	5	187	126													
Ky.	135	212	7,534	4,880	N	N	129	39													
Tenn.	434	684	20,349	19,022	N	N	37	38													
Ala.	295	381	12,954	11,560	-	-	17	21													
Miss.	229	369	17,292	15,601	-	5	4	28													
W.S. CENTRAL	2,206	4,000	89,705	94,883	1	3	173	120													
Ark.	72	183	7,416	6,814	-	1	5	15													
La.	436	799	13,997	18,979	1	2	76	5													
Okla.	167	169	9,236	9,258	N	N	40	21													
Tex.	1,531	2,849	59,056	59,832	N	N	52	79													
MOUNTAIN	789	1,233	44,123	47,577	2,653	3,103	112	149													
Mont.	4	5	1,765	2,106	N	N	16	34													
Idaho	9	17	1,826	2,321	N	N	11	24													
Wyo.	2	14	970	898	3	2	3	3													
Colo.	163	278	11,521	12,283	N	N	43	50													
N. Mex.	72	164	4,394	7,601	13	20	5	16													
Ariz.	329	454	14,712	13,743	2,600	3,006	10	15													
Utah	33	53	3,609	3,145	5	22	15	5													
Nev.	177	248	5,326	5,480	32	53	9	2													
PACIFIC	2,313	4,727	136,198	132,397	1,233	1,837	275	305													
Wash.	229	348	15,781	14,899	N	N	43	33													
Oreg.	136	249	6,327	7,095	-	-	64	29													
Calif.	1,874	3,981	108,012	102,548	1,233	1,837	164	241													
Alaska	14	43	3,369	3,273	-	-	3	-													
Hawaii	60	106	2,709	4,582	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	614	3,193	2,878	N	N	N	N													
V.I.	10	18	155	298	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


