
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 17, 2005 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	30,568	40,144	877,240	887,380	4,809	5,769	7,212	3,473													
NEW ENGLAND	1,141	1,257	30,129	28,992	-	-	328	164													
Maine	19	48	2,165	2,028	N	N	26	20													
N.H.	26	42	1,752	1,677	-	-	34	30													
Vt.	7	15	916	1,098	-	-	39	24													
Mass.	561	451	13,692	12,871	-	-	138	59													
R.I.	105	131	3,050	3,305	-	-	13	4													
Conn.	423	570	8,554	8,013	N	N	78	27													
MID. ATLANTIC	6,597	10,042	111,606	109,144	-	-	3,313	564													
Upstate N.Y.	891	1,985	22,581	22,290	N	N	2,855	178													
N.Y. City	3,522	4,875	35,873	33,159	-	-	130	135													
N.J.	956	1,766	17,273	16,980	N	N	64	44													
Pa.	1,228	1,416	35,879	36,715	N	N	264	207													
E.N. CENTRAL	2,929	3,174	148,390	156,972	11	14	1,459	1,017													
Ohio	518	585	39,420	38,479	N	N	766	218													
Ind.	348	348	18,976	17,922	N	N	83	74													
Ill.	1,504	1,474	44,632	45,898	-	-	145	153													
Mich.	439	612	27,637	36,069	11	14	107	155													
Wis.	120	155	17,725	18,604	N	N	358	417													
W.N. CENTRAL	690	800	53,722	54,966	5	6	576	409													
Minn.	176	215	9,986	11,285	3	N	148	132													
Iowa	72	63	6,913	6,741	N	N	107	88													
Mo.	299	323	21,406	20,500	1	3	244	76													
N. Dak.	9	17	1,140	1,700	N	N	1	12													
S. Dak.	13	11	2,618	2,442	-	-	30	42													
Nebr.	27	58	4,817	5,022	1	3	9	28													
Kans.	94	113	6,842	7,276	N	N	37	31													
S. ATLANTIC	9,183	12,113	163,715	166,280	2	-	711	511													
Del.	134	157	3,257	2,863	N	N	6	-													
Md.	1,370	1,363	17,632	18,987	2	-	40	24													
D.C.	474	988	3,660	3,402	-	-	16	15													
Va.	441	613	18,916	20,991	-	-	62	58													
W. Va.	51	83	2,580	2,689	N	N	17	6													
N.C.	636	1,063	29,254	28,473	N	N	91	76													
S.C.	413	745	19,310	18,046	-	-	18	23													
Ga.	1,701	1,507	28,184	30,130	-	-	122	173													
Fla.	3,963	5,594	40,922	40,699	N	N	339	136													
E.S. CENTRAL	1,546	1,816	65,688	59,007	-	5	209	146													
Ky.	198	217	7,999	6,241	N	N	144	44													
Tenn.	675	739	22,837	21,723	N	N	40	48													
Ala.	385	433	15,520	12,931	-	-	21	24													
Miss.	288	427	19,332	18,112	-	5	4	30													
W.S. CENTRAL	3,543	4,528	99,172	106,256	1	3	182	135													
Ark.	173	184	8,275	7,676	-	1	6	16													
La.	650	849	14,534	21,098	1	2	81	7													
Okla.	229	195	9,981	10,032	N	N	43	22													
Tex.	2,491	3,300	66,382	67,450	N	N	52	90													
MOUNTAIN	1,172	1,328	50,376	54,925	3,339	3,603	134	169													
Mont.	15	5	2,089	2,414	N	N	23	34													
Idaho	15	17	2,253	2,714	N	N	15	28													
Wyo.	3	16	1,133	1,050	3	2	3	4													
Colo.	260	294	12,535	13,813	N	N	49	59													
N. Mex.	115	173	5,502	8,705	14	22	11	19													
Ariz.	473	501	16,993	16,138	3,281	3,495	10	17													
Utah	55	64	4,204	3,661	9	25	14	6													
Nev.	236	258	5,667	6,430	32	59	9	2													
PACIFIC	3,767	5,086	154,442	150,838	1,451	2,138	300	358													
Wash.	352	367	17,804	16,917	N	N	48	42													
Oreg.	193	277	8,549	8,270	-	-	67	31													
Calif.	3,105	4,271	119,243	116,759	1,451	2,138	181	283													
Alaska	25	48	3,714	3,730	-	-	3	-													
Hawaii	92	123	5,132	5,162	-	-	1	2													
Guam	2	1	-	803	-	-	-	-													
P.R.	814	636	3,539	3,441	N	N	N	N													
V.I.	10	19	196	333	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


