
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 11, 2006 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	65	105	160	534	999	25	34	98	250	103	296	863	1,458	4,269	4,507						
NEW ENGLAND	9	13	33	74	121	-	0	1	-	-	4	41	77	215	220						
Conn.	2	3	13	20	19	-	0	0	-	-	-	9	49	49	36						
Maine	-	1	4	9	8	N	0	0	N	N	-	3	8	6	15						
Mass.	5	4	22	34	82	-	0	1	-	-	2	20	41	134	138						
N.H.	-	0	3	2	2	-	0	1	-	-	1	2	12	15	15						
R.I.	-	0	4	1	2	-	0	1	-	-	1	0	15	9	5						
Vt.	2	1	7	8	8	-	0	0	-	-	-	1	10	2	11						
MID. ATLANTIC	-	18	40	113	114	-	1	7	2	5	35	93	221	416	536						
N.J.	N	0	0	N	N	-	0	2	-	-	-	17	41	18	105						
N.Y. (Upstate)	-	12	24	59	45	-	0	2	-	-	27	21	183	105	109						
N.Y. City	-	0	3	-	6	-	0	2	1	1	-	24	43	109	166						
Pa.	-	7	22	54	63	-	1	6	1	4	8	31	61	184	156						
E.N. CENTRAL	1	3	19	4	9	-	0	6	1	2	34	94	243	521	555						
Ill.	-	1	4	-	3	-	0	3	-	1	-	30	160	94	163						
Ind.	-	0	3	-	1	-	0	1	-	-	10	10	71	67	27						
Mich.	-	0	4	2	2	-	0	1	-	-	3	17	35	105	118						
Ohio	1	0	13	2	3	-	0	3	1	1	21	23	52	195	125						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	60	122						
W.N. CENTRAL	2	7	23	20	46	-	2	16	4	4	7	43	91	268	297						
Iowa	-	1	10	3	9	-	0	2	-	-	-	7	18	38	59						
Kans.	-	1	5	4	10	-	0	2	-	-	-	7	17	45	28						
Minn.	1	1	5	2	12	-	0	1	-	-	5	10	31	62	76						
Mo.	1	1	7	2	4	-	1	14	4	4	2	14	40	90	83						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	8	14	25						
N. Dak.	-	0	4	2	1	-	0	0	-	-	-	0	5	-	3						
S. Dak.	-	1	6	7	10	-	0	2	-	-	-	2	11	19	23						
S. ATLANTIC	45	31	54	253	494	24	16	94	238	72	102	255	509	1,255	1,215						
Del.	-	0	0	-	-	-	0	2	1	-	-	2	9	12	10						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	13	6						
Fla.	5	0	14	31	201	-	0	3	5	3	44	99	230	560	467						
Ga.	-	4	15	16	53	-	1	9	14	1	16	32	76	212	158						
Md.	7	6	16	38	56	1	2	7	10	3	3	14	39	86	92						
N.C.	8	8	19	46	75	23	5	87	206	59	36	30	114	272	243						
S.C.	-	0	0	-	5	-	1	6	2	5	1	21	146	44	96						
Va.	19	10	26	106	102	-	1	10	-	-	-	19	66	47	128						
W. Va.	6	0	13	16	2	-	0	2	-	1	2	2	13	9	15						
E.S. CENTRAL	2	3	9	31	19	-	5	24	2	4	5	56	134	231	263						
Ala.	-	1	5	11	14	-	0	9	1	1	2	14	39	100	81						
Ky.	-	0	3	1	-	-	0	1	-	-	-	7	26	41	29						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	23	33						
Tenn.	2	1	4	19	5	-	3	18	1	3	3	15	40	67	120						
W.S. CENTRAL	2	13	42	11	146	1	2	32	3	1	30	80	165	420	322						
Ark.	-	0	3	1	9	1	0	32	3	-	25	13	67	144	40						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	41	82						
Okla.	2	1	7	10	12	-	0	23	-	-	4	7	26	43	35						
Tex.	-	11	39	-	125	-	0	8	-	-	1	44	132	192	165						
MOUNTAIN	3	4	18	15	35	-	0	4	-	13	16	47	99	265	280						
Ariz.	3	2	11	15	29	-	0	4	-	11	2	13	28	63	91						
Colo.	-	0	2	-	-	-	0	1	-	-	10	10	45	89	67						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	14	15						
Mont.	-	0	3	-	-	-	0	1	-	-	-	2	16	14	17						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	16	33						
N. Mex.	-	0	1	-	1	-	0	1	-	-	-	4	14	15	24						
Utah	-	0	5	-	-	-	0	1	-	2	4	6	31	42	26						
Wyo.	-	0	2	-	5	-	0	1	-	-	-	1	12	12	7						
PACIFIC	1	4	15	13	15	-	0	2	-	2	63	102	407	678	819						
Alaska	-	0	3	5	1	-	0	0	-	-	2	1	5	18	10						
Calif.	1	3	15	8	14	-	0	1	-	2	38	77	282	528	641						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	36	67						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	8	25	52	46						
Wash.	U	0	0	U	U	N	0	0	N	N	23	8	116	44	55						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	3	2	4	21	15	N	0	0	N	N	1	7	23	7	60						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


