
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 18, 2006 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	12,019	18,575	25,022	166,317	199,952	16	101	1,203	1,220	955	30	69	849	451	373						
NEW ENGLAND	289	606	1,519	5,320	5,690	-	0	0	-	-	1	4	34	25	22						
Conn.	-	150	1,182	615	873	N	0	0	N	N	-	0	14	4	3						
Maine	37	43	74	428	464	N	0	0	N	N	-	0	3	4	1						
Mass.	196	276	441	3,040	2,995	-	0	0	-	-	1	2	15	12	7						
N.H.	5	33	64	316	416	-	0	0	-	-	-	0	3	3	4						
R.I.	51	63	99	688	715	-	0	0	-	-	-	0	5	-	1						
Vt.	-	19	43	233	227	N	0	0	N	N	-	0	5	2	6						
MID. ATLANTIC	1,855	2,263	3,698	20,540	23,091	-	0	0	-	-	6	11	595	78	55						
N.J.	163	358	528	2,158	3,886	N	0	0	N	N	-	0	5	-	2						
N.Y. (Upstate)	687	498	1,713	3,965	3,937	N	0	0	N	N	4	3	562	17	14						
N.Y. City	397	703	1,248	7,458	7,303	N	0	0	N	N	-	2	15	18	17						
Pa.	608	691	1,083	6,959	7,965	N	0	0	N	N	2	4	21	43	22						
E.N. CENTRAL	2,199	3,165	4,146	31,061	32,428	1	0	3	8	2	4	13	162	90	72						
Ill.	596	942	1,784	7,798	7,814	-	0	0	-	-	-	1	16	8	13						
Ind.	321	393	558	4,290	4,380	N	0	0	N	N	-	1	13	6	4						
Mich.	1,108	578	1,107	8,654	4,979	-	0	3	4	2	-	2	7	17	11						
Ohio	33	814	1,444	6,960	10,866	1	0	1	4	-	4	5	109	45	23						
Wis.	141	392	531	3,359	4,389	N	0	0	N	N	-	4	38	14	21						
W.N. CENTRAL	520	1,123	1,445	10,942	12,693	-	0	3	-	-	6	8	51	57	48						
Iowa	114	143	223	1,757	1,527	N	0	0	N	N	-	1	11	4	11						
Kans.	146	148	269	1,753	1,612	N	0	0	N	N	-	0	5	12	6						
Minn.	-	228	294	1,589	2,766	-	0	3	-	-	4	2	10	24	10						
Mo.	181	432	525	4,093	4,843	-	0	1	-	-	1	2	37	11	19						
Nebr.	-	97	200	855	1,106	N	0	1	N	N	1	0	2	3	-						
N. Dak.	17	32	50	327	278	N	0	0	N	N	-	0	1	-	-						
S. Dak.	62	52	118	568	561	N	0	0	N	N	-	0	4	3	2						
S. ATLANTIC	2,626	3,290	4,892	31,894	38,689	-	0	1	2	-	10	13	53	139	74						
Del.	67	68	92	786	660	N	0	0	N	N	-	0	2	-	-						
D.C.	39	66	103	384	853	-	0	0	-	-	-	0	3	5	1						
Fla.	793	868	1,029	9,505	9,332	N	0	0	N	N	7	6	28	52	25						
Ga.	21	585	2,018	1,996	5,820	-	0	0	-	-	3	3	12	42	22						
Md.	466	357	525	3,779	3,654	-	0	1	2	-	-	0	4	7	4						
N.C.	579	537	1,743	7,406	7,754	N	0	0	N	N	-	1	10	23	10						
S.C.	147	323	1,418	2,391	4,852	-	0	0	-	-	-	0	4	3	2						
Va.	425	427	841	4,667	5,301	N	0	0	N	N	-	1	8	6	6						
W. Va.	89	49	353	980	463	N	0	0	N	N	-	0	3	1	4						
E.S. CENTRAL	1,776	1,358	2,188	14,133	14,742	-	0	0	-	-	1	3	21	7	8						
Ala.	619	340	1,048	3,847	2,242	N	0	0	N	N	-	0	3	2	4						
Ky.	91	153	323	1,812	2,751	N	0	0	N	N	-	1	20	1	1						
Miss.	544	379	801	3,082	4,841	-	0	0	-	-	-	0	1	-	1						
Tenn.	522	466	624	5,392	4,908	N	0	0	N	N	1	1	4	4	2						
W.S. CENTRAL	556	1,971	3,372	14,261	24,820	-	0	1	-	-	1	3	30	26	12						
Ark.	113	173	340	1,636	1,834	-	0	0	-	-	-	0	1	1	-						
La.	235	222	760	864	3,539	N	0	1	N	N	-	0	21	4	2						
Okla.	208	226	2,160	2,087	2,219	N	0	0	N	N	1	0	10	11	4						
Tex.	-	1,308	1,699	9,674	17,228	N	0	0	N	N	-	1	10	10	6						
MOUNTAIN	169	1,110	1,697	8,526	13,085	-	74	204	818	576	1	2	9	16	27						
Ariz.	100	316	537	3,474	4,649	-	72	204	798	550	-	0	1	2	3						
Colo.	-	282	473	991	3,110	N	0	0	N	N	-	1	3	3	7						
Idaho	-	47	235	450	391	N	0	0	N	N	-	0	2	1	1						
Mont.	51	42	180	272	501	N	0	0	N	N	1	0	3	3	-						
Nev.	16	136	448	1,102	1,563	-	1	4	10	20	-	0	1	1	5						
N. Mex.	-	151	338	1,518	1,694	-	0	2	-	4	-	0	3	-	6						
Utah	2	87	138	447	938	-	0	3	8	2	-	0	3	6	3						
Wyo.	-	23	43	272	239	-	0	2	2	-	-	0	1	-	2						
PACIFIC	2,029	3,175	4,768	29,640	34,714	15	28	1,114	392	377	-	6	50	13	55						
Alaska	63	76	121	674	807	-	0	0	-	-	-	0	2	-	-						
Calif.	1,349	2,427	4,003	22,447	26,788	15	28	1,114	392	377	-	3	14	-	47						
Hawaii	-	105	133	1,089	1,179	N	0	0	N	N	-	0	1	-	-						
Oreg.	243	168	315	1,592	1,879	N	0	0	N	N	-	1	20	13	8						
Wash.	374	359	604	3,838	4,061	N	0	0	N	N	-	0	36	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	100	77	141	1,047	846	N	0	0	N	N	N	0	0	N	N						
V.I.	-	4	12	-	104	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


