
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2006 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	12,484	18,452	25,241	204,070	236,883	195	107	1,203	2,221	1,059	27	70	852	532	448						
NEW ENGLAND	467	616	1,536	6,646	6,643	-	0	0	-	-	-	4	34	32	24						
Conn.	-	156	1,199	913	928	N	0	0	N	N	-	0	14	4	3						
Maine	-	41	74	465	562	N	0	0	N	N	-	0	3	6	3						
Mass.	358	277	441	3,708	3,574	-	0	0	-	-	-	2	15	15	7						
N.H.	19	34	64	415	474	-	0	0	-	-	-	0	3	5	4						
R.I.	74	64	99	828	845	-	0	0	-	-	-	0	6	-	1						
Vt.	16	19	43	317	260	N	0	0	N	N	-	0	5	2	6						
MID. ATLANTIC	1,771	2,202	3,702	19,482	28,353	-	0	0	-	-	5	10	598	77	69						
N.J.	150	356	527	3,016	4,501	N	0	0	N	N	-	0	8	-	5						
N.Y. (Upstate)	521	499	1,715	4,999	4,907	N	0	0	N	N	5	3	562	22	16						
N.Y. City	474	631	1,167	2,308	9,617	N	0	0	N	N	-	2	15	7	22						
Pa.	626	714	1,084	9,159	9,328	N	0	0	N	N	-	4	21	48	26						
E.N. CENTRAL	2,136	3,193	4,146	40,777	38,332	-	0	3	9	2	13	13	162	116	86						
Ill.	422	959	1,784	10,077	9,612	-	0	0	-	-	-	1	16	8	13						
Ind.	319	393	558	5,061	5,117	N	0	0	N	N	3	1	13	9	5						
Mich.	1,206	577	1,928	12,369	6,153	-	0	3	5	2	3	2	7	23	12						
Ohio	97	812	1,445	8,464	12,284	-	0	1	4	-	7	5	109	56	26						
Wis.	92	396	531	4,806	5,166	N	0	0	N	N	-	4	38	20	30						
W.N. CENTRAL	766	1,119	1,449	13,649	14,883	-	0	1	-	3	-	9	51	69	61						
Iowa	105	143	225	2,059	1,764	N	0	0	N	N	-	1	11	5	13						
Kans.	216	151	269	2,102	1,882	N	0	0	N	N	-	0	5	13	7						
Minn.	1	228	294	2,128	3,221	-	0	0	-	3	-	2	10	30	15						
Mo.	208	435	525	5,049	5,675	-	0	1	-	-	-	2	37	15	24						
Nebr.	175	97	150	1,290	1,311	N	0	1	N	N	-	0	2	3	-						
N. Dak.	-	32	50	362	337	N	0	0	N	N	-	0	1	-	-						
S. Dak.	61	52	118	659	693	N	0	0	N	N	-	0	4	3	2						
S. ATLANTIC	3,429	3,246	4,928	39,858	45,664	-	0	1	2	-	6	14	53	164	87						
Del.	84	69	92	948	777	N	0	0	N	N	-	0	2	-	-						
D.C.	32	64	103	478	995	-	0	0	-	-	-	0	3	5	1						
Fla.	674	868	1,032	11,254	11,024	N	0	0	N	N	6	6	28	62	28						
Ga.	14	585	2,057	3,670	7,377	-	0	0	-	-	-	3	12	54	25						
Md.	195	364	525	4,367	4,371	-	0	1	2	-	-	0	4	7	4						
N.C.	555	548	1,743	8,789	8,718	N	0	0	N	N	-	1	10	23	12						
S.C.	1,306	312	1,418	4,013	5,673	-	0	0	-	-	-	0	4	3	4						
Va.	480	425	841	5,226	6,175	N	0	0	N	N	-	1	8	9	9						
W. Va.	89	48	353	1,113	554	N	0	0	N	N	-	0	3	1	4						
E.S. CENTRAL	1,184	1,374	2,188	17,153	17,022	-	0	0	-	-	1	3	21	11	8						
Ala.	398	351	1,048	4,925	2,446	N	0	0	N	N	1	0	3	5	4						
Ky.	280	150	323	2,343	3,087	N	0	0	N	N	-	1	20	2	1						
Miss.	-	381	801	3,524	5,731	-	0	0	-	-	-	0	1	-	1						
Tenn.	506	457	624	6,361	5,758	N	0	0	N	N	-	1	4	4	2						
W.S. CENTRAL	592	1,939	3,373	20,610	29,134	-	0	1	-	-	1	3	30	27	15						
Ark.	130	170	340	1,967	2,183	-	0	0	-	-	1	0	1	2	-						
La.	267	221	760	1,417	4,500	N	0	1	N	N	-	0	21	4	3						
Okla.	195	226	2,160	2,527	2,588	N	0	0	N	N	-	0	10	11	6						
Tex.	-	1,319	1,699	14,699	19,863	N	0	0	N	N	-	1	14	10	6						
MOUNTAIN	355	1,098	1,705	9,980	15,424	185	77	229	1,779	626	-	2	9	18	31						
Ariz.	320	311	536	4,072	5,475	185	76	225	1,755	596	-	0	1	2	3						
Colo.	-	273	480	1,396	3,711	N	0	0	N	N	-	1	3	4	8						
Idaho	-	45	235	450	413	N	0	0	N	N	-	0	2	1	3						
Mont.	10	42	181	283	583	N	0	0	N	N	-	0	3	4	-						
