
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2006 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	55	105	165	874	1,388	13	34	99	278	142	358	866	1,965	5,907	6,008						
NEW ENGLAND	12	12	33	114	165	-	0	1	-	1	4	40	78	291	319						
Conn.	-	3	13	23	21	-	0	0	-	-	-	8	71	71	72						
Maine	1	1	4	14	11	N	0	0	N	N	-	3	8	11	22						
Mass.	11	4	22	60	115	-	0	1	-	-	2	20	41	178	178						
N.H.	-	0	3	4	2	-	0	1	-	-	-	2	12	17	19						
R.I.	-	0	4	1	2	-	0	0	-	1	2	0	17	11	11						
Vt.	-	1	7	12	14	-	0	0	-	-	-	1	10	3	17						
MID. ATLANTIC	11	18	40	135	168	-	1	8	4	8	41	93	238	552	738						
N.J.	N	0	0	N	N	-	0	2	-	1	-	17	41	45	144						
N.Y. (Upstate)	11	11	24	81	74	-	0	2	-	-	30	21	199	153	169						
N.Y. City	-	0	3	-	7	-	0	2	2	1	1	24	43	111	209						
Pa.	-	7	22	54	87	-	1	6	2	6	10	31	61	243	216						
E.N. CENTRAL	-	2	19	5	11	-	0	6	2	3	56	97	206	732	778						
Ill.	-	1	4	-	3	-	0	3	1	1	-	30	124	114	237						
Ind.	-	0	3	-	1	-	0	1	-	-	28	11	71	101	52						
Mich.	-	0	4	3	3	-	0	1	-	1	2	17	35	143	164						
Ohio	-	0	12	2	4	-	0	3	1	1	26	24	52	259	163						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	115	162						
W.N. CENTRAL	2	6	23	39	68	1	2	16	5	4	17	42	92	386	403						
Iowa	-	1	10	13	14	-	0	2	-	-	-	7	18	50	76						
Kans.	2	1	4	11	21	1	0	2	1	-	1	7	17	61	42						
Minn.	-	1	5	2	12	-	0	1	-	-	7	10	31	97	105						
Mo.	-	1	7	3	7	-	1	14	4	4	7	14	40	124	107						
Nebr.	-	0	0	-	-	-	0	2	-	-	2	2	10	30	37						
N. Dak.	-	0	4	2	1	-	0	0	-	-	-	0	5	1	8						
S. Dak.	-	1	6	8	13	-	0	2	-	-	-	2	11	23	28						
S. ATLANTIC	15	34	54	356	632	12	17	95	259	104	101	257	507	1,639	1,569						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	12	12						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	15	10						
Fla.	-	0	15	46	201	-	0	3	6	5	66	99	230	712	608						
Ga.	-	4	15	16	70	-	1	9	15	4	12	34	73	260	208						
Md.	1	6	16	59	76	-	2	7	13	5	5	14	39	110	124						
N.C.	7	8	19	77	107	12	4	87	218	80	15	32	114	333	309						
S.C.	-	4	11	-	39	-	1	6	3	6	-	21	146	61	126						
Va.	7	10	26	142	134	-	2	10	2	2	-	20	66	121	153						
W. Va.	-	0	13	16	5	-	0	2	-	1	3	3	13	15	19						
E.S. CENTRAL	2	2	9	38	27	-	5	24	4	5	20	56	134	314	338						
Ala.	2	1	5	15	18	-	0	9	1	1	12	13	39	126	103						
Ky.	-	0	3	4	-	-	0	1	-	-	2	7	26	55	36						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	39	48						
Tenn.	-	1	4	19	9	-	3	18	3	4	6	14	40	94	151						
W.S. CENTRAL	9	13	42	143	241	-	2	34	3	1	29	85	783	686	439						
Ark.	2	0	3	3	10	-	0	32	3	-	8	16	67	222	56						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	62	105						
Okla.	-	1	7	11	26	-	0	23	-	-	-	6	26	49	52						
Tex.	7	12	39	129	205	-	0	8	-	-	21	45	750	353	226						
MOUNTAIN	1	4	19	19	48	-	0	4	1	16	26	50	112	424	377						
Ariz.	1	2	11	19	41	-	0	4	1	12	6	13	28	132	121						
Colo.	-	0	2	-	-	-	0	1	-	-	13	10	45	127	94						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	16	22						
Mont.	-	0	3	-	-	-	0	1	-	-	4	2	16	23	18						
