
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 15, 2006 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	61	103	188	1,182	1,708	9	35	98	292	166	285	865	2,137	6,679	7,112						
NEW ENGLAND	4	12	26	136	217	-	0	1	-	1	3	40	85	342	390						
Conn.	-	3	13	32	36	-	0	0	-	-	-	8	78	78	88						
Maine	2	1	4	20	15	N	0	0	N	N	-	2	8	11	28						
Mass.	2	4	14	66	144	-	0	1	-	-	1	20	41	217	211						
N.H.	-	0	3	5	2	-	0	1	-	-	2	2	12	21	25						
R.I.	-	0	4	1	4	-	0	0	-	1	-	0	17	11	15						
Vt.	-	1	7	12	16	-	0	0	-	-	-	1	10	4	23						
MID. ATLANTIC	9	18	40	201	222	-	1	8	5	13	33	93	275	687	877						
N.J.	N	0	0	N	N	-	0	3	-	3	-	16	41	70	171						
N.Y. (Upstate)	9	12	24	108	96	-	0	2	-	-	26	21	234	181	197						
N.Y. City	-	0	3	-	9	-	0	2	2	1	-	23	44	159	257						
Pa.	-	7	22	93	117	-	1	6	3	9	7	31	61	277	252						
E.N. CENTRAL	-	2	69	4	14	-	0	6	2	3	14	98	209	812	941						
Ill.	-	1	4	-	4	-	0	3	1	1	-	29	125	121	308						
Ind.	-	0	3	-	1	-	0	1	-	-	-	12	71	113	62						
Mich.	-	0	4	3	5	-	0	1	-	1	2	17	35	160	189						
Ohio	-	0	66	1	4	-	0	3	1	1	12	23	52	280	194						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	138	188						
