
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 6, 2006 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	54	100	188	1,459	2,139	4	36	98	318	197	326	870	2,209	8,378	8,915						
NEW ENGLAND	6	13	26	185	288	-	0	2	-	1	5	38	111	445	549						
Conn.	-	3	13	38	51	-	0	0	-	-	-	8	104	104	113						
Maine	1	1	4	23	20	N	0	0	N	N	-	2	8	15	43						
Mass.	5	4	17	101	166	-	0	1	-	-	5	20	41	271	290						
N.H.	-	0	2	5	2	-	0	1	-	-	-	2	12	27	31						
R.I.	-	0	4	1	5	-	0	2	-	1	-	0	17	20	15						
Vt.	-	1	14	17	44	-	0	0	-	-	-	1	11	8	57						
MID. ATLANTIC	10	18	40	274	281	-	1	8	5	12	39	91	274	882	1,091						
N.J.	N	0	0	N	N	-	0	3	-	3	-	14	41	79	212						
N.Y. (Upstate)	10	11	24	140	128	-	0	2	-	-	21	22	234	233	254						
N.Y. City	-	0	3	-	10	-	0	2	2	-	5	21	44	229	305						
Pa.	-	7	22	134	143	-	1	6	3	9	13	31	60	341	320						
E.N. CENTRAL	2	2	69	10	21	-	0	6	4	4	17	95	206	1,058	1,201						
Ill.	-	0	4	-	9	-	0	3	1	1	-	27	126	170	398						
Ind.	2	0	3	2	2	-	0	1	1	-	4	11	69	146	102						
Mich.	-	0	4	6	6	-	0	1	-	1	3	18	35	202	227						
Ohio	-	0	66	2	4	-	0	3	2	2	10	24	52	339	249						
Wis.	N	0	2	N	N	-	0	1	-	-	-	15	45	201	225						
W.N. CENTRAL	2	5	16	72	109	2	2	17	12	13	23	44	90	591	587						
Iowa	-	0	4	14	-	-	0	2	-	1	1	7	18	90	109						
Kans.	-	1	5	24	34	1	0	2	1	2	4	7	17	87	67						
Minn.	1	1	5	8	23	-	0	1	1	-	5	10	30	147	147						
Mo.	1	1	7	7	12	1	2	15	10	9	13	15	40	193	160						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	3	10	40	51						
N. Dak.	-	0	4	2	8	-	0	0	-	-	-	0	5	4	13						
S. Dak.	-	1	5	17	32	-	0	2	-	1	-	3	11	30	40						
S. ATLANTIC	14	35	57	514	841	-	18	94	278	130	104	264	522	2,212	2,246						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	22	18						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	19	13						
Fla.	-	0	27	58	201	-	0	3	9	8	67	99	230	1,018	884						
Ga.	-	4	27	43	104	-	1	11	16	14	13	37	88	329	325						
Md.	-	6	16	59	97	-	2	7	13	10	-	14	39	123	176						
N.C.	9	8	20	110	163	-	5	87	228	85	21	30	114	394	357						
S.C.	-	3	11	39	63	-	1	6	5	7	-	21	146	98	203						
Va.	-	10	26	175	200	-	2	10	5	4	3	21	78	185	237						
W. Va.	5	1	13	30	13	-	0	2	-	1	-	3	19	24	33						
E.S. CENTRAL	6	3	9	77	66	1	5	24	11	14	4	56	135	412	507						
Ala.	6	1	5	25	19	1	0	9	6	3	1	14	39	148	123						
Ky.	-	0	3	4	4	-	0	1	-	-	3	8	26	91	83						
Miss.	-	0	1	-	-	-	0	3	-	1	-	13	66	49	91						
Tenn.	-	1	7	48	43	-	3	18	5	10	-	14	41	124	210						
W.S. CENTRAL	11	13	30	241	400	1	2	34	6	7	42	85	884	906	726						
Ark.	2	0	3	11	11	-	0	32	4	2	8	16	67	245	100						
La.	-	0	0	-	-	-	0	2	-	2	-	14	42	91	188						
Okla.	9	1	7	20	38	1	0	23	1	3	7	6	26	68	80						
Tex.	-	12	27	210	351	-	0	8	1	-	27	45	844	502	358						
MOUNTAIN	-	4	16	36	80	-	0	6	2	16	17	48	110	585	579						
Ariz.	-	2	11	33	69	-	0	6	1	12	-	14	67	172	174						
Colo.	-	0	3	-	1	-	0	1	-	-	13	11	45	183	143						
Idaho	-	0	12	-	-	-	0	2	-	-	1	2	15	36	45						
Mont.	-	0	3	3	-	-	0	0	-	1	1	2	16	34	28						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	23	57						
N. Mex.	-	0	1	-	1	-	0	1	-	2	-	4	13	40	61						
Utah	-	0	5	-	-	-	0	0	-	-	2	5	30	77	60						
Wyo.	-	0	2	-	9	-	0	1	1	1	-	1	12	20	11						
PACIFIC	3	4	15	50	53	-	0	1	-	-	75	102	425	1,287	1,429						
