
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2006 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	14	256	1,302	14	121	4	22	44	4	18											
NEW ENGLAND	-	40	198	-	8	-	1	12	-	1											
Conn.	-	9	154	-	-	-	0	10	-	-											
Maine	-	2	25	-	1	-	0	1	-	-											
Mass.	-	11	130	-	7	-	0	4	-	1											
N.H.	-	4	17	-	-	-	0	1	-	-											
R.I.	-	0	12	-	-	-	0	1	-	-											
Vt.	-	0	5	-	-	-	0	2	-	-											
MID. ATLANTIC	5	178	918	5	88	1	6	14	1	4											
N.J.	-	38	301	-	45	-	1	6	-	1											
N.Y. (Upstate)	2	48	302	2	-	-	1	4	-	-											
N.Y. City	-	0	0	-	-	-	3	8	-	3											
Pa.	3	56	450	3	43	1	1	2	1	-											
E.N. CENTRAL	-	11	150	-	5	-	2	6	-	-											
Ill.	-	0	0	-	-	-	0	3	-	-											
Ind.	-	0	4	-	-	-	0	1	-	-											
Mich.	-	0	7	-	1	-	0	2	-	-											
Ohio	-	1	5	-	3	-	0	3	-	-											
Wis.	-	10	145	-	1	-	0	2	-	-											
W.N. CENTRAL	-	13	99	-	2	1	1	5	1	-											
Iowa	-	1	8	-	2	-	0	1	-	-											
Kans.	-	0	3	-	-	-	0	1	-	-											
Minn.	-	9	96	-	-	-	0	3	-	-											
Mo.	-	0	2	-	-	1	0	3	1	-											
Nebr.	-	0	1	-	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	0	-	-											
S. ATLANTIC	9	31	125	9	18	1	6	15	1	3											
Del.	-	9	37	-	11	-	0	1	-	-											
D.C.	-	0	2	-	-	-	0	2	-	-											
Fla.	-	1	8	-	1	1	1	6	1	-											
Ga.	-	0	1	-	-	-	0	5	-	2											
Md.	7	17	84	7	6	-	1	9	-	1											
N.C.	2	0	5	2	-	-	0	8	-	-											
S.C.	-	0	3	-	-	-	0	2	-	-											
Va.	-	3	20	-	-	-	0	4	-	-											
W. Va.	-	0	6	-	-	-	0	2	-	-											
E.S. CENTRAL	-	1	4	-	-	-	0	2	-	-											
Ala.	-	0	1	-	-	-	0	1	-	-											
Ky.	-	0	1	-	-	-	0	2	-	-											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	-	-	0	2	-	-											
W.S. CENTRAL	-	1	8	-	-	-	1	8	-	-											
Ark.	-	0	2	-	-	-	0	2	-	-											
La.	-	0	2	-	-	-	0	1	-	-											
Okla.	-	0	0	-	-	-	0	6	-	-											
Tex.	-	0	7	-	-	-	1	8	-	-											
MOUNTAIN	-	0	4	-	-	-	1	6	-	2											
Ariz.	-	0	4	-	-	-	0	4	-	1											
Colo.	-	0	1	-	-	-	0	3	-	-											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	0	-	-											
Nev.	-	0	1	-	-	-	0	1	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	-											
Utah	-	0	1	-	-	-	0	2	-	1											
Wyo.	-	0	1	-	-	-	0	1	-	-											
PACIFIC	-	2	12	-	-	1	4	12	1	8											
Alaska	-	0	1	-	-	-	0	1	-	-											
Calif.	-	2	12	-	-	1	3	9	1	7											
Hawaii	N	0	0	N	N	-	0	4	-	-											
Oreg.	-	0	2	-	-	-	0	2	-	1											
Wash.	-	0	3	-	-	-	0	4	-	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


