
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 27, 2006 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	8,614	18,816	35,170	366,399	388,331	110	112	1,643	3,426	1,578	26	70	860	912	815						
NEW ENGLAND	371	640	1,550	12,347	12,310	-	0	0	-	-	-	4	35	50	44						
Conn.	87	171	1,214	2,934	3,154	N	0	0	N	N	-	0	14	8	5						
Maine	-	41	74	806	862	N	0	0	N	N	-	0	3	10	8						
Mass.	254	295	432	6,139	5,759	-	0	0	-	-	-	2	15	19	15						
N.H.	30	35	64	736	746	-	0	0	-	-	-	1	3	10	6						
R.I.	-	65	99	1,277	1,378	-	0	0	-	-	-	0	6	1	1						
Vt.	-	19	43	455	411	N	0	0	N	N	-	0	5	2	9						
MID. ATLANTIC	869	2,257	3,696	45,317	47,289	-	0	0	-	-	5	10	597	136	111						
N.J.	-	369	526	6,608	7,479	N	0	0	N	N	-	0	8	3	7						
N.Y. (Upstate)	524	498	1,727	9,207	9,327	N	0	0	N	N	3	4	561	39	29						
N.Y. City	-	692	1,615	14,396	15,336	N	0	0	N	N	-	2	15	19	29						
Pa.	345	699	1,071	15,106	15,147	N	0	0	N	N	2	4	21	75	46						
E.N. CENTRAL	722	3,202	12,578	65,400	65,892	-	0	3	15	4	6	14	162	192	174						
Ill.	-	919	1,536	16,472	20,272	-	0	0	-	-	-	2	16	21	21						
