
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 10, 2006 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	10,577	18,806	35,170	397,740	420,935	161	122	1,643	3,495	1,697	38	70	860	1,025	907						
NEW ENGLAND	626	634	1,550	13,705	13,757	-	0	0	-	-	1	4	35	54	47						
Conn.	263	169	1,214	3,405	3,984	N	0	0	N	N	-	0	14	8	6						
Maine	43	41	74	930	933	N	0	0	N	N	-	0	3	11	10						
Mass.	196	290	432	6,572	6,099	-	0	0	-	-	-	2	15	20	15						
N.H.	14	35	64	789	830	-	0	0	-	-	1	1	3	11	7						
R.I.	95	65	99	1,490	1,466	-	0	0	-	-	-	0	6	1	1						
Vt.	15	19	43	519	445	N	0	0	N	N	-	0	5	3	8						
MID. ATLANTIC	1,183	2,282	3,696	50,049	51,606	-	0	0	-	-	4	11	597	147	120						
N.J.	-	369	526	6,906	8,157	N	0	0	N	N	-	0	8	5	8						
N.Y. (Upstate)	599	497	1,727	10,196	10,376	N	0	0	N	N	3	3	561	43	32						
N.Y. City	-	671	1,618	15,836	16,909	N	0	0	N	N	-	2	15	20	30						
Pa.	584	714	1,073	17,111	16,164	N	0	0	N	N	1	4	21	79	50						
E.N. CENTRAL	1,019	3,103	12,578	63,765	70,783	-	0	3	17	4	8	14	162	229	206						
Ill.	-	919	1,536	19,063	21,964	-	0	0	-	-	-	2	16	21	26						
Ind.	203	393	552	8,076	8,831	N	0	0	N	N	-	1	13	20	12						
Mich.	761	548	9,888	13,564	11,315	-	0	3	13	4	1	2	7	36	28						
Ohio	55	805	1,445	15,122	19,678	-	0	1	4	-	7	5	109	92	59						
Wis.	-	397	531	7,940	8,995	N	0	0	N	N	-	4	38	60	81						
W.N. CENTRAL	688	1,121	1,457	24,517	25,865	-	0	12	-	3	6	9	52	162	130						
Iowa	114	148	225	3,601	3,108	N	0	0	N	N	-	1	11	15	22						
Kans.	179	153	269	3,566	3,223	N	0	0	N	N	4	1	5	24	12						
Minn.	-	233	298	4,692	5,480	-	0	12	-	3	1	3	22	70	36						
Mo.	222	430	525	8,680	9,898	-	0	1	-	-	-	2	37	31	45						
Nebr.	125	96	176	2,208	2,268	N	0	1	N	N	-	0	3	5	4						
N. Dak.	-	32	54	611	664	N	0	0	N	N	1	0	4	3	-						
S. Dak.	48	52	117	1,159	1,224	N	0	0	N	N	-	0	4	14	11						
S. ATLANTIC	2,890	3,324	4,905	75,424	77,296	-	0	1	2	-	10	15	54	271	168						
Del.	76	68	92	1,568	1,443	N	0	0	N	N	-	0	2	-	-						
D.C.	41	59	101	1,081	1,735	-	0	0	-	-	-	0	3	7	2						
Fla.	792	882	1,090	20,406	19,058	N	0	0	N	N	5	6	28	106	63						
Ga.	26	609	2,142	10,017	13,392	-	0	0	-	-	4	3	12	88	46						
Md.	354	358	519	7,990	7,841	-	0	1	2	-	-	0	4	9	8						
N.C.	704	569	1,772	15,672	14,010	N	0	0	N	N	-	1	10	29	23						
S.C.	308	281	1,306	7,682	8,061	N	0	0	N	N	1	0	4	13	10						
Va.	540	423	840	9,434	10,691	N	0	0	N	N	-	1	8	17	12						
W. Va.	49	57	226	1,574	1,065	N	0	0	N	N	-	0	3	2	4						
E.S. CENTRAL	818	1,375	2,188	31,209	30,389	-	0	0	-	-	-	3	29	34	24						
Ala.	131	366	1,048	8,857	5,267	N	0	0	N	N	-	0	5	14	10						
Ky.	190	148	336	4,144	4,810	N	0	0	N	N	-	1	25	9	9						
Miss.	-	378	647	7,183	10,080	-	0	0	-	-	-	0	1	1	-						
Tenn.	497	481	614	11,025	10,232	N	0	0	N	N	-	1	4	10	5						
W.S. CENTRAL	1,402	2,160	3,605	47,898	49,852	-	0	1	-	-	4	3	30	61	28						
Ark.	110	166	340	3,453	3,896	-	0	0	-	-	1	0	2	7	1						
