
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 24, 2006 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	10,737	18,828	35,170	433,371	460,351	16	126	1,643	3,556	1,872	30	72	860	1,159	1,000						
NEW ENGLAND	360	633	1,550	14,484	15,121	-	0	0	-	-	1	4	35	62	54						
Conn.	-	169	1,214	3,405	4,423	N	0	0	N	N	-	0	14	9	6						
Maine	50	41	74	1,021	990	N	0	0	N	N	-	0	3	12	11						
Mass.	220	290	432	7,032	6,753	-	0	0	-	-	-	2	15	23	20						
N.H.	24	34	64	849	883	-	0	0	-	-	-	1	3	11	7						
R.I.	66	66	99	1,636	1,594	-	0	0	-	-	-	0	6	3	1						
Vt.	-	19	43	541	478	N	0	0	N	N	1	0	5	4	9						
MID. ATLANTIC	1,291	2,308	3,696	54,610	56,045	-	0	0	-	-	4	11	597	165	133						
N.J.	-	364	526	7,095	9,115	N	0	0	N	N	-	0	8	6	9						
N.Y. (Upstate)	493	497	1,727	11,127	11,171	N	0	0	N	N	4	3	561	50	33						
N.Y. City	297	689	1,611	17,967	18,093	N	0	0	N	N	-	2	15	24	37						
Pa.	501	718	1,073	18,421	17,666	N	0	0	N	N	-	4	21	85	54						
E.N. CENTRAL	997	3,133	12,578	71,107	76,398	-	0	3	21	4	4	14	162	255	226						
Ill.	443	942	1,536	22,607	23,810	-	0	0	-	-	-	2	16	31	30						
Ind.	-	393	552	8,306	9,564	N	0	0	N	N	1	1	13	25	14						
Mich.	339	570	9,888	15,146	12,358	-	0	3	17	4	-	2	7	41	28						
Ohio	45	806	1,445	15,964	20,962	-	0	1	4	-	3	5	109	98	66						
Wis.	170	397	531	9,084	9,704	N	0	0	N	N	-	4	38	60	88						
W.N. CENTRAL	590	1,124	1,456	26,788	28,090	-	0	12	-	3	3	10	52	188	151						
Iowa	105	150	225	3,864	3,349	N	0	0	N	N	-	1	11	19	36						
Kans.	157	155	269	3,881	3,512	N	0	0	N	N	-	1	5	26	12						
Minn.	-	234	298	5,149	5,944	-	0	12	-	3	-	3	22	70	38						
Mo.	284	432	525	9,656	10,797	-	0	1	-	-	1	2	37	35	50						
Nebr.	-	95	176	2,275	2,453	N	0	1	N	N	2	0	4	14	4						
N. Dak.	-	32	54	705	729	N	0	0	N	N	-	0	4	3	-						
S. Dak.	44	52	117	1,258	1,306	N	0	0	N	N	-	0	4	21	11						
S. ATLANTIC	2,789	3,284	4,905	82,295	86,314	-	0	1	2	-	14	15	54	309	181						
Del.	58	68	92	1,711	1,560	N	0	0	N	N	-	0	2	1	-						
D.C.	38	59	101	1,212	1,850	-	0	0	-	-	-	0	3	8	2						
Fla.	729	898	1,090	22,301	20,924	N	0	0	N	N	5	6	28	117	67						
Ga.	9	615	2,142	11,107	14,704	-	0	0	-	-	1	3	12	104	47						
Md.	279	356	519	8,582	8,636	-	0	1	2	-	-	0	4	9	9						
N.C.	735	569	1,772	16,934	16,477	N	0	0	N	N	7	1	10	36	25						
S.C.	311	271	1,306	8,252	9,460	N	0	0	N	N	1	0	4	15	10						
Va.	630	425	840	10,587	11,451	N	0	0	N	N	-	1	8	17	17						
W. Va.	-	57	226	1,609	1,252	N	0	0	N	N	-	0	3	2	4						
E.S. CENTRAL	727	1,382	2,188	33,894	32,940	-	0	0	-	-	2	3	29	43	28						
Ala.	-	370	1,048	9,272	5,921	N	0	0	N	N	2	0	5	21	11						
Ky.	203	152	336	4,499	4,941	N	0	0	N	N	-	1	25	10	11						
Miss.	-	378	647	8,203	10,867	-	0	0	-	-	-	0	1	1	-						
Tenn.	524	488	614	11,920	11,211	N	0	0	N	N	-	1	4	11	6						
W.S. CENTRAL	1,183	2,161	3,605	51,665	54,625	-	0	1	-	-	2	4	30	68	32						
Ark.	134	162	340	3,713	4,253	-	0	0	-	-	-	0	2	7	1						
La.	104	282	761	7,362	9,319	-	0	1	-	N	-	0	21	9	3						
Okla.	91	235	2,159	5,663	5,181	N	0	0	N	N	2	1	10	16	13						
Tex.	854	1,400	1,801	34,927	35,872	N	0	0	N	N	-	2	19	36	15						
MOUNTAIN	547	1,097	1,839	22,501	30,518	-	92	452	2,405	1,117	-	2	9	39	56						
Ariz.	408	365	642	8,664	10,871	-	91	448	2,359	1,063	-	0	1	4	4						
Colo.	-	219	482	2,898	7,138	N	0	0	N	N	-	1	3	15	17						
Idaho	110	52	218	1,576	1,116	N	0	0	N	N	-	0	2	4	5						
Mont.	29	39	195	1,011	1,103	N	0	0	N	N	-	0	2	7	9						
Nev.	-	86	432	1,795	3,518	-	1	4	20	36	-	0	1	3	8						
N. Mex.	-	164	338	4,016	4,150	-	0	2	2	10	-	0	3	-	7						
Utah	-	89	136	1,870	2,104	-	0	3	22	6	-	0	3	6	4						
Wyo.	-	26	55	671	518	-	0	2	2	2	-	0	1	-	2						
PACIFIC	2,253	3,243	5,079	76,027	80,300	16	33	1,179	1,128	748	-	4	52	30	139						
Alaska	64	83	152	1,987	1,951	-	0	0	-	-	-	0	2	1	-						
Calif.	1,775	2,505	4,231	58,529	62,278	16	33	1,179	1,128	748	-	2	14	-	97						
Hawaii	-	109	135	2,435	2,576	N	0	0	N	N	-	0	1	-	-						
Oreg.	149	177	315	4,386	4,235	N	0	0	N	N	-	1	20	29	23						
Wash.	265	357	604	8,690	9,260	N	0	0	N	N	-	0	38	-	19						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	17	37	-	365	-	0	0	-	-	-	0	0	-	-						
P.R.	-	76	162	1,877	2,081	N	0	0	N	N	N	0	0	N	N						
V.I.	-	2	7	6	102	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


