
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 8, 2006 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	6,717	18,721	35,170	464,613	495,257	12	126	1,643	3,678	2,059	28	69	860	1,224	1,144						
NEW ENGLAND	372	625	1,550	15,414	16,374	-	0	0	-	-	-	4	35	67	66						
Conn.	231	166	1,214	3,897	4,784	N	0	0	N	N	-	0	14	9	8						
Maine	-	42	74	1,021	1,082	N	0	0	N	N	-	0	3	12	11						
Mass.	71	276	432	7,269	7,335	-	0	0	-	-	-	2	15	28	26						
N.H.	26	35	64	952	936	-	0	0	-	-	-	1	3	11	9						
R.I.	44	66	99	1,734	1,722	-	0	0	-	-	-	0	6	3	1						
Vt.	-	18	43	541	515	N	0	0	N	N	-	0	5	4	11						
MID. ATLANTIC	699	2,298	3,696	58,474	60,452	-	0	0	-	-	6	11	597	181	155						
N.J.	66	357	500	8,473	9,992	N	0	0	N	N	-	0	8	6	11						
N.Y. (Upstate)	375	497	1,727	11,893	11,888	N	0	0	N	N	3	3	561	53	37						
N.Y. City	82	689	1,611	18,832	19,674	N	0	0	N	N	-	2	15	30	44						
Pa.	176	715	1,073	19,276	18,898	N	0	0	N	N	3	4	21	92	63						
E.N. CENTRAL	981	3,141	12,578	75,019	82,635	1	0	3	23	5	8	14	162	268	251						
Ill.	662	943	1,536	24,409	25,619	-	0	0	-	-	-	2	16	31	34						
Ind.	-	393	552	8,306	10,202	N	0	0	N	N	2	1	13	27	14						
Mich.	277	560	9,888	16,153	13,457	1	0	3	19	5	1	2	7	47	33						
Ohio	18	798	1,445	16,636	22,992	-	0	1	4	-	5	5	109	103	75						
Wis.	24	399	531	9,515	10,365	N	0	0	N	N	-	4	38	60	95						
W.N. CENTRAL	367	1,127	1,438	28,795	30,232	-	0	12	-	3	2	9	52	210	179						
Iowa	59	150	225	4,098	3,614	N	0	0	N	N	1	1	11	22	52						
Kans.	30	154	269	4,050	3,747	N	0	0	N	N	-	1	5	27	14						
Minn.	-	233	307	5,523	6,345	-	0	12	-	3	-	3	22	80	41						
Mo.	171	429	525	10,462	11,676	-	0	1	-	-	-	2	37	38	56						
Nebr.	80	96	176	2,583	2,661	N	0	1	N	N	-	1	4	15	4						
N. Dak.	2	33	57	751	801	N	0	0	N	N	1	0	4	5	-						
S. Dak.	25	52	117	1,328	1,388	N	0	0	N	N	-	0	4	23	12						
S. ATLANTIC	1,596	3,321	4,905	88,615	92,608	-	0	1	2	-	9	14	54	300	215						
Del.	56	68	92	1,834	1,671	N	0	0	N	N	-	0	2	1	-						
D.C.	-	57	101	1,237	1,982	-	0	0	-	-	-	0	3	8	2						
Fla.	580	898	1,089	24,040	22,480	N	0	0	N	N	7	6	28	128	97						
Ga.	15	615	2,142	12,690	16,024	-	0	0	-	-	2	3	9	83	50						
Md.	190	355	519	9,078	9,274	-	0	1	2	-	-	0	4	9	10						
N.C.	280	569	1,772	17,214	17,159	N	0	0	N	N	-	1	10	36	25						
S.C.	120	286	1,306	8,763	10,454	N	0	0	N	N	-	0	4	16	10						
Va.	321	427	840	11,998	12,217	N	0	0	N	N	-	1	8	17	17						
W. Va.	34	57	227	1,761	1,347	N	0	0	N	N	-	0	3	2	4						
E.S. CENTRAL	793	1,392	1,938	36,877	36,190	-	0	0	-	-	1	3	29	49	30						
Ala.	100	370	754	10,433	7,356	N	0	0	N	N	1	0	5	22	11						
Ky.	402	152	336	4,953	5,190	N	0	0	N	N	-	1	25	11	11						
Miss.	-	369	609	8,814	11,821	-	0	0	-	-	-	0	1	4	-						
Tenn.	291	488	614	12,677	11,823	N	0	0	N	N	-	1	4	12	8						
W.S. CENTRAL	156	2,153	3,605	52,411	58,219	-	0	1	-	-	-	4	30	73	34						
Ark.	-	158	340	3,713	4,517	-	0	0	-	-	-	0	2	8	1						
La.	-	278	761	7,504	9,937	-	0	1	-	N	-	0	21	11	3						
Okla.	156	234	2,159	6,075	5,446	N	0	0	N	N	-	1	10	18	14						
Tex.	-	1,390	1,801	35,119	38,319	N	0	0	N	N	-	2	19	36	16						
MOUNTAIN	298	1,083	1,839	24,607	32,697	-	92	452	2,409	1,278	1	2	9	44	62						
Ariz.	165	365	642	9,156	11,483	-	91	448	2,359	1,222	-	0	1	4	5						
Colo.	-	208	482	2,970	7,611	N	0	0	N	N	-	1	3	16	19						
Idaho	-	52	218	1,576	1,335	N	0	0	N	N	-	0	2	5	5						
Mont.	32	39	195	1,141	1,192	N	0	0	N	N	1	0	2	8	11						
Nev.	-	85	432	1,795	3,737	-	1	4	20	37	-	0	1	3	8						
N. Mex.	20	174	338	4,987	4,518	-	0	2	5	11	-	0	3	2	8						
Utah	67	89	136	2,231	2,253	-	0	3	23	6	-	0	3	6	4						
Wyo.	14	26	55	751	568	-	0	2	2	2	-	0	1	-	2						
PACIFIC	1,455	3,232	5,079	84,401	85,850	11	34	1,179	1,244	773	1	3	52	32	152						
Alaska	73	84	152	2,172	2,073	-	0	0	-	-	1	0	2	2	-						
Calif.	1,092	2,510	4,231	65,563	66,482	11	34	1,179	1,244	773	-	0	14	-	107						
Hawaii	-	107	135	2,672	2,786	N	0	0	N	N	-	0	1	-	-						
Oreg.	-	177	315	4,594	4,537	N	0	0	N	N	-	1	20	30	26						
Wash.	290	356	604	9,400	9,972	N	0	0	N	N	-	0	38	-	19						
Amer. Samoa	U	0	46	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	18	37	-	393	-	0	0	-	-	-	0	0	-	-						
P.R.	-	76	162	1,877	2,248	N	0	0	N	N	N	0	0	N	N						
V.I.	-	2	7	6	107	-	0	0	-	-	-	0	0	-	-						

