
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 5, 2006 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	11,538	18,442	34,984	528,518	565,898	117	146	1,643	5,019	2,283	50	62	844	1,529	1,575						
NEW ENGLAND	421	625	1,550	18,720	19,218	-	0	0	-	-	3	4	35	97	95						
Conn.	79	170	1,214	5,536	5,917	N	0	0	N	N	-	0	14	12	9						
Maine	60	41	74	1,216	1,269	N	0	0	N	N	-	0	3	14	15						
Mass.	239	280	432	8,320	8,387	-	0	0	-	-	-	1	15	35	41						
N.H.	-	35	64	1,022	1,103	-	0	0	-	-	-	1	3	12	13						
R.I.	33	66	95	1,959	1,971	-	0	0	-	-	-	0	6	4	2						
Vt.	10	19	43	667	571	N	0	0	N	N	3	0	5	20	15						
MID. ATLANTIC	1,213	2,172	3,696	56,887	69,715	-	0	0	-	-	14	10	597	216	203						
N.J.	81	366	500	10,196	11,579	N	0	0	N	N	-	0	8	7	13						
N.Y. (Upstate)	576	499	1,727	14,038	13,930	N	0	0	N	N	9	3	561	69	54						
N.Y. City	-	571	1,456	9,719	22,517	N	0	0	N	N	-	1	15	18	48						
Pa.	556	728	1,075	22,934	21,689	N	0	0	N	N	5	5	21	122	88						
E.N. CENTRAL	1,486	3,122	12,578	87,013	95,052	2	0	3	29	5	4	14	162	330	382						
Ill.	488	975	1,536	28,907	29,864	-	0	0	-	-	-	1	16	32	56						
Ind.	132	389	552	9,472	11,694	N	0	0	N	N	3	1	13	34	21						
Mich.	260	582	9,888	18,157	15,629	2	0	3	25	5	1	2	7	58	46						
Ohio	561	746	1,449	19,086	25,877	-	0	1	4	-	-	5	109	116	94						
Wis.	45	399	531	11,391	11,988	N	0	0	N	N	-	4	38	90	165						
W.N. CENTRAL	691	1,141	1,456	34,406	34,863	-	0	12	-	4	7	10	52	273	242						
Iowa	109	151	225	4,780	4,094	N	0	0	N	N	2	1	11	41	70						
Kans.	195	155	269	4,760	4,276	N	0	0	N	N	2	1	5	32	16						
Minn.	-	233	340	6,450	7,339	-	0	12	-	3	1	3	22	98	50						
Mo.	274	433	562	12,983	13,473	-	0	0	-	1	-	2	37	51	83						
Nebr.	103	92	176	2,978	3,118	N	0	1	N	N	2	1	4	22	10						
N. Dak.	10	33	58	968	944	N	0	0	N	N	-	0	4	6	-						
S. Dak.	-	52	117	1,487	1,619	N	0	0	N	N	-	0	4	23	13						
S. ATLANTIC	2,666	3,383	4,920	104,394	106,724	-	0	1	2	1	17	14	54	368	282						
Del.	88	69	92	2,122	1,938	N	0	0	N	N	-	0	2	1	-						
D.C.	31	57	103	1,541	2,219	-	0	0	-	-	-	0	3	9	5						
Fla.	754	902	1,089	28,258	25,861	N	0	0	N	N	12	6	28	155	130						
Ga.	2	618	2,142	15,809	18,480	-	0	0	-	-	4	3	9	101	66						
