
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 21, 2006 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	29	104	160	76	420	47	30	98	124	30	259	793	1,431	879	1,229						
NEW ENGLAND	5	13	33	12	37	-	0	1	-	-	3	40	76	15	50						
Conn.	1	3	13	3	7	-	0	0	-	-	-	8	25	7	10						
Maine	-	1	4	-	2	N	0	0	N	N	-	3	8	-	4						
Mass.	2	5	22	5	22	-	0	1	-	-	1	20	38	6	31						
N.H.	1	0	3	1	2	-	0	1	-	-	2	2	12	2	2						
R.I.	1	0	3	1	-	-	0	1	-	-	-	0	12	-	-						
Vt.	-	1	7	2	4	-	0	0	-	-	-	1	10	-	3						
MID. ATLANTIC	9	18	40	17	32	-	2	8	-	3	19	92	185	69	131						
N.J.	N	0	0	N	N	-	0	6	-	1	-	14	45	-	30						
N.Y. (Upstate)	9	12	24	17	9	-	0	2	-	-	7	23	69	13	8						
N.Y. City	-	0	3	-	2	-	0	2	-	1	-	23	43	13	45						
Pa.	-	7	22	-	21	-	1	6	-	1	12	30	61	43	48						
E.N. CENTRAL	1	2	19	2	3	-	0	3	-	-	18	92	243	75	155						
Ill.	-	1	4	-	1	-	0	1	-	-	-	29	160	-	47						
Ind.	-	0	3	-	1	-	0	1	-	-	-	9	71	-	2						
Mich.	-	0	4	1	-	-	0	1	-	-	-	17	35	13	43						
Ohio	1	0	13	1	1	-	0	3	-	-	18	22	52	57	38						
Wis.	-	0	3	-	-	-	0	1	-	-	-	15	45	5	25						
W.N. CENTRAL	-	7	23	2	9	-	1	16	-	1	14	40	90	68	73						
Iowa	-	1	10	1	3	-	0	2	-	-	-	7	18	4	18						
Kans.	-	1	5	1	1	-	0	2	-	-	3	7	17	10	9						
Minn.	-	1	5	-	2	-	0	1	-	-	5	10	31	13	10						
Mo.	-	1	7	-	2	-	1	14	-	1	6	14	40	39	24						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	8	-	9						
N. Dak.	-	0	4	-	-	-	0	0	-	-	-	0	5	-	2						
S. Dak.	-	1	6	-	1	-	0	2	-	-	-	2	11	2	1						
