
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 21, 2006 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	33	45	91	106	163	83	162	212	247	369	475	517	1,768	1,569	1,156						
NEW ENGLAND	-	2	12	1	13	3	4	11	11	15	7	46	1,119	54	230						
Conn.	U	0	0	U	U	-	0	7	-	-	U	0	0	U	U						
Maine	N	0	0	N	N	-	0	1	1	-	-	2	19	19	34						
Mass.	-	1	6	-	12	3	2	6	9	15	-	32	86	-	191						
N.H.	-	0	0	-	-	-	0	2	1	-	7	2	1,110	15	-						
R.I.	-	0	7	-	-	-	0	6	-	-	-	0	0	-	-						
Vt.	-	0	2	1	1	-	0	1	-	-	-	1	14	20	5						
MID. ATLANTIC	5	3	11	7	20	5	20	31	23	50	86	110	211	345	57						
N.J.	N	0	0	N	N	2	2	7	2	11	-	0	0	-	-						
N.Y. (Upstate)	1	1	9	1	3	1	2	9	1	1	-	0	0	-	-						
N.Y. City	U	0	0	U	U	1	12	20	16	35	-	0	0	-	-						
Pa.	4	2	9	6	17	1	3	7	4	3	86	110	211	345	57						
E.N. CENTRAL	10	11	31	38	30	14	16	40	33	24	264	124	460	753	470						
Ill.	-	0	2	-	-	4	7	30	12	3	-	2	5	-	3						
Ind.	-	3	16	-	3	3	1	5	5	4	-	0	245	-	-						
Mich.	-	1	7	2	8	1	1	8	3	1	88	81	351	220	318						
Ohio	10	7	20	36	19	6	4	11	12	15	172	27	341	513	102						
Wis.	N	0	0	N	N	-	1	3	1	1	4	9	21	20	47						
W.N. CENTRAL	1	1	15	3	5	4	5	10	10	19	31	11	70	142	5						
Iowa	N	0	0	N	N	-	0	1	-	-	N	0	0	N	N						
Kans.	N	0	0	N	N	1	0	2	1	-	-	0	0	-	-						
Minn.	-	0	15	-	-	-	1	5	1	1	-	0	0	-	-						
Mo.	1	0	3	3	5	3	3	6	8	18	31	7	69	140	-						
Nebr.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	25	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	1	23	2	5						
S. ATLANTIC	16	19	40	51	72	22	39	88	61	82	46	45	194	99	113						
Del.	-	0	1	-	-	2	0	2	3	-	-	0	4	-	2						
D.C.	3	0	4	3	-	-	2	9	2	5	-	0	6	-	-						
Fla.	12	11	34	41	43	10	16	29	34	52	-	0	0	-	-						
Ga.	1	4	18	7	27	-	7	45	-	-	-	0	0	-	-						
Md.	-	0	0	-	-	2	6	18	9	7	-	0	0	-	-						
N.C.	N	0	0	N	N	7	4	17	11	13	-	0	0	-	-						
S.C.	-	0	0	-	-	-	1	8	-	2	-	10	41	4	20						
Va.	N	0	0	N	N	1	2	11	2	3	-	7	135	-	7						
W. Va.	-	2	8	-	2	-	0	1	-	-	46	18	61	95	84						
E.S. CENTRAL	-	3	12	3	8	3	9	18	11	18	-	0	0	-	-						
Ala.	-	0	0	-	-	-	3	10	-	11	-	0	0	-	-						
Ky.	-	0	5	-	-	-	1	4	5	-	N	0	0	N	N						
Miss.	-	0	0	-	-	-	0	5	-	-	-	0	0	-	-						
Tenn.	-	2	11	3	8	3	4	11	6	7	-	0	0	-	-						
W.S. CENTRAL	-	1	13	2	12	13	24	38	58	68	7	133	322	101	82						
Ark.	-	0	2	-	3	-	1	6	1	1	7	0	11	9	-						
La.	-	1	11	2	9	-	3	17	1	9	-	0	32	-	2						
Okla.	N	0	0	N	N	-	1	6	3	7	-	0	0	-	-						
Tex.	N	0	0	N	N	13	18	30	53	51	-	128	322	92	80						
MOUNTAIN	1	1	28	1	3	7	7	17	10	17	34	47	118	75	199						
Ariz.	N	0	0	N	N	6	3	13	9	8	-	0	0	-	-						
Colo.	N	0	0	N	N	1	1	6	1	2	34	36	87	68	157						
Idaho	N	0	0	N	N	-	0	6	-	-	-	0	0	-	-						
Mont.	-	0	1	-	-	-	0	3	-	-	-	0	0	-	-						
Nev.	-	0	27	-	-	-	2	7	-	3	-	0	4	-	-						
N. Mex.	-	0	0	-	-	-	1	3	-	4	-	3	15	-	9						
Utah	-	0	6	-	3	-	0	1	-	-	-	7	38	5	28						
Wyo.	1	0	3	1	-	-	0	0	-	-	-	0	8	2	5						
PACIFIC	-	0	0	-	-	12	33	54	30	76	-	0	0	-	-						
Alaska	-	0	0	-	-	-	0	2	-	-	-	0	0	-	-						
Calif.	N	0	0	N	N	2	28	52	11	73	-	0	0	-	-						
Hawaii	-	0	0	-	-	-	0	2	-	1	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	6	1	-	-	0	0	-	-						
