
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 14, 2006 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	11,448	19,103	35,170	746,835	753,499	62	151	1,643	6,459	3,253	77	70	594	3,806	5,986						
NEW ENGLAND	834	632	1,550	25,745	25,083	-	0	0	-	-	5	4	30	242	293						
Conn.	-	170	1,214	7,196	7,335	N	0	0	N	N	-	0	27	27	69						
Maine	53	43	67	1,779	1,752	N	0	0	N	N	-	0	4	32	25						
Mass.	623	289	534	12,003	11,140	-	0	0	-	-	-	1	14	88	130						
N.H.	37	37	65	1,548	1,469	-	0	0	-	-	-	1	4	37	31						
R.I.	107	60	100	2,354	2,620	-	0	0	-	-	3	0	6	14	7						
Vt.	14	20	43	865	767	N	0	0	N	N	2	0	5	44	31						
MID. ATLANTIC	1,471	2,413	3,696	95,102	92,619	-	0	0	-	-	7	11	444	439	2,404						
N.J.	100	373	497	14,214	15,197	N	0	0	N	N	-	0	3	10	53						
N.Y. (Upstate)	435	499	1,727	18,940	18,300	N	0	0	N	N	4	3	441	134	2,003						
N.Y. City	429	731	1,570	30,283	30,054	N	0	0	N	N	-	2	9	74	127						
Pa.	507	749	1,105	31,665	29,068	N	0	0	N	N	3	4	13	221	221						
E.N. CENTRAL	1,665	3,127	12,578	125,067	126,563	-	1	3	38	9	16	16	92	924	1,421						
Ill.	591	971	1,693	40,878	39,586	-	0	0	-	-	-	1	7	72	142						
Ind.	255	391	510	15,349	15,909	N	0	0	N	N	2	1	18	70	65						
Mich.	627	658	9,888	27,627	21,064	-	0	3	34	9	1	2	7	109	93						
Ohio	79	686	1,432	25,555	33,890	-	0	1	4	-	13	5	33	298	679						
Wis.	113	398	531	15,658	16,114	N	0	0	N	N	-	5	53	375	442						
W.N. CENTRAL	673	1,151	1,456	46,040	46,458	-	0	12	1	4	8	11	74	677	530						
Iowa	184	157	225	6,512	5,623	N	0	0	N	N	-	1	28	154	114						
Kans.	161	153	269	5,619	5,812	N	0	0	N	N	2	1	7	62	32						
Minn.	-	230	346	8,522	9,750	-	0	12	-	3	5	2	22	162	109						
Mo.	253	439	612	17,871	17,772	-	0	1	1	1	-	2	18	147	226						
Nebr.	-	95	176	4,109	4,055	N	0	1	N	N	-	1	16	79	21						
N. Dak.	27	34	58	1,318	1,263	N	0	0	N	N	1	0	4	9	1						
S. Dak.	48	51	116	2,089	2,183	N	0	0	N	N	-	1	7	64	27						
S. ATLANTIC	2,112	3,512	4,929	141,672	140,614	-	0	1	3	1	34	14	65	818	570						
Del.	82	68	92	2,796	2,647	N	0	0	N	N	-	0	3	12	4						
D.C.	60	52	103	1,907	3,029	-	0	0	-	-	-	0	3	12	10						
Fla.	768	946	1,157	38,394	34,346	N	0	0	N	N	24	6	32	380	260						
Ga.	1	644	2,142	23,199	24,862	-	0	0	-	-	7	3	11	164	116						
Md.	328	334	486	13,830	14,554	-	0	1	3	1	-	0	3	15	26						
N.C.	480	572	1,772	26,400	25,379	N	0	0	N	N	2	0	11	81	70						
S.C.	-	306	1,306	13,895	15,028	N	0	0	N	N	1	1	13	108	18						
Va.	367	423	840	18,760	18,674	N	0	0	N	N	-	1	6	38	53						
W. Va.	26	58	226	2,491	2,095	N	0	0	N	N	-	0	3	8	13						
E.S. CENTRAL	533	1,419	1,947	57,121	54,694	-	0	0	-	-	2	3	12	143	181						
Ala.	16	391	756	16,054	12,291	N	0	0	N	N	-	1	10	62	21						
Ky.	10	160	402	6,437	6,976	N	0	0	N	N	-	1	8	31	122						
Miss.	-	374	802	14,472	17,015	-	0	0	-	-	-	0	3	14	2						
Tenn.	507	505	602	20,158	18,412	N	0	0	N	N	2	1	5	36	36						
W.S. CENTRAL	1,613	2,182	3,605	86,501	86,963	-	0	1	1	-	-	4	29	204	192						
Ark.	200	158	335	6,482	6,870	-	0	0	-	-	-	0	2	18	4						
La.	88	265	761	11,366	13,057	-	0	1	1	N	-	0	9	51	74						
Okla.	375	221	2,159	9,591	9,078	N	0	0	N	N	-	1	4	32	36						
Tex.	950	1,408	1,844	59,062	57,958	N	0	0	N	N	-	1	20	103	78						
MOUNTAIN	658	1,027	1,839	39,466	49,471	25	114	452	4,499	2,102	5	3	39	293	116						
Ariz.	427	359	881	14,546	16,914	23	111	448	4,397	2,020	3	0	2	22	9						
Colo.	-	151	482	4,512	11,938	N	0	0	N	N	-	1	7	58	39						
Idaho	-	50	191	2,236	2,018	N	0	0	N	N	1	0	5	30	14						
Mont.	-	44	195	1,912	1,827	N	0	0	N	N	-	0	26	105	16						
Nev.	172	77	432	3,920	5,704	2	1	4	49	48	1	0	1	8	11						
N. Mex.	-	172	339	7,422	6,648	-	0	3	13	16	-	0	4	16	13						
Utah	59	93	170	3,887	3,539	-	1	3	38	15	-	0	3	16	11						
Wyo.	-	27	55	1,031	883	-	0	2	2	3	-	0	11	38	3						
PACIFIC	1,889	3,294	5,079	130,121	131,034	37	43	1,179	1,917	1,137	-	2	52	66	279						
Alaska	-	84	152	3,247	3,347	-	0	0	-	-	-	0	1	4	3						
Calif.	1,189	2,570	4,231	101,948	101,598	37	43	1,179	1,917	1,137	-	0	14	-	162						
Hawaii	-	103	135	4,026	4,369	N	0	0	N	N	-	0	1	4	1						
Oreg.	307	170	315	6,931	7,020	N	0	0	N	N	-	1	6	58	61						
