
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 18, 2006 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	8,434	19,318	35,170	841,113	849,997	131	151	1,643	7,220	4,121	57	71	594	4,591	6,998						
NEW ENGLAND	691	646	1,550	29,674	28,435	-	0	0	-	-	1	4	36	262	335						
Conn.	31	178	1,214	8,439	8,346	N	0	0	N	N	-	0	33	33	77						
Maine	50	42	67	2,001	2,001	N	0	0	N	N	-	0	4	35	30						
Mass.	494	296	607	13,802	12,720	-	0	0	-	-	-	1	14	88	145						
N.H.	71	38	65	1,800	1,641	-	0	0	-	-	-	1	5	45	34						
R.I.	25	63	107	2,661	2,881	-	0	0	-	-	-	0	6	14	13						
Vt.	20	19	43	971	846	N	0	0	N	N	1	0	5	47	36						
MID. ATLANTIC	468	2,397	3,696	104,802	105,261	-	0	0	-	-	3	10	444	504	2,987						
N.J.	-	363	497	15,482	17,133	N	0	0	N	N	-	0	3	11	56						
N.Y. (Upstate)	468	499	1,727	21,281	21,009	N	0	0	N	N	3	3	441	156	2,530						
N.Y. City	-	740	1,567	33,086	34,332	N	0	0	N	N	-	2	7	90	141						
Pa.	-	757	1,104	34,953	32,787	N	0	0	N	N	-	4	17	247	260						
E.N. CENTRAL	988	3,140	12,578	137,784	144,367	-	1	3	41	11	9	15	105	1,132	1,554						
Ill.	-	974	1,695	45,515	44,939	-	0	0	-	-	-	2	18	139	151						
Ind.	356	390	510	17,243	17,900	N	0	0	N	N	1	1	18	89	79						
Mich.	517	661	9,888	30,738	24,542	-	0	3	35	11	-	2	8	128	102						
Ohio	42	631	1,424	27,180	38,866	-	0	2	6	-	8	5	33	334	744						
Wis.	73	387	531	17,108	18,120	N	0	0	N	N	-	5	53	442	478						
