
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 4, 2006 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	11,824	18,530	20,440	61,294	85,839	22	87	575	233	486	33	69	856	172	161						
NEW ENGLAND	464	601	1,202	2,109	2,939	-	0	0	-	-	-	4	34	5	3						
Conn.	-	150	865	68	732	N	0	0	N	N	-	0	14	1	-						
Maine	40	42	74	185	225	N	0	0	N	N	-	0	2	1	-						
Mass.	321	271	417	1,262	1,381	-	0	0	-	-	-	1	16	1	2						
N.H.	18	33	64	141	176	-	0	0	-	-	-	0	3	1	-						
R.I.	67	63	99	333	317	-	0	0	-	-	-	0	5	-	-						
Vt.	18	19	43	120	108	-	0	0	-	-	-	0	5	1	1						
MID. ATLANTIC	1,351	2,268	3,379	7,153	9,763	-	0	0	-	-	2	10	606	33	30						
N.J.	85	361	529	521	1,846	N	0	0	N	N	-	0	11	-	2						
N.Y. (Upstate)	363	498	1,519	1,080	1,055	N	0	0	N	N	1	3	567	4	3						
N.Y. City	361	704	1,168	2,592	3,292	-	0	0	-	-	-	2	15	8	11						
Pa.	542	722	1,082	2,960	3,570	N	0	0	N	N	1	3	21	21	14						
E.N. CENTRAL	2,025	3,077	4,059	9,992	13,003	-	0	3	1	-	6	12	162	26	32						
Ill.	855	882	1,699	3,100	3,273	-	0	0	-	-	-	1	16	-	6						
Ind.	351	381	558	1,815	2,087	N	0	0	N	N	2	1	13	2	-						
Mich.	628	550	1,015	3,510	1,390	-	0	3	1	-	-	2	7	6	4						
Ohio	70	798	1,714	802	4,267	N	0	1	N	N	4	4	109	16	12						
Wis.	121	378	495	765	1,986	N	0	0	N	N	-	4	38	2	10						
W.N. CENTRAL	747	1,114	1,303	4,217	5,600	-	0	3	-	-	8	8	51	20	24						
Iowa	140	140	221	707	650	N	0	0	N	N	-	1	11	-	3						
Kans.	262	140	274	754	729	N	0	0	N	N	-	0	5	4	3						
Minn.	-	226	293	181	1,201	-	0	3	-	-	7	2	10	11	5						
Mo.	233	437	604	1,858	2,222	-	0	1	-	-	-	2	37	4	11						
Nebr.	99	98	200	406	419	-	0	1	-	-	1	0	1	1	-						
N. Dak.	13	24	48	126	107	N	0	0	N	N	-	0	1	-	-						
S. Dak.	-	51	120	185	272	-	0	0	-	-	-	0	4	-	2						
S. ATLANTIC	3,516	3,317	4,678	13,527	16,028	-	0	1	2	-	13	11	53	64	28						
Del.	80	68	92	345	301	N	0	0	N	N	-	0	2	-	-						
D.C.	-	71	103	101	366	-	0	0	-	-	-	0	3	2	-						
Fla.	815	863	1,004	3,649	3,887	N	0	0	N	N	5	5	28	20	11						
Ga.	-	600	1,013	210	2,068	-	0	0	-	-	2	2	11	21	5						
Md.	284	364	525	1,711	1,598	-	0	1	2	-	1	0	4	3	4						
N.C.	1,743	526	1,741	4,090	3,554	N	0	0	N	N	5	1	10	16	5						
S.C.	-	333	1,418	1,099	1,719	-	0	0	-	-	-	0	3	-	-						
Va.	515	381	713	1,728	2,321	-	0	0	-	-	-	1	8	2	1						
W. Va.	79	46	361	594	214	N	0	0	N	N	-	0	3	-	2						
E.S. CENTRAL	1,119	1,349	2,189	4,320	6,324	-	0	0	-	-	1	2	21	3	6						
Ala.	381	310	1,048	974	1,302	-	0	0	-	-	1	0	3	2	3						
Ky.	199	158	408	994	1,069	N	0	0	N	N	-	1	20	1	1						
Miss.	-	390	801	-	1,974	-	0	0	-	-	-	0	1	-	1						
Tenn.	539	459	703	2,352	1,979	N	0	0	N	N	-	0	4	-	1						
W.S. CENTRAL	518	1,974	3,003	5,038	11,804	-	0	1	-	-	2	2	30	11	4						
Ark.	177	168	340	684	824	-	0	0	-	-	1	0	1	1	-						
La.	67	268	760	237	1,476	-	0	1	-	-	-	0	21	2	-						
Okla.	274	207	1,843	893	1,113	N	0	0	N	N	1	0	10	4	1						
Tex.	-	1,327	1,820	3,224	8,391	N	0	0	N	N	-	1	8	4	3						
MOUNTAIN	391	1,064	1,555	3,254	5,572	-	64	204	1	270	-	2	8	4	9						
Ariz.	327	331	572	1,738	1,941	-	62	204	-	260	-	0	1	-	2						
Colo.	-	260	376	515	1,351	N	0	0	N	N	-	1	3	1	2						
Idaho	-	29	236	-	208	N	0	0	N	N	-	0	2	-	-						
Mont.	-	42	171	-	231	N	0	0	N	N	-	0	3	1	-						
Nev.	39	147	459	647	698	-	1	4	-	8	-	0	2	-	2						
N. Mex.	-	108	281	-	655	-	0	2	-	1	-	0	2	-	2						
Utah	-	87	132	222	376	-	0	3	-	1	-	0	3	2	1						
Wyo.	25	23	43	132	112	-	0	2	1	-	-	0	2	-	-						
PACIFIC	1,693	3,199	3,941	11,684	14,806	22	28	486	229	216	1	6	29	6	25						
Alaska	63	77	121	203	261	-	0	0	-	-	-	0	2	-	-						
Calif.	1,011	2,466	3,152	8,722	11,475	22	28	486	229	216	-	3	13	-	22						
Hawaii	-	105	132	334	539	-	0	0	-	-	-	0	1	-	-						
Oreg.	183	168	315	786	760	-	0	0	-	-	1	1	20	6	3						
Wash.	436	366	501	1,639	1,771	N	0	0	N	N	-	0	7	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	76	141	270	300	N	0	0	N	N	N	0	0	N	N						
V.I.	-	4	12	-	48	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


