
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2007 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	115	258	743	1,206	2,675	26	107	173	480	858	2	32	118	65	252						
NEW ENGLAND	1	21	53	41	290	6	11	26	75	79	-	0	1	-	-						
Conn.	-	1	9	-	17	2	4	14	35	20	-	0	0	-	-						
Maine	-	2	14	19	17	3	2	8	14	11	N	0	0	N	N						
Mass.	-	3	28	-	221	-	2	17	-	34	-	0	1	-	-						
N.H.	1	2	27	7	2	-	1	5	8	2	-	0	1	-	-						
R.I.	-	0	17	-	11	-	0	3	4	2	-	0	1	-	-						
Vt.	-	1	14	15	22	1	2	5	14	10	-	0	0	-	-						
MID. ATLANTIC	26	37	156	274	315	-	17	57	38	108	-	1	6	7	9						
N.J.	-	4	11	8	85	-	0	0	-	-	-	0	1	-	1						
N.Y. (Upstate)	20	20	150	194	72	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	8	-	18	-	1	5	8	-	-	0	3	1	2						
Pa.	6	10	25	72	140	-	16	56	30	108	-	1	4	6	6						
E.N. CENTRAL	8	41	78	267	442	1	2	18	1	4	-	1	6	1	3						
Ill.	-	10	23	35	115	-	0	7	-	1	-	0	4	-	1						
Ind.	-	3	34	1	21	-	0	2	-	-	-	0	1	-	-						
Mich.	1	11	39	64	88	-	0	5	-	2	-	0	1	1	-						
Ohio	7	12	56	163	149	1	0	9	1	1	-	0	4	-	2						
Wis.	-	2	7	4	69	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	-	18	97	84	347	2	6	20	24	28	-	3	14	9	3						
Iowa	-	5	16	26	97	-	1	7	2	4	-	0	1	-	-						
Kans.	-	4	13	38	93	1	2	5	15	10	-	0	1	-	-						
Minn.	-	0	80	-	-	1	0	6	3	2	-	0	2	-	-						
Mo.	-	5	10	9	109	-	1	6	1	2	-	2	12	9	3						
Nebr.	-	1	9	1	43	-	0	0	-	-	-	0	5	-	-						
N. Dak.	-	0	9	1	4	-	0	7	3	2	-	0	0	-	-						
S. Dak.	-	0	4	9	1	-	0	4	-	8	-	0	0	-	-						
S. ATLANTIC	40	17	136	160	187	15	39	62	277	469	1	13	68	34	227						
Del.	-	0	1	-	1	-	0	0	-	-	-	0	3	1	2						
D.C.	-	0	2	1	2	-	0	0	-	-	-	0	1	-	-						
