
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2007 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	51	43	105	567	611	8	6	19	79	76	68	181	252	1,300	1,601						
NEW ENGLAND	2	0	4	13	7	-	0	1	-	1	5	4	13	32	35						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	10	4	4						
Maine	-	0	2	3	2	-	0	1	-	-	-	0	1	-	3						
Mass.	-	0	0	-	-	-	0	0	-	-	4	2	7	21	22						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	2	4	4						
R.I.	-	0	3	4	1	-	0	1	-	-	-	0	3	3	1						
Vt.	2	0	2	6	4	-	0	1	-	1	-	0	1	-	1						
MID. ATLANTIC	4	3	8	38	28	-	0	5	9	2	9	24	38	264	184						
N.J.	-	0	0	-	-	-	0	0	-	-	4	3	8	30	29						
N.Y. (Upstate)	3	1	5	13	6	-	0	4	5	-	4	3	14	25	21						
N.Y. City	-	0	0	-	-	-	0	0	-	-	-	12	29	167	94						
Pa.	1	2	6	25	22	-	0	2	4	2	1	5	12	42	40						
E.N. CENTRAL	10	10	40	153	126	3	1	8	19	21	16	15	32	106	178						
Ill.	-	0	2	-	7	-	0	1	-	2	6	7	13	21	99						
Ind.	4	2	29	24	18	-	0	5	3	6	-	1	5	5	18						
Mich.	-	0	3	-	7	-	0	1	-	1	3	2	10	23	15						
Ohio	6	5	38	129	94	3	1	5	16	12	7	4	9	49	37						
Wis.	N	0	0	N	N	-	0	0	-	-	-	1	4	8	9						
W.N. CENTRAL	2	1	51	19	11	-	0	10	3	1	2	5	14	40	41						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	-	3						
Kans.	-	0	1	2	-	-	0	0	-	-	-	0	3	4	5						
Minn.	-	0	50	-	-	-	0	10	-	-	-	1	5	15	11						
Mo.	2	1	3	17	11	-	0	2	2	1	2	3	9	21	20						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	2						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	3	-	-	-	0	1	1	-	-	0	3	-	-						
S. ATLANTIC	31	21	49	273	358	4	3	8	36	31	7	42	132	254	344						
Del.	-	0	0	-	-	-	0	1	1	-	-	0	3	2	6						
D.C.	-	0	3	2	8	-	0	2	-	-	-	2	7	23	29						
Fla.	17	12	29	146	148	4	2	8	31	30	-	14	23	68	137						
Ga.	14	7	17	118	181	-	0	1	-	1	-	7	101	7	20						
Md.	-	0	0	-	-	-	0	0	-	-	-	5	14	45	52						
N.C.	-	0	0	-	-	-	0	0	-	-	2	5	21	52	61						
S.C.	-	0	0	-	-	-	0	0	-	-	-	1	5	15	16						
Va.	N	0	0	N	N	-	0	0	-	-	5	3	17	42	23						
W. Va.	-	1	14	7	21	-	0	1	4	-	-	0	2	-	-						
E.S. CENTRAL	1	3	11	33	51	1	0	2	5	7	14	14	29	129	101						
Ala.	N	0	0	N	N	-	0	0	-	-	2	5	17	36	52						
Ky.	-	0	3	8	11	-	0	2	-	-	1	1	9	19	6						
Miss.	-	0	0	-	-	-	0	0	-	-	4	1	8	23	14						
Tenn.	1	2	10	25	40	1	0	2	5	7	7	5	12	51	29						
W.S. CENTRAL	-	1	5	28	6	-	0	2	4	2	10	29	57	256	251						
Ark.	-	0	3	1	4	-	0	0	-	2	1	1	7	22	16						
La.	-	0	2	8	2	-	0	1	1	-	8	5	30	56	34						
Okla.	-	0	4	19	-	-	0	2	3	-	1	1	4	15	15						
Tex.	-	0	0	-	-	-	0	0	-	-	-	21	32	163	186						
MOUNTAIN	1	1	7	10	24	-	0	5	3	11	1	8	27	36	78						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	3	16	11	34						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	1	12						
