
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 24, 2007 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	8,537	19,868	22,939	193,060	224,929	80	151	478	1,792	1,990	15	68	301	506	597						
NEW ENGLAND	686	668	1,358	7,324	6,439	-	0	0	-	-	-	3	22	21	71						
Conn.	231	184	827	1,505	1,250	N	0	0	N	N	-	0	5	5	38						
Maine	55	45	72	597	461	-	0	0	-	-	-	0	6	7	7						
Mass.	291	304	604	3,739	3,278	-	0	0	-	-	-	0	14	-	19						
N.H.	31	39	69	460	393	-	0	0	-	-	-	0	5	4	5						
R.I.	61	64	108	814	755	-	0	0	-	-	-	0	5	-	-						
Vt.	17	20	45	209	302	N	0	0	N	N	-	1	5	5	2						
MID. ATLANTIC	1,828	2,478	4,052	26,116	27,446	-	0	0	-	-	2	10	33	63	97						
N.J.	166	390	543	3,420	4,373	N	0	0	N	N	-	0	3	-	3						
N.Y. (Upstate)	496	502	2,634	4,972	4,427	N	0	0	N	N	1	3	13	18	18						
N.Y. City	652	757	1,325	8,742	9,543	N	0	0	N	N	-	2	12	10	28						
Pa.	514	777	1,006	8,982	9,103	N	0	0	N	N	1	4	18	35	48						
E.N. CENTRAL	1,281	3,171	4,167	30,374	39,086	1	1	3	9	8	3	16	110	94	133						
Ill.	365	1,005	1,296	9,821	12,871	-	0	0	-	-	-	2	22	3	20						
Ind.	361	374	631	4,664	4,822	-	0	0	-	-	1	1	18	8	6						
Mich.	403	757	1,225	8,399	6,385	1	1	3	7	5	2	2	9	21	22						
Ohio	58	625	1,455	3,805	9,842	-	0	2	2	3	-	5	33	44	49						
Wis.	94	370	527	3,685	5,166	N	0	0	N	N	-	5	53	18	36						
W.N. CENTRAL	550	1,192	1,445	12,496	14,495	-	0	54	2	-	-	12	77	77	73						
Iowa	125	160	224	1,925	2,075	N	0	0	N	N	-	2	28	13	5						
Kans.	-	147	271	1,529	1,905	N	0	0	N	N	-	1	8	11	14						
Minn.	-	246	322	1,826	3,053	-	0	54	-	-	-	3	25	20	30						
Mo.	311	450	628	5,220	5,276	-	0	1	2	-	-	2	21	13	16						
Nebr.	58	102	180	1,125	1,150	N	0	0	N	N	-	1	16	5	4						
N. Dak.	13	30	64	312	448	N	0	0	N	N	-	0	1	1	-						
S. Dak.	43	50	84	559	588	N	0	0	N	N	-	1	7	14	4						
S. ATLANTIC	699	3,755	6,115	32,329	42,091	-	0	1	1	2	4	17	68	163	147						
Del.	69	69	111	858	864	N	0	0	N	N	-	0	3	2	-						
D.C.	93	63	161	1,062	638	-	0	0	-	-	-	0	2	3	5						
Fla.	-	960	1,187	3,300	10,773	N	0	0	N	N	4	8	32	84	56						
Ga.	-	702	3,022	5,705	7,161	N	0	0	N	N	-	5	12	44	41						
Md.	100	341	466	3,603	3,970	-	0	1	1	2	-	0	2	4	7						
N.C.	-	624	1,772	6,449	9,100	-	0	0	-	-	-	0	11	7	23						
S.C.	-	384	2,105	5,402	3,245	N	0	0	N	N	-	1	14	10	5						
Va.	437	464	687	5,398	5,771	N	0	0	N	N	-	1	5	8	9						
W. Va.	-	58	96	552	569	N	0	0	N	N	-	0	3	1	1						
E.S. CENTRAL	769	1,456	2,085	16,475	17,170	-	0	0	-	-	4	3	14	26	13						
Ala.	61	423	651	3,967	5,749	N	0	0	N	N	3	0	11	12	5						
Ky.	123	137	691	1,324	2,063	N	0	0	N	N	-	1	3	8	4						
Miss.	-	375	957	4,235	3,540	N	0	0	N	N	-	0	3	3	1						
Tenn.	585	519	711	6,949	5,818	N	0	0	N	N	1	1	5	3	3						
W.S. CENTRAL	1,679	2,150	3,025	22,060	24,963	-	0	1	-	-	1	5	45	22	23						
Ark.	173	154	337	1,805	1,873	N	0	0	N	N	-	0	2	2	1						
La.	46	286	610	1,131	4,129	-	0	1	-	-	-	1	9	5	-						
Okla.	472	252	423	3,143	2,316	N	0	0	N	N	1	0	4	10	9						
Tex.	988	1,450	1,905	15,981	16,645	N	0	0	N	N	-	3	36	5	13						
MOUNTAIN	373	1,269	2,018	9,671	14,661	77	108	201	1,251	1,504	-	3	39	26	22						
Ariz.	257	431	993	2,581	4,290	77	105	199	1,228	1,468	-	0	3	7	3						
Colo.	78	319	416	1,781	3,595	N	0	0	N	N	-	1	7	11	4						
Idaho	-	46	253	549	788	N	0	0	N	N	-	0	5	1	2						
Mont.	14	50	143	557	493	N	0	0	N	N	-	0	26	1	4						
Nev.	-	107	397	1,652	1,579	-	1	3	7	16	-	0	1	-	3						
N. Mex.	-	182	314	1,270	2,448	-	0	3	5	4	-	0	5	5	1						
Utah	-	97	201	989	1,137	-	1	4	11	14	-	0	3	1	5						
Wyo.	24	27	54	292	331	-	0	0	-	2	-	0	11	-	-						
PACIFIC	672	3,381	4,067	36,215	38,578	2	53	299	529	476	1	1	5	14	18						
Alaska	62	86	157	984	935	N	0	0	N	N	-	0	1	-	-						
Calif.	496	2,677	3,187	28,320	29,778	2	53	299	529	476	-	0	0	-	-						
Hawaii	-	107	133	976	1,342	N	0	0	N	N	-	0	1	-	-						
Oreg.	114	162	394	2,106	2,221	N	0	0	N	N	1	1	4	14	18						
Wash.	-	352	548	3,829	4,302	N	0	0	N	N	-	0	0	-	-						
Amer. Samoa	U	0	46	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	108	236	1,770	1,146	N	0	0	N	N	N	0	0	N	N						
V.I.	U	4	15	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


