
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 24, 2007 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	89	88	215	1,099	1,583	19	24	88	347	335											
NEW ENGLAND	-	2	15	17	58	-	1	4	9	17											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	5	5	-	0	2	-	-											
Mass.	-	0	5	-	41	-	0	4	-	14											
N.H.	-	0	9	4	8	-	0	4	5	3											
R.I.	-	0	4	-	3	-	0	3	3	-											
Vt.	-	0	2	8	1	-	0	1	1	-											
MID. ATLANTIC	13	17	39	204	307	-	3	17	32	54											
N.J.	-	2	8	20	58	-	1	4	-	17											
N.Y. (Upstate)	9	5	26	78	82	-	2	14	32	33											
N.Y. City	-	3	8	34	57	-	0	2	-	4											
Pa.	4	6	11	72	110	N	0	0	N	N											
E.N. CENTRAL	6	15	46	179	362	-	6	14	55	96											
Ill.	-	4	11	31	122	-	1	6	9	26											
Ind.	5	2	12	25	41	-	0	10	5	9											
Mich.	1	3	11	52	74	-	1	5	22	24											
Ohio	-	4	19	71	83	-	1	7	18	20											
Wis.	-	1	6	-	42	-	0	2	1	17											
W.N. CENTRAL	20	4	57	97	118	5	2	10	31	23											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	10	28	-	0	3	2	6											
Minn.	16	0	52	45	52	5	1	6	16	7											
Mo.	2	2	5	31	22	-	0	2	10	6											
Nebr.	-	0	2	3	11	-	0	2	2	3											
N. Dak.	2	0	2	6	4	-	0	1	1	1											
S. Dak.	-	0	2	2	1	-	0	0	-	-											
S. ATLANTIC	19	20	45	280	321	5	2	12	76	20											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	4	4	-	0	1	-	-											
Fla.	9	5	16	61	78	5	0	6	20	-											
Ga.	-	5	11	72	79	-	0	5	23	-											
Md.	-	4	10	49	70	-	1	5	23	15											
N.C.	2	0	26	32	34	-	0	0	-	-											
S.C.	3	1	5	19	25	-	0	2	7	-											
Va.	3	2	10	38	24	-	0	1	2	-											
W. Va.	2	0	6	5	6	-	0	3	1	5											
E.S. CENTRAL	3	4	11	52	70	3	0	6	23	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	0	4	12	20	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	5											
Tenn.	2	3	9	40	50	3	0	6	21	-											
W.S. CENTRAL	9	6	61	70	114	2	4	39	54	50											
Ark.	1	0	5	9	3	1	0	2	6	8											
La.	-	0	2	3	1	-	0	4	12	2											
Okla.	5	2	5	31	42	1	1	12	17	12											
Tex.	3	3	56	27	68	-	2	24	19	28											
MOUNTAIN	17	11	42	176	210	2	4	9	56	68											
Ariz.	4	5	34	67	120	1	2	7	34	44											
Colo.	6	3	9	54	38	1	1	4	15	16											
Idaho	-	0	1	5	3	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	1	-	0	0	-	-											
N. Mex.	1	1	4	10	26	-	0	3	7	7											
Utah	6	1	7	37	20	-	0	0	-	-											
Wyo.	-	0	1	2	2	-	0	0	-	-											
PACIFIC	2	2	9	24	23	2	0	4	11	2											
Alaska	2	0	2	7	N	2	0	2	9	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	17	23	-	0	2	2	2											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


