
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2007 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	10,216	19,779	23,540	237,694	267,578	116	150	478	2,128	2,362	14	68	301	583	712						
NEW ENGLAND	372	674	1,364	8,502	7,928	-	0	0	-	-	1	3	22	27	73						
Conn.	207	201	833	2,006	1,625	N	0	0	N	N	-	0	7	7	38						
Maine	55	47	73	707	557	-	0	0	-	-	1	0	6	8	8						
Mass.	-	304	604	4,117	4,025	-	0	0	-	-	-	0	14	-	20						
N.H.	20	38	69	503	470	-	0	0	-	-	-	0	5	6	5						
R.I.	69	63	108	925	908	-	0	0	-	-	-	0	5	-	-						
Vt.	21	20	45	244	343	N	0	0	N	N	-	1	5	6	2						
MID. ATLANTIC	2,257	2,459	4,163	31,724	32,776	-	0	0	-	-	3	11	33	71	115						
N.J.	-	384	543	3,842	5,118	N	0	0	N	N	-	0	3	-	8						
N.Y. (Upstate)	572	505	2,745	6,164	5,490	N	0	0	N	N	3	3	13	23	22						
N.Y. City	1,202	753	1,325	11,224	11,436	N	0	0	N	N	-	2	12	13	30						
Pa.	483	770	1,006	10,494	10,732	N	0	0	N	N	-	4	18	35	55						
E.N. CENTRAL	1,064	3,201	4,471	38,636	46,061	-	1	3	10	9	2	15	110	121	159						
Ill.	575	1,019	1,333	12,153	14,982	-	0	0	-	-	-	2	22	3	22						
Ind.	-	374	632	5,077	5,685	-	0	0	-	-	-	1	18	10	9						
Mich.	309	757	1,225	9,454	7,513	-	1	3	8	6	-	2	9	29	30						
Ohio	27	625	2,269	7,294	11,878	-	0	2	2	3	2	5	33	48	57						
Wis.	153	374	528	4,658	6,003	N	0	0	N	N	-	4	53	31	41						
W.N. CENTRAL	93	1,186	1,445	13,820	16,962	1	0	54	3	-	4	12	77	91	96						
Iowa	-	155	225	2,064	2,373	N	0	0	N	N	-	2	28	15	7						
Kans.	-	147	270	1,861	2,267	N	0	0	N	N	-	1	8	13	14						
Minn.	-	245	314	2,396	3,585	-	0	54	-	-	2	3	25	23	40						
Mo.	-	447	628	5,220	6,133	1	0	1	3	-	2	2	21	19	23						
Nebr.	-	99	180	1,260	1,395	N	0	0	N	N	-	1	16	6	4						
N. Dak.	33	30	64	351	530	N	0	0	N	N	-	0	1	1	-						
S. Dak.	60	50	84	668	679	N	0	0	N	N	-	1	7	14	8						
S. ATLANTIC	2,399	3,706	6,115	39,069	51,227	-	0	1	1	2	3	17	68	177	168						
Del.	41	68	111	965	1,008	N	0	0	N	N	-	0	3	2	-						
D.C.	92	65	161	1,331	755	-	0	0	-	-	-	0	2	3	5						
Fla.	-	960	1,187	3,300	12,561	N	0	0	N	N	2	8	32	89	65						
Ga.	-	708	3,022	6,520	8,682	N	0	0	N	N	1	5	12	49	45						
