
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2007 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	85	88	212	1,363	1,845	15	24	88	403	402											
NEW ENGLAND	-	2	15	19	69	-	1	4	9	21											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	5	8	-	0	2	-	-											
Mass.	-	0	5	-	46	-	0	4	-	17											
N.H.	-	0	9	4	10	-	0	4	5	4											
R.I.	-	0	6	-	3	-	0	3	3	-											
Vt.	-	0	2	10	2	-	0	1	1	-											
MID. ATLANTIC	15	17	39	263	365	1	3	17	34	69											
N.J.	-	2	8	23	69	-	0	4	-	20											
N.Y. (Upstate)	9	5	26	93	106	1	2	14	34	44											
N.Y. City	-	3	8	52	66	-	0	2	-	5											
Pa.	6	6	11	95	124	N	0	0	N	N											
E.N. CENTRAL	16	14	31	221	418	2	6	14	64	119											
Ill.	-	4	11	33	135	-	1	6	9	32											
Ind.	-	2	12	32	44	-	0	10	6	17											
Mich.	2	3	10	63	93	-	1	5	25	28											
Ohio	14	4	14	93	98	2	1	7	23	23											
Wis.	-	1	6	-	48	-	0	2	1	19											
W.N. CENTRAL	3	5	32	114	126	-	2	10	35	28											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	15	30	-	0	3	3	7											
Minn.	-	0	29	48	52	-	1	6	19	10											
Mo.	1	2	5	36	24	-	0	2	10	6											
Nebr.	-	0	2	4	13	-	0	2	2	4											
N. Dak.	2	0	2	8	4	-	0	1	1	1											
S. Dak.	-	0	2	3	3	-	0	0	-	-											
S. ATLANTIC	31	20	45	350	394	4	2	11	85	22											
Del.	-	0	2	-	3	-	0	0	-	-											
D.C.	-	0	2	4	4	-	0	1	-	-											
Fla.	9	5	16	78	88	1	0	5	19	-											
Ga.	7	5	11	87	91	1	0	5	30	-											
Md.	4	3	10	58	83	2	1	5	25	17											
N.C.	5	0	26	45	55	-	0	0	-	-											
S.C.	3	1	5	23	25	-	0	2	8	-											
Va.	3	2	10	49	37	-	0	1	2	-											
W. Va.	-	0	6	6	8	-	0	3	1	5											
E.S. CENTRAL	3	4	11	60	81	-	0	6	23	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	4	14	24	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	5											
Tenn.	3	3	7	46	57	-	0	6	21	-											
W.S. CENTRAL	5	6	61	89	134	5	4	39	70	60											
Ark.	1	0	5	10	6	1	0	2	7	9											
La.	-	0	2	3	1	-	0	4	12	2											
Okla.	1	2	5	35	45	2	1	12	20	13											
Tex.	3	3	56	41	82	2	1	24	31	36											
MOUNTAIN	12	11	42	214	230	3	4	11	72	76											
Ariz.	2	5	34	82	129	1	2	7	42	49											
Colo.	6	3	9	63	42	2	1	4	19	18											
Idaho	-	0	1	5	3	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	1	-	0	0	-	-											
N. Mex.	-	1	4	17	29	-	0	4	11	8											
Utah	4	1	7	44	24	-	0	0	-	-											
Wyo.	-	0	1	2	2	-	0	0	-	-											
PACIFIC	-	3	9	33	28	-	0	4	11	2											
Alaska	-	0	2	7	N	-	0	2	9	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	26	28	-	0	2	2	2											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


