
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2007 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	64	245	977	2,017	4,466	43	96	174	1,054	1,644	13	30	114	160	327						
NEW ENGLAND	-	16	54	75	464	7	11	25	135	189	-	0	8	-	-						
Conn.	-	2	9	15	24	5	4	14	47	40	-	0	0	-	-						
Maine	-	2	15	32	23	1	2	8	26	28	N	0	0	N	N						
Mass.	-	0	22	-	344	-	0	7	-	96	-	0	1	-	-						
N.H.	-	2	28	12	17	1	1	5	11	-	-	0	1	-	-						
R.I.	-	0	30	-	21	-	0	3	12	5	-	0	8	-	-						
Vt.	-	1	14	16	35	-	2	6	39	20	-	0	0	-	-						
MID. ATLANTIC	10	32	159	394	539	1	16	57	121	230	-	2	7	13	19						
N.J.	-	4	12	46	122	-	0	0	-	-	-	0	2	-	5						
N.Y. (Upstate)	4	20	150	238	182	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	6	-	-	1	1	5	24	1	-	0	3	4	2						
Pa.	6	9	22	110	235	-	16	56	97	229	-	1	4	9	12						
E.N. CENTRAL	20	39	79	466	687	-	2	18	8	9	1	1	6	5	4						
Ill.	-	9	23	50	176	-	0	7	3	1	-	0	4	1	1						
Ind.	2	3	37	11	54	-	0	2	-	-	1	0	1	1	1						
Mich.	-	10	39	102	135	-	0	5	4	8	-	0	1	1	-						
Ohio	18	12	56	262	230	-	0	9	1	-	-	0	4	2	2						
Wis.	-	3	10	41	92	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	3	17	140	138	544	2	5	20	51	68	2	3	13	24	11						
Iowa	-	4	16	39	143	1	1	7	7	9	-	0	1	-	-						
Kans.	-	3	14	53	117	-	2	6	31	26	-	0	1	-	-						
Minn.	-	0	120	-	71	-	0	6	3	7	-	0	2	-	1						
Mo.	-	4	10	21	142	-	1	6	3	6	2	3	12	24	10						
Nebr.	-	1	4	7	60	-	0	0	-	-	-	0	5	-	-						
N. Dak.	3	0	9	4	4	-	0	7	6	2	-	0	0	-	-						
S. Dak.	-	0	4	14	7	1	0	3	1	18	-	0	0	-	-						
S. ATLANTIC	17	17	163	296	327	27	38	62	602	742	5	11	67	87	257						
Del.	1	0	1	2	2	-	0	0	-	-	-	0	3	4	4						
