
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 5, 2007 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	90	241	980	2,142	4,763	48	93	174	1,121	1,786	15	29	114	185	345						
NEW ENGLAND	1	16	54	76	516	9	11	25	154	196	-	0	8	-	1						
Conn.	-	2	10	15	24	5	4	14	52	42	-	0	0	-	-						
Maine	-	2	15	32	23	1	2	8	27	28	N	0	0	N	N						
Mass.	-	0	22	-	356	-	0	7	-	102	-	0	1	-	1						
N.H.	1	2	28	13	45	1	1	5	12	-	-	0	1	-	-						
R.I.	-	0	30	-	21	1	0	3	13	5	-	0	8	-	-						
Vt.	-	1	14	16	47	1	2	10	50	19	-	0	0	-	-						
MID. ATLANTIC	10	32	159	405	582	-	16	57	121	247	-	2	7	14	22						
N.J.	-	4	12	46	128	-	0	0	-	-	-	0	2	-	6						
N.Y. (Upstate)	6	20	150	244	204	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	6	-	-	-	1	5	24	2	-	0	3	4	3						
Pa.	4	9	22	115	250	-	15	56	97	245	-	1	4	10	13						
E.N. CENTRAL	16	39	79	501	716	13	2	18	21	13	-	1	6	6	5						
Ill.	-	9	23	59	182	-	0	7	3	2	-	0	4	1	2						
Ind.	-	3	37	11	57	1	0	2	1	1	-	0	1	1	1						
Mich.	2	10	39	104	139	-	0	5	4	10	-	0	1	1	-						
Ohio	14	12	56	276	242	12	0	9	13	-	-	0	4	3	2						
Wis.	-	3	10	51	96	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	5	17	140	151	559	3	5	20	61	74	1	3	13	26	14						
Iowa	-	4	16	43	145	-	1	7	7	10	-	0	1	-	-						
Kans.	2	3	14	58	122	1	2	6	39	28	-	0	1	-	-						
Minn.	-	0	120	-	72	1	0	6	4	8	-	0	2	-	1						
Mo.	2	4	10	24	148	1	1	6	4	7	1	3	12	26	13						
Nebr.	1	1	4	8	60	-	0	0	-	-	-	0	5	-	-						
N. Dak.	-	0	9	4	4	-	0	7	6	2	-	0	0	-	-						
S. Dak.	-	0	4	14	8	-	0	3	1	19	-	0	0	-	-						
S. ATLANTIC	22	17	163	318	351	19	38	62	622	797	13	11	67	100	261						
Del.	-	0	1	2	2	-	0	0	-	-	-	0	3	4	4						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	1	4	18	94	77	-	0	19	42	176	-	0	4	5	6						
Ga.	-	0	3	-	8	-	4	16	36	81	-	0	5	2	5						
Md.	1	2	7	43	64	-	6	12	93	134	-	1	6	14	9						
N.C.	18	0	112	109	70	8	11	21	157	117	12	4	61	58	228						
S.C.	2	3	11	29	51	-	3	11	35	43	-	1	5	6	3						
Va.	-	2	19	33	72	11	12	31	235	216	1	2	12	9	6						
W. Va.	-	0	19	6	4	-	2	8	24	30	-	0	2	1	-						
E.S. CENTRAL	1	6	24	73	91	-	4	13	28	76	1	5	27	38	29						
Ala.	-	1	17	21	23	-	1	8	-	25	-	1	9	6	7						
Ky.	-	0	5	1	14	-	0	4	7	5	-	0	1	1	-						
Miss.	-	0	8	8	11	-	0	1	-	3	-	0	1	-	-						
Tenn.	1	3	11	43	43	-	2	7	21	43	1	4	22	31	22						
W.S. CENTRAL	-	16	147	94	210	-	2	34	27	283	-	1	28	-	6						
Ark.	-	1	13	3	18	-	0	5	9	11	-	0	10	-	4						
La.	-	0	2	6	6	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	9	1	2	-	1	9	18	20	-	0	18	-	1						
Tex.	-	14	134	84	184	-	0	29	-	252	-	0	6	-	1						
MOUNTAIN	31	34	75	430	1,125	1	2	28	26	45	-	0	4	1	6						
Ariz.	12	6	31	108	215	-	1	10	24	38	-	0	2	-	2						
Colo.	6	7	20	108	431	-	0	0	-	-	-	0	1	-	1						
Idaho	1	1	7	16	27	-	0	24	-	-	-	0	3	1	-						
Mont.	-	1	8	14	43	-	0	2	-	3	-	0	2	-	-						
Nev.	-	0	9	3	24	-	0	1	-	-	-	0	0	-	-						
N. Mex.	-	2	8	13	31	-	0	2	-	4	-	0	2	-	2						
Utah	12	10	50	156	327	-	0	1	1	-	-	0	0	-	-						
Wyo.	-	1	8	12	27	1	0	2	1	-	-	0	1	-	1						
PACIFIC	4	31	229	94	613	3	4	12	61	55	-	0	1	-	1						
Alaska	1	1	8	9	28	-	0	6	26	11	N	0	0	N	N						
Calif.	-	22	226	-	351	3	3	11	35	43	-	0	1	-	-						
Hawaii	-	0	7	7	49	N	0	0	N	N	N	0	0	N	N						
Oreg.	1	1	9	33	52	-	0	4	-	1	-	0	1	-	1						
Wash.	2	4	46	45	133	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	N	-	-	N	N						
P.R.	-	0	1	-	-	1	1	6	18	33	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


