
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2007 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A† current week
Hepatitis (Viral Acute), Type A† previous 52 weeks median 
Hepatitis (Viral Acute), Type A† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A† cummulative for 2007
Hepatitis (Viral Acute), Type A† cummulative for 2006
Hepatitis (Viral Acute), Type B† current week
Hepatitis (Viral Acute), Type B† previous 52 weeks median 
Hepatitis (Viral Acute), Type B† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B† cummulative for 2007
Hepatitis (Viral Acute), Type B† cummulative for 2006
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2007
Legionellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	17	56	175	957	1,512	16	79	390	1,458	1,623	10	53	114	507	532						
NEW ENGLAND	2	2	21	24	107	-	2	5	28	53	1	3	16	23	27						
Conn.	2	0	3	7	13	-	0	5	14	23	1	0	9	4	5						
Maine	-	0	2	-	5	-	0	2	1	10	-	0	2	-	3						
Mass.	-	1	4	8	79	-	0	1	2	15	-	1	11	13	16						
N.H.	-	0	15	5	2	-	0	2	5	-	-	0	2	-	2						
R.I.	-	0	2	3	2	-	0	4	5	4	-	0	6	5	-						
Vt.	-	0	2	1	6	-	0	1	1	1	-	0	2	1	1						
MID. ATLANTIC	2	7	18	123	139	-	9	19	173	204	-	15	57	126	146						
N.J.	-	1	4	21	40	-	2	6	30	63	-	2	11	12	20						
N.Y. (Upstate)	-	2	12	31	31	-	1	14	36	26	-	5	30	40	49						
N.Y. City	-	2	10	46	44	-	2	6	37	46	-	3	24	19	20						
Pa.	2	1	4	25	24	-	3	7	70	69	-	5	19	55	57						
E.N. CENTRAL	2	6	17	89	125	1	9	23	171	188	1	11	31	99	108						
Ill.	-	1	7	18	29	-	2	5	39	65	-	1	13	1	23						
Ind.	-	0	7	5	10	-	0	21	14	14	-	1	6	6	3						
Mich.	1	2	8	32	40	1	2	8	47	60	-	3	10	39	21						
Ohio	1	1	4	27	33	-	3	10	65	44	1	4	19	49	47						
Wis.	-	0	4	7	13	-	0	3	6	5	-	0	3	4	14						
W.N. CENTRAL	-	2	17	62	57	-	2	14	54	55	2	1	16	16	18						
Iowa	-	0	3	11	4	-	0	3	9	8	-	0	3	2	2						
Kans.	-	0	1	2	19	-	0	2	4	6	-	0	3	-	1						
Minn.	-	0	17	33	3	-	0	13	4	6	2	0	11	4	-						
Mo.	-	1	2	10	18	-	1	5	32	31	-	0	2	8	9						
Nebr.	-	0	2	4	8	-	0	3	3	3	-	0	2	1	4						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	2	2	5	-	0	1	2	1	-	0	1	1	2						
S. ATLANTIC	2	9	28	172	204	8	21	55	386	484	2	8	24	122	124						
Del.	-	0	1	1	8	-	0	3	6	21	-	0	2	1	2						
D.C.	-	0	5	14	2	-	0	2	1	4	-	0	5	1	4						
Fla.	-	3	13	57	72	7	7	14	141	172	2	2	9	57	61						
Ga.	2	1	4	27	20	1	3	10	43	75	-	1	3	10	5						
Md.	-	1	7	26	29	-	2	7	35	76	-	2	8	24	20						
N.C.	-	0	11	7	40	-	1	16	56	68	-	0	5	13	14						
S.C.	-	0	3	4	10	-	2	5	29	28	-	0	2	5	3						
Va.	-	1	5	34	22	-	2	5	55	15	-	1	4	8	14						
W. Va.	-	0	3	2	1	-	0	23	20	25	-	0	4	3	1						
E.S. CENTRAL	-	2	7	31	52	1	6	20	102	139	1	2	9	29	23						
Ala.	-	0	2	7	3	-	2	10	40	36	-	0	2	3	5						
Ky.	-	0	2	5	23	1	1	3	6	34	1	1	6	13	6						
Miss.	-	0	4	4	4	-	0	8	8	17	-	0	2	-	1						
Tenn.	-	1	5	15	22	-	3	7	48	52	-	1	7	13	11						
W.S. CENTRAL	-	6	19	63	130	1	19	159	257	250	-	1	15	26	11						
Ark.	-	0	2	4	31	-	1	7	7	27	-	0	1	1	1						
La.	-	0	4	8	3	-	1	5	17	11	-	0	2	1	-						
Okla.	-	0	3	3	3	1	1	41	14	1	-	0	6	-	1						
Tex.	-	5	15	48	93	-	15	108	219	211	-	1	12	24	9						
MOUNTAIN	5	5	17	127	128	2	3	9	89	58	-	2	8	31	37						
Ariz.	3	3	14	104	70	-	0	5	38	4	-	0	4	10	13						
Colo.	2	1	3	11	21	-	1	2	15	15	-	0	2	6	5						
Idaho	-	0	1	2	6	-	0	2	4	6	-	0	3	1	4						
Mont.	-	0	3	1	4	-	0	0	-	-	-	0	1	1	1						
Nev.	-	0	2	6	7	2	1	5	19	16	-	0	2	3	4						
N. Mex.	-	0	2	1	9	-	0	2	4	8	-	0	2	2	1						
Utah	-	0	1	2	10	-	0	4	9	9	-	0	2	6	9						
Wyo.	-	0	1	-	1	-	0	1	-	-	-	0	1	2	-						
PACIFIC	4	14	92	266	570	3	10	105	198	192	3	1	11	35	38						
Alaska	-	0	1	2	1	1	0	3	4	1	-	0	1	-	-						
Calif.	4	13	40	241	543	1	8	31	146	157	2	1	11	27	38						
Hawaii	-	0	2	2	6	-	0	1	-	4	-	0	0	-	-						
Oreg.	-	1	3	11	20	-	2	5	29	30	-	0	1	1	-						
Wash.	-	0	52	10	-	1	0	74	19	-	1	0	2	7	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	1	10	25	20	-	1	9	20	19	-	0	2	2	1						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for Hepatitis C viral, acute are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


