
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2007 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	44	93	247	2,251	2,756	9	28	103	663	647											
NEW ENGLAND	-	6	28	167	220	-	2	11	54	77											
Conn.	-	0	17	35	55	-	0	6	-	19											
Maine	-	0	2	8	9	-	0	1	1	-											
Mass.	-	4	10	95	140	-	2	6	42	57											
N.H.	-	0	9	18	6	-	0	4	6	1											
R.I.	-	0	12	-	4	-	0	3	3	-											
Vt.	-	0	2	11	6	-	0	1	2	-											
MID. ATLANTIC	6	16	39	416	523	-	3	19	53	89											
N.J.	-	1	6	28	94	-	0	4	-	31											
N.Y. (Upstate)	-	5	26	149	154	-	2	14	53	49											
N.Y. City	-	3	11	96	96	-	0	3	-	9											
Pa.	6	6	11	143	179	N	0	0	N	N											
E.N. CENTRAL	11	15	29	400	593	-	6	14	98	170											
Ill.	-	4	10	81	184	-	1	6	9	46											
Ind.	4	2	12	57	63	-	0	10	10	21											
Mich.	1	4	10	105	121	-	1	4	40	42											
Ohio	6	4	14	138	154	-	1	7	35	34											
Wis.	-	1	6	19	71	-	0	2	4	27											
W.N. CENTRAL	4	5	32	186	177	5	2	9	60	52											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	1	3	24	36	-	0	3	1	11											
Minn.	-	0	29	86	78	5	1	6	40	25											
Mo.	3	2	6	52	32	-	0	3	14	10											
Nebr.	-	0	2	11	18	-	0	2	4	4											
N. Dak.	-	0	2	9	6	-	0	1	1	2											
S. Dak.	-	0	2	4	7	-	0	0	-	-											
S. ATLANTIC	13	20	48	504	531	1	3	12	127	33											
Del.	-	0	2	3	5	-	0	0	-	-											
D.C.	-	0	3	7	7	-	0	1	-	-											
Fla.	7	5	16	127	125	-	0	5	31	-											
Ga.	6	5	11	100	135	1	0	4	39	-											
Md.	-	4	8	89	72	-	1	6	36	25											
N.C.	-	0	26	56	67	-	0	0	-	-											
S.C.	-	1	7	45	40	-	0	3	11	-											
Va.	-	2	11	67	66	-	0	3	8	-											
W. Va.	-	0	5	10	14	-	0	4	2	8											
E.S. CENTRAL	-	4	11	90	114	-	0	6	42	9											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	4	24	28	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	9											
Tenn.	-	3	7	66	86	-	0	6	40	-											
W.S. CENTRAL	-	6	80	138	192	1	4	39	110	87											
Ark.	-	0	2	12	17	1	0	2	7	14											
La.	-	0	2	4	2	-	0	4	24	2											
Okla.	-	2	21	41	56	-	1	12	25	20											
Tex.	-	3	56	81	117	-	1	24	54	51											
MOUNTAIN	9	11	23	297	364	1	4	12	102	117											
Ariz.	2	5	11	117	196	-	2	7	57	69											
Colo.	4	3	9	90	58	1	1	4	30	27											
Idaho	-	0	1	6	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	1	-	0	1	1	-											
N. Mex.	-	1	6	25	67	-	0	4	12	20											
Utah	3	1	7	54	34	-	0	0	-	-											
Wyo.	-	0	1	3	2	-	0	0	-	-											
PACIFIC	1	3	9	53	42	1	0	4	17	13											
Alaska	1	0	2	15	N	1	0	2	15	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	38	42	-	0	2	2	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


