
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 2, 2007 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	47	85	251	2,336	2,858	16	28	104	686	690											
NEW ENGLAND	-	6	29	169	240	-	2	11	56	85											
Conn.	-	0	17	35	55	-	0	6	-	20											
Maine	-	0	2	9	9	-	0	1	1	-											
Mass.	-	3	10	95	145	-	2	6	42	60											
N.H.	-	0	5	19	20	-	0	2	6	5											
R.I.	-	0	12	-	4	-	0	3	5	-											
Vt.	-	0	2	11	7	-	0	1	2	-											
MID. ATLANTIC	3	15	41	422	539	-	3	20	54	97											
N.J.	-	1	6	28	98	-	0	4	-	38											
N.Y. (Upstate)	-	5	27	147	158	-	2	15	54	50											
N.Y. City	-	3	11	98	97	-	0	3	-	9											
Pa.	3	6	11	149	186	N	0	0	N	N											
E.N. CENTRAL	11	15	29	414	607	-	5	14	100	174											
Ill.	-	4	10	81	186	-	1	6	9	48											
Ind.	5	2	12	62	66	-	0	10	10	22											
Mich.	1	4	10	108	126	-	1	4	41	43											
Ohio	5	4	14	144	158	-	1	7	35	33											
Wis.	-	1	6	19	71	-	0	2	5	28											
W.N. CENTRAL	4	5	32	189	180	1	2	8	60	51											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	3	24	37	-	0	1	1	9											
Minn.	4	0	29	90	78	1	1	6	41	26											
Mo.	-	2	6	49	33	-	0	2	13	10											
Nebr.	-	0	3	13	19	-	0	2	4	4											
N. Dak.	-	0	2	9	6	-	0	2	1	2											
S. Dak.	-	0	2	4	7	-	0	0	-	-											
S. ATLANTIC	15	20	48	538	547	6	2	13	136	34											
Del.	-	0	2	4	5	-	0	0	-	-											
D.C.	-	0	3	8	7	-	0	1	-	-											
Fla.	4	6	16	131	127	1	0	5	32	-											
Ga.	2	5	11	107	144	1	0	5	42	-											
Md.	5	4	8	97	75	1	1	6	37	26											
N.C.	-	0	26	56	67	-	0	0	-	-											
S.C.	2	1	7	50	41	3	0	3	15	-											
Va.	2	2	11	72	67	-	0	3	8	-											
W. Va.	-	0	3	13	14	-	0	4	2	8											
E.S. CENTRAL	1	4	11	91	118	-	0	6	42	10											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	4	25	29	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	10											
Tenn.	-	3	7	66	89	-	0	6	40	-											
W.S. CENTRAL	7	6	80	147	206	1	4	39	110	104											
Ark.	-	0	2	12	18	-	0	2	7	14											
La.	-	0	2	4	8	-	0	4	24	16											
Okla.	1	2	21	42	58	-	1	12	24	21											
Tex.	6	3	56	89	122	1	1	24	55	53											
MOUNTAIN	6	11	23	304	376	7	4	12	110	122											
Ariz.	2	5	11	120	202	4	2	7	62	72											
Colo.	4	3	9	94	62	3	1	4	33	29											
Idaho	-	0	1	6	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	1	-	0	1	1	-											
N. Mex.	-	1	6	25	68	-	0	4	12	20											
Utah	-	1	7	54	35	-	0	0	-	-											
Wyo.	-	0	1	3	2	-	0	0	-	-											
PACIFIC	-	3	9	62	45	1	0	4	18	13											
Alaska	-	0	2	15	N	1	0	2	16	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	47	45	-	0	2	2	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


