
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 16, 2007 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	10,193	20,223	25,287	448,663	461,898	172	152	658	3,803	4,034	27	66	319	1,138	1,262						
NEW ENGLAND	286	692	1,357	15,783	14,301	-	0	0	-	-	-	5	27	66	100						
Conn.	-	221	829	4,529	3,697	N	0	0	N	N	-	0	11	11	38						
Maine	-	48	73	1,138	975	-	0	0	-	-	-	0	6	11	13						
Mass.	200	309	600	7,276	6,651	-	0	0	-	-	-	2	19	18	31						
N.H.	25	40	71	905	828	-	0	0	-	-	-	1	4	12	12						
R.I.	50	65	108	1,540	1,571	-	0	0	-	-	-	0	5	5	3						
Vt.	11	20	45	395	579	N	0	0	N	N	-	1	4	9	3						
MID. ATLANTIC	1,626	2,616	4,284	63,657	56,507	-	0	0	-	-	4	10	37	141	201						
N.J.	-	373	541	6,751	8,885	N	0	0	N	N	-	0	5	-	10						
N.Y. (Upstate)	477	501	2,758	11,321	10,564	N	0	0	N	N	2	3	14	48	41						
N.Y. City	594	798	1,521	20,800	18,941	N	0	0	N	N	-	2	10	25	60						
Pa.	555	816	1,790	24,785	18,117	N	0	0	N	N	2	4	18	68	90						
E.N. CENTRAL	777	3,163	6,257	75,026	79,268	-	1	3	14	19	7	15	110	259	286						
Ill.	-	1,001	1,295	20,410	25,045	-	0	0	-	-	-	2	22	25	39						
Ind.	-	378	644	9,090	9,537	-	0	0	-	-	4	1	18	25	24						
Mich.	500	740	1,225	16,471	15,077	-	0	3	10	15	-	3	10	59	44						
Ohio	112	643	3,650	20,554	19,733	-	0	2	4	4	3	4	33	81	94						
Wis.	165	371	528	8,501	9,876	N	0	0	N	N	-	5	53	69	85						
W.N. CENTRAL	609	1,201	1,448	26,483	28,139	-	0	54	3	-	3	12	77	179	192						
Iowa	-	165	243	3,642	3,823	N	0	0	N	N	-	2	28	32	19						
Kans.	207	147	308	3,667	3,777	N	0	0	N	N	2	1	8	27	27						
Minn.	-	242	314	4,667	5,923	-	0	54	-	-	1	2	25	47	68						
Mo.	296	456	628	10,469	10,261	-	0	1	3	-	-	2	21	32	38						
Nebr.	106	105	184	2,399	2,326	N	0	0	N	N	-	1	16	7	14						
N. Dak.	-	31	69	549	828	N	0	0	N	N	-	0	11	1	3						
S. Dak.	-	49	84	1,090	1,201	N	0	0	N	N	-	1	7	33	23						
S. ATLANTIC	2,149	3,905	6,760	85,370	87,904	-	0	1	1	2	10	18	70	288	282						
Del.	54	69	115	1,554	1,653	N	0	0	N	N	-	0	3	2	1						
D.C.	94	82	167	2,556	1,417	-	0	0	-	-	-	0	2	3	8						
Fla.	1,024	1,043	1,651	23,900	21,993	N	0	0	N	N	7	9	32	143	112						
Ga.	-	681	3,822	10,365	15,682	N	0	0	N	N	1	3	17	52	89						
Md.	414	407	696	8,962	9,289	-	0	1	1	2	-	0	2	12	9						
N.C.	-	631	1,233	13,876	16,201	-	0	0	-	-	2	1	11	35	29						
S.C.	-	426	2,105	11,440	9,506	N	0	0	N	N	-	1	14	19	15						
Va.	517	490	685	11,433	10,802	N	0	0	N	N	-	1	5	18	17						
W. Va.	46	54	86	1,284	1,361	N	0	0	N	N	-	0	3	4	2						
E.S. CENTRAL	886	1,414	2,044	29,736	34,909	-	0	0	-	-	-	3	15	52	45						
Ala.	-	346	539	2,787	11,050	N	0	0	N	N	-	0	12	21	16						
Ky.	194	130	691	3,671	4,296	N	0	0	N	N	-	1	3	15	12						
Miss.	206	405	959	10,266	8,214	N	0	0	N	N	-	0	8	8	6						
Tenn.	486	531	697	13,012	11,349	N	0	0	N	N	-	1	5	8	11						
W.S. CENTRAL	1,174	2,197	3,028	50,270	52,307	-	0	1	-	-	-	5	45	39	71						
Ark.	164	167	337	3,654	3,635	N	0	0	N	N	-	0	3	3	8						
La.	1	328	610	7,142	8,107	-	0	1	-	-	-	1	9	14	13						
Okla.	198	258	471	5,711	5,540	N	0	0	N	N	-	1	9	16	14						
Tex.	811	1,452	1,911	33,763	35,025	N	0	0	N	N	-	1	36	6	36						
MOUNTAIN	623	1,334	2,026	24,201	29,940	94	98	293	2,457	2,846	2	4	40	84	52						
Ariz.	36	463	993	6,569	9,173	93	97	293	2,403	2,764	-	0	6	18	6						
Colo.	251	299	416	4,527	7,248	N	0	0	N	N	2	1	7	25	14						
Idaho	-	42	253	1,263	1,466	N	0	0	N	N	-	0	5	5	5						
Mont.	-	53	144	1,145	1,041	N	0	0	N	N	-	0	26	5	7						
Nev.	189	170	397	4,056	3,541	1	1	3	19	35	-	0	3	4	3						
N. Mex.	-	167	396	3,843	4,598	-	0	2	11	11	-	1	6	18	11						
Utah	120	98	200	2,236	2,193	-	1	4	24	34	-	0	3	2	6						
Wyo.	27	26	45	562	680	-	0	0	-	2	-	0	11	7	-						
PACIFIC	2,063	3,370	4,362	78,137	78,623	78	53	311	1,328	1,167	1	1	5	30	33						
Alaska	54	88	157	1,968	1,937	N	0	0	N	N	-	0	1	-	1						
Calif.	1,244	2,674	3,627	61,278	61,250	78	53	311	1,328	1,167	-	0	0	-	-						
Hawaii	-	106	130	2,241	2,632	N	0	0	N	N	-	0	1	-	-						
Oreg.	152	160	394	4,193	4,364	N	0	0	N	N	1	1	5	30	32						
Wash.	613	344	621	8,457	8,440	N	0	0	N	N	-	0	0	-	-						
Amer. Samoa	U	0	32	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	16	24	-	425	-	0	0	-	-	-	0	0	-	-						
P.R.	108	122	234	3,344	2,156	N	0	0	N	N	N	0	0	N	N						
V.I.	U	3	8	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


