
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 16, 2007 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	238	764	2,152	21,901	28,445	-	1	178	3	22	-	1	417	3	17						
NEW ENGLAND	12	23	151	384	2,808	-	0	3	-	-	-	0	2	-	-						
Conn.	-	7	76	1	1,000	-	0	3	-	-	-	0	1	-	-						
Maine	-	0	7	-	166	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	63	-	991	-	0	1	-	-	-	0	1	-	-						
N.H.	4	7	17	157	217	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	8	9	66	226	434	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	30	103	195	2,671	2,972	-	0	11	-	-	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	30	103	195	2,671	2,972	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	103	214	568	6,257	9,689	-	0	42	-	2	-	0	33	-	1						
Ill.	-	2	11	75	76	-	0	24	-	1	-	0	22	-	-						
Ind.	-	0	0	-	-	-	0	5	-	1	-	0	12	-	-						
Mich.	39	85	258	2,442	2,883	-	0	10	-	-	-	0	4	-	-						
Ohio	64	112	449	3,170	6,017	-	0	11	-	-	-	0	3	-	-						
Wis.	-	16	57	570	713	-	0	2	-	-	-	0	2	-	1						
W.N. CENTRAL	-	32	136	1,158	1,158	-	0	37	-	3	-	0	78	2	4						
Iowa	N	0	0	N	N	-	0	3	-	1	-	0	4	1	1						
Kans.	-	9	52	422	222	-	0	3	-	-	-	0	3	-	-						
Minn.	-	0	0	-	-	-	0	7	-	-	-	0	7	-	-						
Mo.	-	17	78	597	879	-	0	14	-	1	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	1	-	0	38	-	2						
N. Dak.	-	0	60	84	25	-	0	5	-	-	-	0	28	-	1						
S. Dak.	-	2	15	55	32	-	0	7	-	-	-	0	22	1	-						
S. ATLANTIC	33	90	239	2,772	2,696	-	0	2	-	-	-	0	7	-	-						
Del.	-	1	6	19	42	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	8	14	19	-	0	0	-	-	-	0	1	-	-						
Fla.	21	0	90	729	N	-	0	1	-	-	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	7	18	72	646	754	-	0	1	-	-	-	0	0	-	-						
Va.	-	26	190	693	934	-	0	0	-	-	-	0	2	-	-						
W. Va.	5	25	50	671	947	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	1	1	571	292	25	-	0	15	3	3	-	0	17	1	1						
Ala.	1	1	571	290	25	-	0	2	-	-	-	0	0	-	-						
