
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 7, 2007 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	10,312	20,497	25,327	511,107	514,816	113	153	658	4,273	4,374	29	71	319	1,393	1,469						
NEW ENGLAND	519	673	1,357	17,487	16,188	-	0	1	1	-	-	4	27	82	113						
Conn.	206	210	829	5,074	4,663	N	0	0	N	N	-	0	12	12	38						
Maine	-	49	74	1,257	1,099	-	0	0	-	-	-	1	6	14	13						
Mass.	251	310	600	8,144	7,114	-	0	0	-	-	-	1	19	26	39						
N.H.	17	39	71	1,013	944	-	0	1	1	-	-	1	4	13	14						
R.I.	19	63	108	1,567	1,735	-	0	0	-	-	-	0	5	5	3						
Vt.	26	20	45	432	633	N	0	0	N	N	-	1	4	12	6						
MID. ATLANTIC	1,378	2,671	4,284	73,529	62,550	-	0	0	-	-	5	10	37	175	230						
N.J.	-	420	541	10,490	9,793	N	0	0	N	N	-	0	5	-	12						
N.Y. (Upstate)	389	509	2,758	12,794	11,811	N	0	0	N	N	5	3	14	61	50						
N.Y. City	488	827	1,514	23,142	21,026	N	0	0	N	N	-	2	10	28	69						
Pa.	501	832	1,795	27,103	19,920	N	0	0	N	N	-	4	18	86	99						
E.N. CENTRAL	1,137	3,180	6,292	86,853	87,685	-	1	3	15	23	4	15	110	306	338						
Ill.	533	1,014	1,323	24,975	27,789	-	0	0	-	-	-	2	22	28	45						
Ind.	216	382	644	10,610	10,571	-	0	0	-	-	-	1	18	29	27						
