
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 7, 2007 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	62	92	261	3,029	3,353	12	30	108	877	767											
NEW ENGLAND	16	6	29	261	216	-	2	11	67	67											
Conn.	14	0	23	84	58	-	0	6	-	23											
Maine	-	0	3	18	10	-	0	1	1	-											
Mass.	-	3	12	121	112	-	2	6	50	38											
N.H.	2	0	5	24	23	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	7	-											
Vt.	-	0	2	14	9	-	0	1	2	-											
MID. ATLANTIC	6	15	41	573	639	2	4	20	101	113											
N.J.	-	2	9	80	114	-	1	4	15	42											
N.Y. (Upstate)	5	5	27	187	202	2	2	15	63	61											
N.Y. City	-	3	12	132	115	-	1	3	23	10											
Pa.	1	6	11	174	208	N	0	0	N	N											
E.N. CENTRAL	2	16	32	525	667	4	6	14	144	205											
Ill.	-	5	13	135	200	-	1	6	32	57											
Ind.	-	2	12	70	78	1	0	10	14	25											
Mich.	1	3	10	130	137	-	1	4	50	51											
Ohio	1	4	14	164	174	3	1	7	40	43											
Wis.	-	1	6	26	78	-	0	2	8	29											
W.N. CENTRAL	-	5	32	212	223	-	2	8	67	56											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	25	40	-	0	1	2	9											
Minn.	-	0	29	107	107	-	1	6	46	31											
Mo.	-	2	6	50	40	-	0	2	13	10											
Nebr.	-	0	3	15	20	-	0	2	5	4											
N. Dak.	-	0	2	9	8	-	0	2	1	2											
S. Dak.	-	0	2	6	8	-	0	0	-	-											
S. ATLANTIC	22	22	51	727	717	4	3	14	176	49											
Del.	-	0	2	5	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	7	6	16	178	149	1	0	5	39	-											
Ga.	2	5	11	134	160	-	0	5	44	-											
Md.	5	4	9	134	140	1	1	6	42	40											
N.C.	4	0	22	99	105	-	0	0	-	-											
S.C.	3	1	7	67	46	1	0	3	20	-											
Va.	1	2	11	84	81	-	0	3	26	-											
W. Va.	-	0	3	18	20	1	0	4	5	9											
E.S. CENTRAL	8	4	9	123	140	-	1	6	50	12											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	29	33	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	12											
Tenn.	8	3	6	94	107	-	0	6	48	-											
W.S. CENTRAL	-	6	90	180	247	2	4	43	130	123											
Ark.	-	0	2	15	18	-	0	2	7	16											
La.	-	0	1	6	11	-	0	4	25	16											
Okla.	-	2	23	45	66	2	1	13	33	23											
Tex.	-	3	64	114	152	-	1	27	65	68											
MOUNTAIN	8	10	23	354	448	-	4	12	121	129											
Ariz.	2	5	11	144	229	-	2	7	68	73											
Colo.	4	2	9	102	77	-	1	4	33	32											
Idaho	2	0	1	8	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	34	87	-	0	4	17	21											
Utah	-	1	7	59	45	-	0	0	-	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	-	3	9	74	56	-	1	4	21	13											
Alaska	-	0	3	18	N	-	0	2	19	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	56	56	-	0	2	2	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


