
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 21, 2007 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	126	795	2,813	23,881	30,630	2	1	178	42	193	2	2	417	80	263						
NEW ENGLAND	-	20	124	438	3,070	-	0	3	-	-	-	0	2	-	1						
Conn.	-	0	76	1	1,074	-	0	3	-	-	-	0	1	-	1						
Maine	-	0	7	-	167	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	10	-	1,115	-	0	1	-	-	-	0	1	-	-						
N.H.	-	7	17	172	230	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	-	9	66	265	484	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	13	109	195	2,958	3,218	-	0	11	-	4	-	0	4	-	1						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	1	-	0	2	-	-						
Pa.	13	109	195	2,958	3,218	-	0	2	-	3	-	0	0	-	1						
E.N. CENTRAL	24	228	568	6,797	10,172	-	0	42	2	6	-	0	33	1	5						
Ill.	-	2	11	89	84	-	0	24	2	4	-	0	22	1	1						
Ind.	-	0	0	-	-	-	0	5	-	1	-	0	12	-	1						
Mich.	9	94	258	2,779	3,020	-	0	10	-	-	-	0	4	-	1						
Ohio	15	107	449	3,254	6,328	-	0	11	-	-	-	0	3	-	-						
Wis.	-	17	72	675	740	-	0	2	-	1	-	0	2	-	2						
W.N. CENTRAL	12	32	136	1,201	1,229	2	0	37	19	30	1	0	78	32	60						
Iowa	N	0	0	N	N	-	0	3	1	2	-	0	4	1	5						
Kans.	-	9	52	426	234	-	0	3	2	4	-	0	3	-	2						
Minn.	-	0	0	-	-	-	0	7	3	8	-	0	7	-	9						
Mo.	12	16	78	631	934	-	0	14	-	5	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	5	-	0	38	2	18						
N. Dak.	-	0	60	84	27	-	0	5	4	-	-	0	28	10	16						
S. Dak.	-	2	15	60	34	2	0	7	9	6	1	0	22	19	10						
S. ATLANTIC	19	96	239	3,172	2,944	-	0	2	1	3	-	0	7	-	-						
Del.	-	1	6	22	45	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	8	14	21	-	0	0	-	-	-	0	1	-	-						
Fla.	7	16	85	790	N	-	0	1	-	2	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	1	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	2	18	72	670	791	-	0	1	-	-	-	0	0	-	-						
Va.	-	28	190	962	1,081	-	0	1	1	-	-	0	2	-	-						
W. Va.	10	23	50	714	1,006	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	1	2	571	323	25	-	0	15	6	27	-	0	17	4	12						
Ala.	1	2	571	321	25	-	0	2	1	4	-	0	1	1	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Miss.	-	0	2	2	-	-	0	10	5	22	-	0	16	3	12						
Tenn.	N	0	0	N	N	-	0	5	-	1	-	0	2	-	-						
W.S. CENTRAL	51	181	1,640	7,162	8,149	-	0	59	2	83	-	0	27	1	34						
Ark.	35	11	105	372	580	-	0	5	1	5	-	0	2	-	1						
La.	-	1	11	69	178	-	0	13	-	14	-	0	10	-	12						
Okla.	-	0	0	-	-	-	0	6	-	2	-	0	4	-	2						
Tex.	16	163	1,534	6,721	7,391	-	0	39	1	62	-	0	16	1	19						
MOUNTAIN	6	56	131	1,805	1,823	-	0	63	2	30	1	1	245	25	116						
Ariz.	-	0	0	-	-	-	0	10	-	2	-	0	14	7	3						
Colo.	6	22	62	694	952	-	0	11	1	3	-	0	51	5	16						
