
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 11, 2007 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	36	93	261	3,411	3,740	9	29	108	980	848											
NEW ENGLAND	-	6	27	284	246	-	3	11	76	72											
Conn.	-	0	23	91	66	-	0	6	-	23											
Maine	-	0	3	20	15	-	0	1	1	-											
Mass.	-	3	12	131	125	-	2	6	58	42											
N.H.	-	0	4	27	27	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	8	1											
Vt.	-	0	2	15	9	-	0	1	2	-											
MID. ATLANTIC	6	16	41	657	700	1	4	20	118	124											
N.J.	-	2	9	88	119	-	1	4	19	46											
N.Y. (Upstate)	5	5	27	222	225	1	2	15	76	65											
N.Y. City	-	4	12	154	127	-	1	3	23	13											
Pa.	1	5	11	193	229	N	0	0	N	N											
E.N. CENTRAL	2	16	32	594	742	2	5	14	159	222											
Ill.	-	4	13	148	226	-	1	6	38	61											
Ind.	1	2	17	95	88	-	0	10	14	32											
Mich.	1	4	10	151	156	-	1	4	55	53											
Ohio	-	3	14	174	188	2	1	7	44	46											
Wis.	-	1	6	26	84	-	0	2	8	30											
W.N. CENTRAL	3	5	32	232	241	-	2	8	72	68											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	11											
Minn.	-	0	29	116	111	-	1	6	51	38											
Mo.	2	2	6	53	47	-	0	2	13	11											
Nebr.	1	0	3	18	22	-	0	2	6	5											
N. Dak.	-	0	2	10	8	-	0	2	1	3											
S. Dak.	-	0	2	7	8	-	0	0	-	-											
S. ATLANTIC	15	21	52	847	823	2	3	14	190	55											
Del.	-	0	2	7	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	4	6	16	201	187	1	0	5	42	-											
Ga.	4	5	12	160	173	-	0	5	44	-											
Md.	3	4	10	154	157	-	1	6	46	46											
N.C.	1	0	22	120	125	-	0	0	-	-											
S.C.	2	1	7	74	53	-	0	3	25	-											
Va.	1	2	11	103	92	-	0	3	27	-											
W. Va.	-	0	3	20	20	1	0	4	6	9											
E.S. CENTRAL	4	4	13	153	154	-	1	6	60	15											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	31	36	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	15											
Tenn.	4	3	13	122	118	-	0	6	57	-											
W.S. CENTRAL	4	6	90	218	274	2	4	43	148	141											
Ark.	1	0	2	17	21	-	0	2	7	17											
La.	-	0	4	16	13	-	0	4	23	16											
Okla.	-	2	23	53	73	-	1	13	36	28											
Tex.	3	3	64	132	167	2	1	27	82	80											
MOUNTAIN	1	10	20	338	493	-	4	12	132	136											
Ariz.	-	4	11	102	255	-	2	7	76	77											
Colo.	-	3	9	115	86	-	1	4	32	34											
Idaho	-	0	2	9	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	36	94	-	0	4	17	22											
Utah	1	2	7	69	48	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	1	3	9	88	67	2	1	4	25	15											
Alaska	1	0	3	23	N	2	0	2	23	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	65	67	-	0	2	2	15											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


