
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 15, 2007 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	50	94	261	3,735	4,073	13	31	108	1,101	926											
NEW ENGLAND	-	6	27	297	266	-	3	11	76	78											
Conn.	-	0	23	91	70	-	0	6	-	23											
Maine	-	0	3	21	15	-	0	1	1	-											
Mass.	-	3	12	141	133	-	2	6	58	45											
N.H.	-	0	4	29	31	-	0	2	7	6											
R.I.	-	0	12	-	5	-	0	2	8	4											
Vt.	-	0	2	15	12	-	0	1	2	-											
MID. ATLANTIC	11	17	41	709	743	-	5	27	183	128											
N.J.	-	2	9	93	124	-	1	4	25	47											
N.Y. (Upstate)	7	5	27	237	239	-	2	15	76	66											
N.Y. City	-	4	13	170	134	-	1	25	82	15											
Pa.	4	5	11	209	246	N	0	0	N	N											
E.N. CENTRAL	7	16	32	648	792	-	5	14	165	246											
Ill.	-	4	13	168	242	-	1	6	38	63											
Ind.	4	2	17	105	96	-	0	10	15	45											
Mich.	1	4	10	160	163	-	1	4	56	54											
Ohio	2	4	14	187	199	-	1	7	47	48											
Wis.	-	1	6	28	92	-	0	2	9	36											
W.N. CENTRAL	1	5	32	245	265	2	2	8	77	73											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	11											
Minn.	-	0	29	124	121	2	1	6	53	43											
Mo.	-	2	6	54	56	-	0	2	13	11											
Nebr.	1	0	3	21	23	-	0	2	9	5											
N. Dak.	-	0	2	11	10	-	0	2	1	3											
S. Dak.	-	0	2	7	10	-	0	0	-	-											
S. ATLANTIC	18	21	52	949	910	6	4	14	208	60											
Del.	-	0	1	9	10	-	0	0	-	-											
D.C.	-	0	3	8	10	-	0	1	-	1											
Fla.	3	6	16	230	216	3	0	5	47	-											
Ga.	8	5	13	185	187	-	0	5	44	-											
Md.	2	4	10	166	171	1	1	6	48	49											
N.C.	4	1	22	135	135	-	0	0	-	-											
S.C.	-	1	7	78	54	2	0	3	33	-											
Va.	1	2	11	117	105	-	0	4	29	-											
W. Va.	-	0	3	21	22	-	0	4	7	10											
E.S. CENTRAL	2	4	13	166	166	2	1	6	70	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	32	38	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	16											
Tenn.	2	3	13	134	128	2	1	6	67	-											
W.S. CENTRAL	2	6	90	240	312	3	4	43	160	161											
Ark.	-	0	2	17	23	1	0	2	8	18											
La.	-	0	4	16	15	-	0	4	24	19											
Okla.	-	1	23	56	78	1	1	13	39	34											
Tex.	2	3	64	151	196	1	2	27	89	90											
MOUNTAIN	6	9	21	377	536	-	4	11	138	146											
Ariz.	3	3	11	121	279	-	2	7	79	82											
Colo.	3	3	9	124	95	-	1	4	34	36											
Idaho	-	0	2	12	8	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	41	100	-	0	4	18	25											
Utah	-	2	7	72	51	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	3	3	9	104	83	-	1	4	24	18											
Alaska	3	0	3	30	N	-	0	2	22	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	74	83	-	0	2	2	18											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


