
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2007 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A† current week
Hepatitis (Viral Acute), Type A† previous 52 weeks median 
Hepatitis (Viral Acute), Type A† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A† cummulative for 2007
Hepatitis (Viral Acute), Type A† cummulative for 2006
Hepatitis (Viral Acute), Type B† current week
Hepatitis (Viral Acute), Type B† previous 52 weeks median 
Hepatitis (Viral Acute), Type B† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B† cummulative for 2007
Hepatitis (Viral Acute), Type B† cummulative for 2006
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2007
Legionellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	9	63	117	37	187	15	84	113	62	159	12	46	107	52	73						
NEW ENGLAND	-	2	20	1	17	-	1	8	-	8	-	2	12	1	5						
Conn.	-	1	2	-	1	-	0	3	-	5	-	0	9	-	1						
Maine	-	0	2	-	1	-	0	2	-	1	-	0	2	-	1						
Mass.	-	0	5	-	14	-	0	5	-	-	-	0	4	-	3						
N.H.	-	0	16	1	1	-	0	1	-	2	-	0	1	-	-						
R.I.	-	0	2	-	-	-	0	4	-	-	-	0	6	-	-						
Vt.	-	0	2	-	-	-	0	1	-	-	-	0	2	1	-						
MID. ATLANTIC	1	7	18	3	18	4	8	20	8	26	5	14	52	16	29						
N.J.	-	2	5	-	7	-	2	8	-	9	-	2	11	2	5						
N.Y. (Upstate)	-	1	8	-	2	1	1	5	1	-	-	6	30	3	2						
N.Y. City	-	2	10	-	6	-	2	5	-	8	-	2	16	-	8						
Pa.	1	1	5	3	3	3	3	9	7	9	5	5	19	11	14						
E.N. CENTRAL	-	6	13	5	21	7	7	16	16	22	3	8	26	13	12						
Ill.	-	1	4	-	3	-	1	7	-	2	-	0	2	-	5						
Ind.	-	0	5	-	-	-	0	7	-	-	-	0	4	-	-						
Mich.	-	2	7	4	10	2	3	6	7	10	1	3	11	5	3						
Ohio	-	1	4	1	6	5	2	10	9	9	2	3	19	8	3						
Wis.	-	0	4	-	2	-	0	2	-	1	-	1	3	-	1						
W.N. CENTRAL	1	2	8	2	6	1	3	9	5	5	-	1	15	2	4						
Iowa	-	0	1	-	-	-	0	3	-	-	-	0	3	-	-						
Kans.	-	0	5	-	2	-	0	2	-	1	-	0	2	-	-						
Minn.	-	0	7	-	-	-	0	5	-	-	-	0	11	-	-						
Mo.	1	1	3	2	2	1	1	6	4	4	-	0	2	2	4						
Nebr.	-	0	2	-	1	-	0	3	1	-	-	0	2	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	3	-	1	-	0	1	-	-	-	0	1	-	-						
S. ATLANTIC	4	9	29	12	29	2	23	42	19	48	4	9	20	14	15						
Del.	-	0	2	-	1	-	1	4	-	1	-	0	2	-	1						
D.C.	-	0	1	-	1	-	0	2	-	-	-	0	5	-	-						
Fla.	3	4	13	9	14	2	7	16	12	28	1	3	10	6	4						
Ga.	1	1	6	2	2	-	3	8	2	5	1	0	3	2	1						
Md.	-	1	6	-	7	-	2	9	4	10	2	2	7	6	6						
