
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 20, 2007 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	635	862	2,338	34,180	35,561	52	80	336	3,518	3,359	257	346	1,287	12,746	11,023						
NEW ENGLAND	4	34	377	1,849	1,961	-	3	88	255	251	1	4	37	207	245						
Conn.	-	0	362	362	503	-	0	82	82	75	-	0	34	34	67						
Maine	-	3	14	103	106	-	1	4	33	37	-	0	5	14	4						
Mass.	-	23	57	1,096	1,021	-	2	10	109	88	-	3	8	136	150						
N.H.	-	3	10	132	189	-	0	3	15	24	-	0	2	5	6						
R.I.	4	1	20	86	82	-	0	2	6	8	1	0	9	15	12						
Vt.	-	2	5	70	60	-	0	1	10	19	-	0	1	3	6						
MID. ATLANTIC	51	98	176	4,185	4,495	13	7	63	347	403	11	11	47	570	770						
N.J.	-	11	25	321	944	-	1	20	27	102	-	2	9	91	271						
N.Y. (Upstate)	31	28	112	1,189	1,056	13	3	15	174	144	7	3	42	123	195						
N.Y. City	4	24	50	1,135	1,076	-	0	4	29	42	3	5	10	213	229						
Pa.	16	33	69	1,540	1,419	-	3	47	117	115	1	1	21	143	75						
E.N. CENTRAL	61	103	252	4,680	4,719	8	9	31	514	590	33	33	130	1,773	1,143						
Ill.	-	31	186	1,481	1,328	-	1	9	72	99	-	11	32	404	528						
Ind.	21	15	54	599	745	4	1	13	81	77	7	2	11	95	124						
Mich.	4	18	35	740	851	1	1	6	76	78	2	1	7	57	135						
Ohio	29	26	65	1,109	1,033	1	3	11	139	154	24	11	104	1,024	140						
Wis.	7	17	50	751	762	2	3	8	146	182	-	3	13	193	216						
W.N. CENTRAL	31	49	101	2,210	2,201	10	12	45	624	567	19	36	156	1,539	1,448						
Iowa	-	8	19	378	386	-	2	38	143	114	1	2	14	73	94						
Kans.	-	6	20	274	307	-	0	4	37	21	-	0	3	20	124						
Minn.	9	13	44	566	571	5	4	17	213	172	2	5	24	202	165						
Mo.	19	15	26	610	627	5	2	12	119	143	16	18	72	1,110	581						
Nebr.	3	4	12	209	162	-	1	6	68	71	-	0	7	20	116						
N. Dak.	-	0	23	36	24	-	0	12	2	6	-	0	127	5	79						
S. Dak.	-	3	11	137	124	-	0	5	42	40	-	1	30	109	289						
S. ATLANTIC	288	222	425	9,219	9,194	5	14	37	559	514	70	88	174	3,714	2,550						
Del.	-	2	8	124	135	-	0	3	13	7	-	0	2	10	9						
D.C.	-	0	4	16	51	-	0	1	1	2	-	0	5	4	14						
Fla.	162	85	176	3,673	3,739	3	2	8	116	74	36	44	76	1,913	1,185						
Ga.	36	33	71	1,588	1,519	-	1	9	77	72	25	30	94	1,336	950						
Md.	15	15	42	726	638	-	2	5	78	101	2	2	9	89	102						
N.C.	67	29	110	1,310	1,331	2	2	24	119	94	-	0	14	71	129						
S.C.	2	17	51	818	847	-	0	3	15	11	3	2	20	129	76						
Va.	6	19	39	811	815	-	3	8	123	141	4	3	11	138	81						
W. Va.	-	3	31	153	119	-	0	5	17	12	-	0	10	24	4						
E.S. CENTRAL	38	56	134	2,543	2,340	1	4	26	261	261	52	27	142	1,761	604						
Ala.	7	15	78	700	643	-	0	19	59	28	9	11	67	508	189						
Ky.	12	10	22	470	372	1	1	11	95	84	7	3	34	388	204						
Miss.	11	13	101	713	689	-	0	1	5	10	34	6	85	702	83						
Tenn.	8	17	34	660	636	-	2	10	102	139	2	3	14	163	128						
W.S. CENTRAL	37	83	595	3,252	4,190	2	3	73	145	196	42	39	655	1,429	1,562						
Ark.	10	14	46	622	770	2	1	4	32	42	-	2	10	72	84						
La.	-	15	41	573	898	-	0	2	3	14	-	8	22	349	210						
Okla.	26	8	103	523	411	-	0	17	17	35	5	2	63	104	109						
Tex.	1	42	470	1,534	2,111	-	2	68	93	105	37	24	580	904	1,159						
MOUNTAIN	24	48	90	2,023	2,163	3	8	31	400	465	4	19	58	756	1,141						
Ariz.	4	17	44	741	716	-	2	8	88	88	-	11	31	446	583						
Colo.	9	10	22	438	524	2	1	9	66	97	2	2	9	90	190						
Idaho	9	3	7	114	148	1	1	16	113	86	1	0	2	10	14						
Mont.	1	1	6	80	112	-	0	0	-	-	1	1	13	21	28						
Nev.	-	4	10	145	184	-	0	3	18	30	-	0	9	47	103						
N. Mex.	-	5	13	211	214	-	1	3	33	41	-	2	6	82	155						
Utah	-	4	18	233	228	-	1	9	82	105	-	1	5	29	58						
Wyo.	1	1	4	61	37	-	0	1	-	18	-	0	19	31	10						
PACIFIC	101	103	890	4,219	4,298	10	7	164	413	112	25	27	256	997	1,560						
Alaska	-	1	5	65	65	N	0	0	N	N	-	0	2	7	7						
Calif.	70	76	260	3,150	3,682	5	3	33	212	N	13	21	84	805	1,398						
Hawaii	-	5	16	208	198	-	0	4	18	13	-	0	2	21	43						
Oreg.	-	7	15	254	351	-	1	11	72	99	-	1	6	65	112						
Wash.	31	10	625	542	2	5	1	162	111	-	12	1	170	99	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
P.R.	-	12	66	446	463	-	0	0	-	-	-	0	4	18	34						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


