
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending November 17, 2007 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	66	172	1,479	7,643	12,596	37	101	177	4,894	5,079	21	32	211	1,818	1,962						
NEW ENGLAND	1	27	77	1,182	1,621	9	11	22	530	444	-	0	10	5	11						
Conn.	-	1	5	59	110	3	4	10	208	192	-	0	0	-	-						
Maine	-	1	13	73	132	1	2	5	79	113	-	0	1	1	N						
Mass.	-	22	39	928	1,027	-	0	0	-	N	-	0	1	4	10						
N.H.	-	1	6	52	202	2	1	4	51	45	-	0	0	-	1						
R.I.	1	0	31	23	49	-	0	4	37	30	-	0	9	-	-						
Vt.	-	0	9	47	101	3	3	13	155	64	-	0	0	-	-						
MID. ATLANTIC	10	23	155	1,017	1,667	8	22	56	1,217	491	-	1	6	60	84						
N.J.	-	3	11	139	273	N	0	0	N	N	-	0	2	9	38						
N.Y. (Upstate)	7	11	146	506	757	8	11	20	482	N	-	0	1	3	-						
N.Y. City	-	2	6	105	93	-	1	5	42	34	-	0	3	26	23						
Pa.	3	6	15	267	544	-	13	44	693	457	-	0	3	22	23						
E.N. CENTRAL	5	28	79	1,229	2,011	2	4	48	380	157	-	1	4	42	63						
Ill.	-	3	23	130	505	1	1	15	113	46	-	0	3	24	26						
Ind.	-	0	45	52	204	-	0	1	12	11	-	0	2	4	6						
