
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 24, 2007 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	7,666	20,634	25,327	923,647	920,769	87	139	658	6,664	7,166	79	80	974	9,718	5,165						
NEW ENGLAND	567	705	1,357	31,754	30,190	-	0	1	2	-	-	4	39	292	360						
Conn.	260	217	829	9,565	8,728	N	0	0	N	N	-	0	39	39	38						
Maine	39	49	74	2,290	2,050	-	0	0	-	-	-	1	6	48	46						
Mass.	192	301	672	14,456	13,702	-	0	0	-	-	-	2	11	107	169						
N.H.	23	38	73	1,868	1,796	-	0	1	2	-	-	1	5	50	45						
R.I.	53	62	106	2,801	2,848	-	0	0	-	-	-	0	3	10	14						
Vt.	-	19	45	774	1,066	N	0	0	N	N	-	1	3	38	48						
MID. ATLANTIC	1,759	2,780	4,284	127,612	113,002	-	0	0	-	-	4	11	113	1,246	610						
N.J.	-	391	528	17,712	18,387	N	0	0	N	N	-	0	6	41	42						
N.Y. (Upstate)	719	526	2,758	24,951	21,783	N	0	0	N	N	2	3	20	229	159						
N.Y. City	834	971	1,978	44,707	37,540	N	0	0	N	N	-	1	7	85	141						
Pa.	206	755	1,760	40,242	35,292	N	0	0	N	N	2	5	103	891	268						
E.N. CENTRAL	931	3,195	6,215	151,062	152,342	-	1	3	31	42	20	19	131	1,634	1,260						
Ill.	558	984	1,370	44,115	48,476	-	0	0	-	-	-	2	13	150	188						
Ind.	154	398	646	18,640	17,856	-	0	0	-	-	2	2	12	97	91						
Mich.	32	705	1,059	31,525	31,847	-	0	3	20	36	-	3	11	169	134						
Ohio	143	755	3,640	40,216	35,680	-	0	1	11	6	8	5	61	543	334						
Wis.	44	370	443	16,566	18,483	N	0	0	N	N	10	7	59	675	513						
W.N. CENTRAL	282	1,206	1,465	54,464	55,977	-	0	54	8	1	14	13	124	1,504	817						
Iowa	83	160	252	7,855	7,596	N	0	0	N	N	-	3	61	594	166						
Kans.	-	154	294	6,998	7,109	N	0	0	N	N	-	1	16	145	77						
Minn.	-	253	314	11,164	11,681	-	0	54	-	-	7	3	34	280	206						
Mo.	160	459	551	20,895	20,734	-	0	1	8	1	4	2	13	144	184						
Nebr.	-	95	183	3,956	4,871	N	0	0	N	N	1	1	21	150	92						
N. Dak.	-	27	61	1,277	1,641	N	0	0	N	N	2	0	11	26	9						
S. Dak.	39	49	84	2,319	2,345	N	0	0	N	N	-	2	16	165	83						
S. ATLANTIC	1,448	3,934	6,760	178,772	177,065	-	0	1	3	4	21	20	69	1,152	1,105						
Del.	76	65	140	3,126	3,212	-	0	0	-	-	-	0	4	20	15						
D.C.	69	111	166	5,243	2,928	-	0	0	-	-	-	0	2	3	14						
Fla.	670	1,168	1,767	52,633	44,521	N	0	0	N	N	9	11	35	624	504						
Ga.	1	629	3,822	22,508	32,240	N	0	0	N	N	-	4	22	208	262						
Md.	196	390	696	17,950	19,266	-	0	1	3	4	-	0	2	29	19						
N.C.	196	549	1,905	24,523	30,224	-	0	0	-	-	10	1	18	112	93						
S.C.	31	508	3,030	28,181	20,617	N	0	0	N	N	-	1	14	78	127						
Va.	206	485	621	21,840	21,440	N	0	0	N	N	2	1	5	67	61						
W. Va.	3	63	93	2,768	2,617	N	0	0	N	N	-	0	5	11	10						
E.S. CENTRAL	577	1,468	1,875	65,848	69,177	-	0	0	-	-	3	4	63	566	164						
Ala.	29	359	585	15,357	21,047	N	0	0	N	N	2	1	14	113	59						
Ky.	160	150	691	7,626	7,876	N	0	0	N	N	-	1	40	244	38						
