
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2007 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	13,385	19,569	21,574	49,652	65,897	205	151	367	505	393	25	67	304	128	195						
NEW ENGLAND	427	604	1,081	1,613	1,730	-	0	0	-	-	-	3	22	5	47						
Conn.	-	108	578	54	169	N	0	0	N	N	-	0	2	2	36						
Maine	-	43	65	122	145	-	0	0	-	-	-	0	6	2	4						
Mass.	318	294	604	1,081	921	-	0	0	-	-	-	0	14	-	5						
N.H.	24	39	71	144	127	-	0	0	-	-	-	1	5	-	1						
R.I.	60	57	107	167	266	-	0	0	-	-	-	0	5	-	-						
Vt.	25	20	45	45	102	N	0	0	N	N	-	0	5	1	1						
MID. ATLANTIC	1,936	2,414	3,341	7,027	7,819	-	0	0	-	-	2	9	31	15	36						
N.J.	177	390	562	759	1,409	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	408	502	1,603	982	679	N	0	0	N	N	-	3	13	4	3						
N.Y. City	802	731	1,566	2,723	3,046	N	0	0	N	N	-	2	8	-	10						
Pa.	549	778	996	2,563	2,685	N	0	0	N	N	2	4	17	11	22						
E.N. CENTRAL	1,594	3,104	4,094	7,210	12,550	1	1	3	3	2	7	16	110	25	34						
Ill.	709	1,002	1,410	2,357	4,043	-	0	0	-	-	-	2	22	-	5						
Ind.	428	389	484	1,563	1,589	-	0	0	-	-	-	1	18	-	-						
Mich.	323	666	1,223	2,205	1,960	-	1	3	2	1	-	2	9	6	7						
Ohio	59	658	1,424	626	3,306	1	0	2	1	1	7	5	33	18	12						
Wis.	75	377	526	459	1,652	N	0	0	N	N	-	5	53	1	10						
W.N. CENTRAL	932	1,187	1,471	3,364	4,456	-	0	1	2	-	2	12	77	20	14						
Iowa	178	161	225	586	603	N	0	0	N	N	-	2	28	6	-						
Kans.	284	149	284	657	495	N	0	0	N	N	1	1	8	5	4						
Minn.	-	247	321	56	1,018	-	0	0	-	-	-	3	21	1	4						
Mo.	304	448	628	1,489	1,654	-	0	1	2	-	1	2	21	3	5						
Nebr.	110	102	180	350	368	N	0	0	N	N	-	1	16	3	1						
N. Dak.	9	32	64	46	143	N	0	0	N	N	-	0	1	-	-						
S. Dak.	47	51	116	180	175	N	0	0	N	N	-	1	7	2	-						
S. ATLANTIC	3,790	3,788	5,413	11,978	11,518	-	0	1	-	2	13	17	67	50	45						
Del.	69	68	107	275	265	N	0	0	N	N	-	0	3	-	-						
D.C.	155	58	140	327	183	-	0	0	-	-	-	0	2	-	2						
Fla.	967	980	1,187	3,300	2,978	N	0	0	N	N	7	7	32	26	15						
Ga.	270	702	2,322	1,053	1,197	N	0	0	N	N	4	5	12	18	13						
Md.	377	340	482	1,334	1,547	-	0	1	-	2	1	0	3	1	2						
N.C.	937	631	1,772	2,032	2,348	-	0	0	-	-	-	0	11	-	11						
S.C.	507	347	1,452	1,911	1,099	N	0	0	N	N	1	1	13	2	-						
Va.	463	463	712	1,597	1,793	N	0	0	N	N	-	1	5	3	2						
W. Va.	45	57	97	149	108	N	0	0	N	N	-	0	3	-	-						
E.S. CENTRAL	1,110	1,440	2,014	4,262	4,370	-	0	0	-	-	-	3	15	3	2						
Ala.	119	419	760	666	1,024	N	0	0	N	N	-	1	12	-	1						
Ky.	347	142	691	526	795	N	0	0	N	N	-	1	3	2	1						
Miss.	-	365	807	816	754	N	0	0	N	N	-	0	3	-	-						
Tenn.	644	512	612	2,254	1,797	N	0	0	N	N	-	1	5	1	-						
W.S. CENTRAL	1,038	2,164	2,676	5,090	6,848	-	0	1	-	-	1	4	44	3	5						
Ark.	185	154	336	630	569	N	0	0	N	N	-	0	2	-	-						
La.	7	190	607	135	980	-	0	1	-	-	-	0	9	1	-						
Okla.	254	248	423	897	611	N	0	0	N	N	1	1	4	2	3						
Tex.	592	1,457	1,904	3,428	4,688	N	0	0	N	N	-	1	35	-	2						
MOUNTAIN	653	1,158	1,755	2,638	4,809	114	109	202	378	190	-	3	39	2	6						
Ariz.	467	368	881	1,541	1,411	114	105	200	378	182	-	0	3	1	2						
Colo.	155	277	394	523	1,137	N	0	0	N	N	-	1	7	1	1						
