
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2007 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	36	242	1,003	291	303	8	23	39	35	90	11	20	45	52	101						
NEW ENGLAND	3	19	260	14	16	-	0	6	-	3	1	1	3	2	5						
Conn.	1	8	227	5	1	-	0	3	-	-	-	0	2	1	2						
Maine	-	2	34	5	3	-	0	1	-	-	-	0	2	1	2						
Mass.	-	0	3	-	8	-	0	3	-	2	-	0	2	-	1						
N.H.	1	3	95	2	3	-	0	3	-	-	1	0	2	-	-						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	-	-						
Vt.	1	1	15	2	-	-	0	1	-	1	-	0	1	-	-						
MID. ATLANTIC	11	142	558	174	185	-	5	14	5	21	1	3	11	7	21						
N.J.	-	27	185	3	67	-	0	3	-	7	-	0	2	-	2						
N.Y. (Upstate)	7	59	250	33	12	-	1	8	3	1	1	0	4	1	2						
N.Y. City	-	1	18	-	-	-	3	9	2	9	-	1	4	2	9						
Pa.	4	43	233	138	106	-	1	4	-	4	-	0	4	4	8						
E.N. CENTRAL	-	11	153	1	24	1	2	7	5	12	1	2	12	6	12						
Ill.	-	0	0	-	-	-	1	5	2	6	-	0	3	-	6						
Ind.	-	0	3	-	-	-	0	3	-	-	1	0	5	1	-						
Mich.	-	0	5	1	2	1	0	2	1	1	-	0	3	2	2						
Ohio	-	0	5	-	2	-	0	3	2	2	-	1	4	3	2						
Wis.	-	10	149	-	20	-	0	2	-	3	-	0	2	-	2						
W.N. CENTRAL	-	5	169	-	-	-	0	14	3	4	1	1	4	6	4						
Iowa	-	1	8	-	-	-	0	1	1	-	-	0	2	1	-						
Kans.	-	0	2	-	-	-	0	2	-	-	-	0	1	-	-						
Minn.	-	2	167	-	-	-	0	12	1	2	-	0	3	-	-						
Mo.	-	0	2	-	-	-	0	1	-	1	-	0	2	4	1						
Nebr.	-	0	2	-	-	-	0	1	1	-	-	0	1	-	3						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	0	-	1	1	0	1	1	-						
S. ATLANTIC	19	34	124	94	73	7	6	14	18	25	2	4	14	13	9						
Del.	3	7	28	23	23	-	0	1	-	-	-	0	1	-	1						
D.C.	-	0	7	-	2	-	0	2	-	-	-	0	1	-	-						
Fla.	1	1	5	4	1	3	1	4	6	3	2	2	7	7	2						
