
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2007 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	62	84	216	237	398	13	24	60	68	69											
NEW ENGLAND	-	3	15	6	16	-	1	4	2	2											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	1	2	-	0	2	-	-											
Mass.	-	1	5	-	13	-	0	4	-	2											
N.H.	-	0	9	1	1	-	0	4	1	-											
R.I.	-	0	2	-	-	-	0	3	-	-											
Vt.	-	0	2	4	-	-	0	1	1	-											
MID. ATLANTIC	8	17	40	37	84	3	3	13	12	12											
N.J.	-	2	8	-	18	-	1	4	-	6											
N.Y. (Upstate)	6	5	22	14	12	3	2	13	12	5											
N.Y. City	-	2	8	3	21	-	0	2	-	1											
Pa.	2	6	13	20	33	N	0	0	N	N											
E.N. CENTRAL	13	13	46	51	93	3	6	14	17	20											
Ill.	-	2	12	5	37	-	1	6	-	4											
Ind.	2	2	11	5	2	2	0	10	2	-											
Mich.	-	3	12	8	23	-	1	5	8	6											
Ohio	11	4	19	33	24	1	2	7	6	6											
Wis.	-	1	4	-	7	-	0	2	1	4											
W.N. CENTRAL	6	5	57	19	23	1	2	10	6	3											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	3	1	3	5	13	-	0	3	2	2											
Minn.	-	0	52	-	-	-	1	7	-	-											
Mo.	3	1	5	12	4	1	0	2	4	1											
Nebr.	-	0	4	-	6	-	0	2	-	-											
N. Dak.	-	0	2	-	-	-	0	1	-	-											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	18	22	45	61	96	1	1	7	15	9											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	-	3	-	0	1	-	-											
Fla.	7	5	16	19	26	-	0	1	1	-											
Ga.	4	5	12	15	27	-	0	2	5	-											
Md.	4	4	12	17	17	-	1	5	7	8											
N.C.	-	0	26	-	5	-	0	0	-	-											
S.C.	-	1	6	5	9	-	0	1	1	-											
Va.	3	2	9	5	8	1	0	0	1	-											
W. Va.	-	0	6	-	-	-	0	2	-	1											
E.S. CENTRAL	1	3	11	7	16	-	0	2	-	3											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	0	5	4	2	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	-	3											
Tenn.	-	2	9	3	14	-	0	0	-	-											
W.S. CENTRAL	6	7	18	15	24	2	4	28	6	7											
Ark.	1	0	5	2	1	1	0	2	1	2											
La.	-	0	2	-	-	-	0	1	1	-											
Okla.	2	2	8	8	12	1	1	12	3	5											
Tex.	3	4	14	5	11	-	2	13	1	-											
MOUNTAIN	9	11	42	37	34	3	3	12	10	13											
Ariz.	3	5	34	12	10	2	2	9	8	8											
Colo.	4	2	7	13	11	1	1	4	1	4											
Idaho	-	0	1	1	1	-	0	1	-	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	3	-	-	-	0	0	-	-											
N. Mex.	-	1	5	5	3	-	0	3	1	1											
Utah	2	1	5	5	8	-	0	0	-	-											
Wyo.	-	0	1	1	1	-	0	0	-	-											
PACIFIC	1	2	9	4	12	-	0	1	-	-											
Alaska	-	0	1	1	N	-	0	0	-	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	3	12	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


