
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2007 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	44	45	96	206	250	6	6	18	23	26	125	177	231	418	618						
NEW ENGLAND	-	0	3	2	1	-	0	1	-	1	5	3	10	11	15						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	6	-	-						
Maine	-	0	2	-	-	-	0	1	-	-	-	0	2	-	1						
Mass.	-	0	0	-	-	-	0	0	-	-	2	2	7	7	11						
N.H.	-	0	0	-	-	-	0	0	-	-	3	0	2	4	3						
R.I.	-	0	2	-	-	-	0	1	-	-	-	0	2	-	-						
Vt.	-	0	2	2	1	-	0	1	-	1	-	0	1	-	-						
MID. ATLANTIC	4	3	8	21	13	1	0	3	4	1	23	23	35	83	56						
N.J.	-	0	0	-	-	-	0	0	-	-	5	3	8	9	10						
N.Y. (Upstate)	1	1	5	3	2	1	0	2	1	-	-	3	9	5	4						
N.Y. City	-	0	0	-	-	-	0	0	-	-	18	11	23	52	32						
Pa.	3	2	6	18	11	-	0	2	3	1	-	5	12	17	10						
E.N. CENTRAL	19	10	39	73	53	3	1	7	7	6	14	15	32	31	82						
Ill.	-	0	2	-	4	-	0	1	-	-	-	7	13	1	54						
Ind.	3	2	23	12	3	-	0	5	-	-	1	1	5	2	9						
Mich.	-	0	3	-	5	-	0	1	-	-	4	2	10	10	1						
Ohio	16	5	37	61	41	3	1	5	7	6	7	3	8	14	15						
Wis.	N	0	0	N	N	-	0	0	-	-	2	1	4	4	3						
W.N. CENTRAL	1	1	51	6	5	-	0	10	1	1	3	5	13	9	18						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	-	1						
Kans.	-	0	0	-	-	-	0	0	-	-	-	0	3	1	3						
Minn.	-	0	50	-	-	-	0	10	-	-	-	0	2	3	4						
Mo.	1	1	2	6	5	-	0	1	-	1	3	3	8	5	10						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	3	-	-	-	0	1	1	-	-	0	3	-	-						
S. ATLANTIC	20	21	45	90	145	2	2	8	11	8	43	41	78	145	126						
Del.	-	0	0	-	-	-	0	0	-	-	1	0	3	1	4						
D.C.	-	0	3	-	3	-	0	2	-	-	6	2	7	10	8						
Fla.	10	12	29	49	47	2	2	8	11	8	22	15	23	68	56						
Ga.	10	7	28	39	93	-	0	1	-	-	-	7	48	-	-						
Md.	-	0	0	-	-	-	0	0	-	-	6	5	14	25	19						
N.C.	-	0	0	-	-	-	0	0	-	-	1	5	20	23	24						
S.C.	-	0	0	-	-	-	0	0	-	-	2	1	5	8	5						
Va.	N	0	0	N	N	-	0	0	-	-	5	3	17	10	10						
W. Va.	-	1	14	2	2	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	2	11	4	16	-	0	2	-	3	8	14	29	37	31						
Ala.	N	0	0	N	N	-	0	0	-	-	3	6	18	12	13						
Ky.	-	0	3	2	5	-	0	2	-	-	1	1	9	7	5						
Miss.	-	0	0	-	-	-	0	0	-	-	-	1	8	-	3						
Tenn.	-	2	10	2	11	-	0	2	-	3	4	5	13	18	10						
W.S. CENTRAL	-	0	5	8	2	-	0	2	-	-	16	28	54	59	94						
Ark.	-	0	3	-	2	-	0	2	-	-	1	1	6	3	1						
La.	-	0	2	-	-	-	0	1	-	-	5	4	27	9	4						
Okla.	-	0	4	8	-	-	0	0	-	-	3	1	4	9	3						
Tex.	-	0	0	-	-	-	0	0	-	-	7	20	34	38	86						
MOUNTAIN	-	1	7	2	15	-	0	5	-	6	9	8	26	15	25						
Ariz.	-	0	0	-	-	-	0	0	-	-	9	3	16	10	9						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	-	5						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	1	-	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	2	1	2	-	0	1	-	-	-	1	12	-	8						
N. Mex.	-	0	0	-	-	-	0	0	-	-	-	1	5	5	2						
Utah	-	0	7	-	11	-	0	4	-	6	-	0	2	-	-						
Wyo.	-	1	3	1	2	-	0	2	-	-	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	4	36	50	28	171						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	4	-	-						
Calif.	N	0	0	N	N	-	0	0	-	-	2	32	43	22	148						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	2	-	1						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	6	1	2						
Wash.	N	0	0	N	N	-	0	0	-	-	2	2	11	5	20						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	0	-	-	4	3	10	10	8						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


