
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 22, 2007 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	44	85	261	4,693	5,146	30	33	108	1,607	1,379											
NEW ENGLAND	-	5	28	358	342	-	2	11	110	136											
Conn.	-	0	22	116	94	-	0	6	12	37											
Maine	-	0	3	26	18	-	0	1	4	-											
Mass.	-	3	12	159	173	-	1	5	73	80											
N.H.	-	0	4	34	35	-	0	2	11	12											
R.I.	-	0	12	6	8	-	0	1	8	7											
Vt.	-	0	2	17	14	-	0	1	2	-											
MID. ATLANTIC	9	15	41	847	922	5	4	37	267	207											
N.J.	-	2	10	121	146	-	1	5	40	69											
N.Y. (Upstate)	7	5	27	281	295	5	2	15	111	102											
N.Y. City	-	4	13	194	162	-	1	35	116	36											
Pa.	2	5	11	251	319	N	0	0	N	N											
E.N. CENTRAL	12	15	34	787	973	4	4	13	227	369											
Ill.	-	4	13	220	297	-	1	5	51	105											
Ind.	-	2	12	117	115	-	0	5	23	63											
Mich.	-	4	10	189	203	2	1	5	76	74											
Ohio	12	4	14	230	236	2	1	4	64	80											
Wis.	-	0	5	31	122	-	0	2	13	47											
W.N. CENTRAL	-	5	32	321	353	-	3	7	120	115											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	31	53	-	0	1	5	14											
Minn.	-	0	29	153	156	-	1	6	73	68											
Mo.	-	2	4	82	88	-	0	2	25	16											
Nebr.	-	0	3	25	33	-	0	3	16	12											
N. Dak.	-	0	3	19	13	-	0	1	1	5											
S. Dak.	-	0	2	11	10	-	0	0	-	-											
S. ATLANTIC	11	21	52	1,200	1,179	6	6	14	280	84											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	18	-	0	0	-	2											
Fla.	3	6	16	304	299	4	1	5	70	-											
Ga.	-	5	13	243	265	-	0	5	44	-											
Md.	1	4	10	206	208	2	1	5	69	68											
N.C.	4	1	22	162	157	-	0	0	-	-											
S.C.	-	1	7	94	68	-	1	4	54	-											
Va.	3	2	11	147	128	-	0	4	36	-											
W. Va.	-	0	3	26	26	-	0	4	7	14											
E.S. CENTRAL	2	4	13	201	204	3	2	6	97	19											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	39	44	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	3	19											
Tenn.	1	3	13	162	160	3	2	6	94	-											
W.S. CENTRAL	6	6	90	306	382	6	5	43	258	217											
Ark.	1	0	2	18	25	-	0	2	13	22											
La.	-	0	4	16	17	-	0	4	29	23											
Okla.	-	1	23	66	102	2	1	13	61	56											
Tex.	5	3	64	206	238	4	2	27	155	116											
MOUNTAIN	4	11	22	537	662	6	4	12	212	205											
Ariz.	3	4	10	210	341	3	2	8	121	113											
Colo.	-	3	8	152	118	2	1	4	53	55											
Idaho	-	0	2	18	11	-	0	1	2	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	-	-	0	1	3	3											
N. Mex.	1	1	4	62	122	1	0	4	26	31											
Utah	-	2	7	89	65	-	0	2	7	-											
Wyo.	-	0	1	5	5	-	0	0	-	-											
PACIFIC	-	3	7	136	129	-	0	4	36	27											
Alaska	-	0	3	30	N	-	0	4	34	N											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	5	106	129	-	0	1	2	27											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


