
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2007 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	78	259	489	430	1,271	35	110	175	189	479	2	35	118	15	149						
NEW ENGLAND	1	22	53	9	157	6	12	26	34	38	-	0	1	-	-						
Conn.	-	1	9	-	11	4	4	14	23	7	-	0	0	-	-						
Maine	-	2	14	7	11	-	2	8	2	4	N	0	0	N	N						
Mass.	-	10	28	-	121	-	2	17	-	20	-	0	1	-	-						
N.H.	-	2	27	1	-	-	1	5	4	1	-	0	1	-	-						
R.I.	-	0	17	-	-	-	0	3	1	1	-	0	1	-	-						
Vt.	1	1	14	1	14	2	1	5	4	5	-	0	0	-	-						
MID. ATLANTIC	34	37	133	148	137	-	17	57	8	55	-	1	6	3	4						
N.J.	-	4	13	1	45	-	0	0	-	-	-	0	1	-	1						
N.Y. (Upstate)	20	19	128	100	17	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	1	8	-	8	-	1	5	8	-	-	0	3	-	1						
Pa.	14	12	26	47	67	-	16	56	-	55	-	1	4	3	2						
E.N. CENTRAL	3	41	77	76	248	-	2	18	-	2	-	1	6	1	1						
Ill.	-	9	17	-	79	-	0	7	-	1	-	0	4	-	1						
Ind.	-	4	23	-	3	-	0	2	-	-	-	0	1	-	-						
Mich.	3	12	39	19	31	-	0	5	-	1	-	0	1	1	-						
Ohio	-	11	25	57	95	-	0	9	-	-	-	0	4	-	-						
Wis.	-	3	9	-	40	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	3	21	71	34	200	2	6	20	11	12	-	2	14	3	2						
Iowa	-	5	15	9	66	-	1	7	1	2	-	0	1	-	-						
Kans.	3	5	13	19	58	2	1	5	7	3	-	0	1	-	-						
Minn.	-	0	56	-	-	-	1	6	2	-	-	0	2	-	-						
Mo.	-	5	14	5	54	-	1	6	1	-	-	2	12	3	2						
Nebr.	-	1	9	1	20	-	0	0	-	-	-	0	5	-	-						
N. Dak.	-	0	9	-	2	-	0	7	-	2	-	0	0	-	-						
S. Dak.	-	0	4	-	-	-	0	4	-	5	-	0	0	-	-						
S. ATLANTIC	11	17	128	51	96	24	39	62	115	292	2	13	68	5	141						
Del.	-	0	1	-	1	-	0	0	-	-	-	0	3	1	1						
D.C.	-	0	2	-	2	-	0	0	-	-	-	0	1	-	-						
Fla.	8	4	20	24	26	2	0	9	13	176	-	0	5	-	1						
Ga.	-	0	3	-	3	16	5	10	16	21	-	1	5	-	1						
Md.	1	2	7	11	32	-	6	13	18	18	1	1	6	2	4						
N.C.	-	0	94	-	17	6	9	22	28	21	-	5	61	-	133						
S.C.	-	3	11	5	15	-	3	11	5	10	-	0	5	-	1						
Va.	2	3	19	11	-	-	12	27	30	40	1	2	13	2	-						
W. Va.	-	0	9	-	-	-	2	7	5	6	-	0	2	-	-						
E.S. CENTRAL	3	6	28	16	28	-	4	16	4	21	-	6	31	2	1						
Ala.	-	2	19	4	7	-	1	8	-	4	-	2	11	2	-						
Ky.	-	0	5	-	3	-	0	4	4	1	-	0	1	-	-						
Miss.	-	0	4	1	6	-	0	2	-	-	-	0	1	-	-						
Tenn.	3	3	11	11	12	-	2	9	-	16	-	4	22	-	1						
W.S. CENTRAL	-	18	35	-	34	2	7	34	4	44	-	1	27	-	-						
Ark.	-	1	7	-	4	-	0	5	-	1	-	0	10	-	-						
La.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	9	-	1	2	1	9	4	4	-	0	18	-	-						
Tex.	-	16	33	-	28	-	5	29	-	39	-	0	4	-	-						
MOUNTAIN	21	42	88	82	304	-	3	27	2	10	-	0	5	1	-						
Ariz.	1	7	29	6	49	-	2	10	2	10	-	0	2	-	-						
Colo.	9	10	34	39	163	-	0	0	-	-	-	0	1	1	-						
Idaho	2	1	7	7	15	-	0	25	-	-	-	0	3	-	-						
Mont.	3	1	9	5	15	-	0	2	-	-	-	0	2	-	-						
Nev.	-	0	6	-	5	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	2	8	3	4	-	0	2	-	-	-	0	2	-	-						
Utah	6	13	39	16	46	-	0	1	-	-	-	0	2	-	-						
Wyo.	-	1	8	6	7	-	0	2	-	-	-	0	1	-	-						
PACIFIC	2	28	228	14	67	1	4	12	11	5	-	0	1	-	-						
Alaska	-	1	8	8	13	-	0	4	7	1	N	0	0	N	N						
Calif.	-	21	225	-	8	1	3	11	4	4	-	0	1	-	-						
Hawaii	-	1	6	-	18	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	8	3	22	-	0	4	-	-	-	0	1	-	-						
Wash.	2	5	46	3	6	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	1	6	6	8	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


