
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2007 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	343	767	1,365	1,984	2,908	11	56	147	104	161	140	258	476	717	993						
NEW ENGLAND	-	20	82	46	560	-	2	16	1	81	-	3	14	6	83						
Conn.	-	0	23	23	479	-	0	0	-	72	-	0	4	4	64						
Maine	-	2	13	11	3	-	0	8	-	1	-	0	2	2	-						
Mass.	-	15	53	-	66	-	0	9	-	5	-	2	11	-	17						
N.H.	-	4	25	4	6	-	0	3	1	2	-	0	2	-	2						
R.I.	-	1	10	5	4	-	0	2	-	1	-	0	3	-	-						
Vt.	-	1	6	3	2	-	0	1	-	-	-	0	2	-	-						
MID. ATLANTIC	32	88	190	256	293	-	6	62	12	6	1	16	43	23	78						
N.J.	-	14	49	2	49	-	0	4	-	1	-	3	35	-	36						
N.Y. (Upstate)	21	26	84	74	27	-	0	4	-	-	1	4	39	5	16						
N.Y. City	-	23	50	62	95	-	0	4	-	-	-	5	13	14	20						
Pa.	11	29	67	118	122	-	2	48	7	4	-	1	6	4	6						
E.N. CENTRAL	40	97	196	183	340	2	10	56	24	19	3	22	53	23	84						
Ill.	-	23	59	8	116	-	1	7	-	1	-	7	39	3	37						
Ind.	20	15	55	22	21	-	1	8	-	4	-	2	17	5	5						
Mich.	2	18	35	32	65	-	1	6	5	3	-	3	8	2	24						
Ohio	18	24	56	101	75	2	3	18	19	6	3	3	14	11	9						
Wis.	-	16	27	20	63	-	2	39	-	5	-	3	10	2	9						
W.N. CENTRAL	22	47	109	142	158	2	11	35	17	23	22	34	77	102	136						
Iowa	-	8	26	20	31	-	1	22	-	4	-	2	13	5	2						
Kans.	4	7	16	26	16	-	0	4	3	-	1	2	11	3	11						
Minn.	9	11	60	22	26	2	4	27	7	10	3	3	24	22	7						
Mo.	8	14	35	52	53	-	0	0	-	-	18	9	69	66	86						
Nebr.	1	4	9	13	19	-	0	8	-	-	-	1	14	1	18						
N. Dak.	-	0	5	-	-	-	0	0	-	-	-	0	18	-	1						
S. Dak.	-	2	7	9	13	-	0	5	-	-	-	6	24	5	11						
S. ATLANTIC	135	220	395	771	695	3	9	27	32	11	68	62	149	337	204						
Del.	-	3	10	6	5	-	0	3	2	-	-	0	2	1	-						
D.C.	2	1	4	4	7	-	0	1	-	-	-	0	2	-	2						
Fla.	76	95	176	361	299	3	2	9	11	5	49	29	76	191	93						
Ga.	18	33	69	143	95	-	1	7	3	4	18	23	59	133	66						
Md.	8	13	33	51	51	-	2	8	9	-	1	2	10	6	14						
N.C.	29	30	130	131	183	1	2	11	1	13	-	1	21	-	18						
S.C.	2	18	51	33	39	-	0	2	-	1	-	1	9	4	11						
Va.	-	20	57	40	15	-	0	0	-	-	-	2	9	2	-						
W. Va.	-	1	16	2	1	-	0	5	-	-	-	0	2	-	-						
E.S. CENTRAL	17	63	153	125	172	-	3	21	7	4	6	14	84	60	80						
Ala.	3	24	95	29	74	-	0	5	-	2	2	5	75	17	11						
Ky.	4	8	23	34	27	-	1	12	1	4	-	3	15	8	48						
Miss.	-	12	42	5	25	-	0	0	-	-	-	2	13	1	15						
Tenn.	10	16	32	57	46	-	0	4	-	8	4	3	14	34	6						
W.S. CENTRAL	10	71	182	50	106	-	1	19	2	-	10	36	147	45	55						
Ark.	3	15	46	19	23	-	0	7	1	-	2	2	10	4	4						
La.	-	15	42	10	24	-	0	0	-	-	-	1	25	4	1						
Okla.	7	8	40	21	17	-	0	17	1	-	1	2	9	3	7						
Tex.	-	38	104	-	42	-	2	13	-	-	7	29	134	34	43						
MOUNTAIN	23	52	87	154	215	3	4	16	7	15	1	25	87	50	82						
Ariz.	7	18	45	65	86	2	2	13	4	9	-	11	35	29	52						
Colo.	9	11	30	44	51	1	1	8	1	6	1	3	15	6	10						
Idaho	1	3	9	11	17	-	1	7	-	3	-	0	3	-	2						
Mont.	1	2	10	7	13	-	0	0	-	-	-	0	13	2	-						
Nev.	1	2	20	11	15	-	0	4	-	-	-	1	20	8	2						
N. Mex.	-	4	15	4	16	-	0	1	-	1	-	2	15	4	12						
Utah	4	5	15	10	15	-	1	14	1	2	-	1	6	1	3						
Wyo.	-	1	4	2	2	-	0	3	-	-	-	0	19	-	1						
PACIFIC	64	114	181	257	369	1	4	17	2	2	29	34	87	71	191						
Alaska	1	1	4	3	12	N	0	0	N	N	1	0	2	3	1						
Calif.	50	89	158	200	299	1	0	0	1	N	25	29	76	55	135						
Hawaii	2	5	16	17	22	-	0	2	1	-	-	0	4	1	8						
Oreg.	1	8	16	17	30	-	0	1	-	-	-	1	7	6	40						
Wash.	10	10	58	20	6	-	2	13	-	2	3	2	13	6	7						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
