
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 2007 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	34	46	96	329	354	4	6	19	35	47	106	179	232	722	968						
NEW ENGLAND	1	0	4	7	4	-	0	1	-	1	8	4	11	18	20						
Conn.	-	0	0	-	-	-	0	0	-	-	3	0	6	3	-						
Maine	-	0	2	3	2	-	0	1	-	-	-	0	2	-	1						
Mass.	-	0	0	-	-	-	0	0	-	-	5	2	7	12	15						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	3	4						
R.I.	-	0	2	1	-	-	0	1	-	-	-	0	3	-	-						
Vt.	1	0	2	3	2	-	0	1	-	1	-	0	1	-	-						
MID. ATLANTIC	-	3	8	25	15	-	0	3	4	2	32	23	35	145	104						
N.J.	-	0	0	-	-	-	0	0	-	-	4	3	8	15	19						
N.Y. (Upstate)	-	1	5	5	3	-	0	2	1	-	1	3	12	7	9						
N.Y. City	-	0	0	-	-	-	0	0	-	-	26	11	23	97	56						
Pa.	-	2	6	20	12	-	0	2	3	2	1	5	12	26	20						
E.N. CENTRAL	11	10	40	103	70	2	1	8	10	12	7	15	32	59	115						
Ill.	-	0	2	-	5	-	0	1	-	1	-	7	13	7	69						
Ind.	-	2	24	12	6	1	0	5	1	2	-	2	5	5	11						
Mich.	-	0	3	-	6	-	0	1	-	-	1	2	10	14	3						
Ohio	11	5	38	91	53	1	1	5	9	9	6	4	9	28	26						
Wis.	N	0	0	N	N	-	0	0	-	-	-	1	4	5	6						
W.N. CENTRAL	1	1	51	10	8	-	0	10	1	1	-	5	13	15	29						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	-	2						
Kans.	1	0	0	1	-	-	0	0	-	-	-	0	3	1	4						
Minn.	-	0	50	-	-	-	0	10	-	-	-	0	3	6	7						
Mo.	-	1	2	9	8	-	0	1	-	1	-	3	8	8	15						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	3	-	-	-	0	1	1	-	-	0	3	-	-						
S. ATLANTIC	19	21	49	145	207	2	2	8	18	18	16	42	114	186	196						
Del.	-	0	0	-	-	-	0	0	-	-	-	0	3	2	5						
D.C.	1	0	3	1	6	-	0	2	-	-	-	2	7	10	13						
Fla.	9	12	29	81	71	1	2	8	15	17	-	15	23	68	84						
Ga.	7	8	24	57	120	-	0	1	-	1	-	7	83	4	9						
Md.	-	0	0	-	-	-	0	0	-	-	-	5	14	28	28						
N.C.	-	0	0	-	-	-	0	0	-	-	8	5	21	39	39						
S.C.	-	0	0	-	-	-	0	0	-	-	2	1	5	11	7						
Va.	N	0	0	N	N	-	0	0	-	-	6	3	17	24	11						
W. Va.	2	1	14	6	10	1	0	1	3	-	-	0	2	-	-						
E.S. CENTRAL	2	2	11	21	30	-	0	2	1	4	13	14	29	73	61						
Ala.	N	0	0	N	N	-	0	0	-	-	4	6	18	23	30						
Ky.	1	0	3	5	7	-	0	2	-	-	2	1	9	10	6						
Miss.	-	0	0	-	-	-	0	0	-	-	-	1	8	9	10						
Tenn.	1	2	10	16	23	-	0	2	1	4	7	5	12	31	15						
W.S. CENTRAL	-	0	5	12	3	-	0	2	-	2	25	29	54	132	149						
Ark.	-	0	3	-	3	-	0	2	-	2	7	1	6	11	7						
La.	-	0	2	1	-	-	0	1	-	-	4	5	27	17	10						
Okla.	-	0	4	11	-	-	0	0	-	-	1	1	4	12	7						
Tex.	-	0	0	-	-	-	0	0	-	-	13	21	34	92	125						
MOUNTAIN	-	1	7	6	17	-	0	5	1	7	-	8	26	27	47						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	3	16	11	21						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	1	7						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	1	-	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	2	5	2	-	0	1	1	-	-	2	12	8	14						
N. Mex.	-	0	0	-	-	-	0	0	-	-	-	1	5	7	4						
Utah	-	0	7	-	12	-	0	4	-	6	-	0	2	-	-						
Wyo.	-	0	3	1	3	-	0	2	-	1	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	5	36	51	67	247						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	4	1	-						
Calif.	N	0	0	N	N	-	0	0	-	-	1	32	44	50	217						
