
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2007 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	57	84	213	491	790	22	23	67	153	161											
NEW ENGLAND	1	3	15	10	33	-	1	4	6	8											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	2	3	-	0	2	-	-											
Mass.	-	1	5	-	24	-	0	4	-	7											
N.H.	-	0	9	2	5	-	0	4	2	1											
R.I.	-	0	4	-	-	-	0	3	3	-											
Vt.	1	0	2	6	1	-	0	1	1	-											
MID. ATLANTIC	9	14	40	75	151	4	3	13	20	21											
N.J.	-	2	9	-	35	-	1	4	-	8											
N.Y. (Upstate)	4	5	24	30	24	4	2	13	20	11											
N.Y. City	-	3	8	11	33	-	0	2	-	2											
Pa.	5	6	13	34	59	N	0	0	N	N											
E.N. CENTRAL	3	14	45	80	172	2	6	14	28	50											
Ill.	-	4	12	6	63	-	1	6	1	11											
Ind.	1	2	9	12	17	1	0	10	4	6											
Mich.	-	3	11	13	40	1	1	5	13	14											
Ohio	2	4	19	49	38	-	1	7	9	11											
Wis.	-	1	4	-	14	-	0	2	1	8											
W.N. CENTRAL	3	4	57	32	34	-	2	10	8	5											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	1	3	8	18	-	0	3	2	4											
Minn.	-	0	52	-	-	-	1	7	-	-											
Mo.	2	2	5	20	9	-	0	2	5	1											
Nebr.	-	0	2	1	6	-	0	2	-	-											
N. Dak.	-	0	2	1	1	-	0	1	1	-											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	16	21	44	129	186	5	1	7	30	12											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	-	4	-	0	1	-	-											
Fla.	4	5	16	30	49	2	0	2	6	-											
Ga.	7	5	12	41	44	1	0	2	8	-											
Md.	-	4	12	24	33	2	1	5	13	9											
N.C.	1	0	26	14	21	-	0	0	-	-											
S.C.	-	1	6	6	16	-	0	1	2	-											
Va.	4	2	9	12	13	-	0	1	1	-											
W. Va.	-	0	6	2	5	-	0	2	-	3											
E.S. CENTRAL	3	4	11	28	33	1	0	6	12	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	5	6	5	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	-	5											
Tenn.	3	3	9	22	28	1	0	6	12	-											
W.S. CENTRAL	3	6	29	31	56	4	4	32	20	24											
Ark.	-	0	5	4	1	1	0	2	3	4											
La.	-	0	2	-	1	-	0	1	1	-											
Okla.	3	2	8	16	24	2	1	12	8	11											
Tex.	-	4	25	11	30	1	2	17	8	9											
MOUNTAIN	18	11	42	92	107	4	4	12	25	36											
Ariz.	8	5	34	39	61	2	2	9	16	21											
Colo.	4	2	7	24	23	2	1	4	7	9											
Idaho	-	0	1	2	2	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	3	3	-	-	0	0	-	-											
N. Mex.	-	1	5	6	8	-	0	2	2	5											
Utah	6	1	5	17	12	-	0	0	-	-											
Wyo.	-	0	1	1	1	-	0	0	-	-											
PACIFIC	1	2	9	14	18	2	0	1	4	-											
Alaska	1	0	2	5	N	2	0	1	4	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	9	18	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


