
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2007 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	34	44	99	423	481	12	6	19	53	65	63	181	233	1,031	1,294						
NEW ENGLAND	-	1	4	10	5	-	0	1	-	1	2	4	11	26	27						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	6	4	2						
Maine	-	0	2	3	2	-	0	1	-	-	-	0	2	-	1						
Mass.	-	0	0	-	-	-	0	0	-	-	2	2	7	15	19						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	4	4						
R.I.	-	0	2	3	-	-	0	1	-	-	-	0	3	3	1						
Vt.	-	0	2	4	3	-	0	1	-	1	-	0	1	-	-						
MID. ATLANTIC	3	3	8	28	23	-	0	4	4	2	19	23	35	204	146						
N.J.	-	0	0	-	-	-	0	0	-	-	1	3	8	20	26						
N.Y. (Upstate)	2	1	5	8	6	-	0	3	1	-	4	3	13	14	16						
N.Y. City	-	0	0	-	-	-	0	0	-	-	13	11	27	136	72						
Pa.	1	2	6	20	17	-	0	2	3	2	1	5	12	34	32						
E.N. CENTRAL	7	10	40	118	94	4	1	8	15	19	6	15	32	79	149						
Ill.	-	0	2	-	7	-	0	1	-	2	1	7	13	13	86						
Ind.	1	2	24	18	10	2	0	5	3	5	-	2	5	5	14						
Mich.	-	0	3	-	7	-	0	1	-	1	-	2	10	20	10						
