
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 3, 2007 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	303	827	1,368	3,958	4,821	20	67	173	212	298	121	258	496	1,417	1,682						
NEW ENGLAND	-	18	82	88	648	-	2	16	4	87	-	2	14	9	104						
Conn.	-	0	49	49	479	-	0	0	-	72	-	0	6	6	64						
Maine	-	2	13	17	11	-	0	8	2	1	-	0	2	2	-						
Mass.	-	10	53	-	134	-	0	9	-	10	-	1	11	-	33						
N.H.	-	3	25	9	15	-	0	3	2	2	-	0	2	1	3						
R.I.	-	1	10	8	7	-	0	2	-	1	-	0	3	-	3						
Vt.	-	1	6	5	2	-	0	4	-	1	-	0	2	-	1						
MID. ATLANTIC	22	90	190	507	521	2	8	64	25	18	4	15	45	57	151						
N.J.	-	14	49	40	97	-	0	4	1	3	-	3	35	1	52						
N.Y. (Upstate)	22	26	91	157	81	2	3	14	13	5	4	4	42	15	42						
N.Y. City	-	24	50	130	155	-	0	4	1	2	-	5	14	33	43						
Pa.	-	30	67	180	188	-	2	49	10	8	-	1	6	8	14						
E.N. CENTRAL	31	103	196	360	621	3	10	58	38	39	3	22	67	58	161						
Ill.	-	26	59	19	177	-	1	7	-	5	-	9	49	8	64						
Ind.	19	15	55	58	54	1	1	8	1	5	1	2	17	9	17						
Mich.	5	18	35	86	123	-	1	6	8	9	-	2	7	6	43						
Ohio	7	23	56	150	168	2	3	18	27	9	2	3	14	24	21						
Wis.	-	17	27	47	99	-	2	39	2	11	-	3	10	11	16						
W.N. CENTRAL	37	47	109	296	281	3	12	43	26	43	29	36	77	254	180						
Iowa	-	8	26	39	46	-	1	22	-	7	-	2	13	5	2						
Kans.	11	7	16	51	47	2	0	4	4	-	-	2	11	5	17						
Minn.	14	11	60	52	57	-	3	27	12	18	7	4	24	42	16						
Mo.	12	14	35	100	83	-	2	13	5	15	22	10	69	184	107						
Nebr.	-	4	9	18	26	1	1	11	5	2	-	1	14	3	23						
N. Dak.	-	0	5	6	-	-	0	0	-	-	-	0	18	3	1						
S. Dak.	-	3	11	30	22	-	0	5	-	1	-	6	24	12	14						
S. ATLANTIC	114	222	396	1,407	1,161	7	11	32	63	45	63	63	145	581	384						
Del.	-	2	10	7	13	-	0	3	3	-	-	0	2	2	-						
D.C.	2	1	4	8	13	-	0	1	-	-	1	0	2	3	3						
Fla.	56	95	176	600	515	1	2	9	18	8	36	32	76	335	172						
Ga.	21	34	67	274	155	-	1	7	8	8	17	24	56	210	120						
Md.	3	13	33	94	85	-	2	9	13	8	-	1	10	11	23						
N.C.	27	29	130	231	236	6	2	11	10	15	9	1	14	9	39						
S.C.	5	19	51	89	60	-	0	3	-	2	-	1	9	6	20						
Va.	-	20	57	97	77	-	2	11	11	4	-	2	9	5	7						
W. Va.	-	1	16	7	7	-	0	5	-	-	-	0	2	-	-						
E.S. CENTRAL	10	63	153	229	278	2	4	21	11	22	2	14	84	90	127						
Ala.	-	22	95	63	117	-	0	5	1	2	1	5	75	32	25						
Ky.	3	8	23	54	51	-	1	12	2	6	-	2	15	10	70						
Miss.	-	12	42	8	43	-	0	0	-	-	-	2	15	5	18						
Tenn.	7	17	32	104	67	2	3	9	8	14	1	3	13	43	14						
W.S. CENTRAL	10	83	186	128	309	1	3	41	8	5	5	36	182	90	154						
Ark.	2	15	45	35	112	1	0	7	4	1	1	2	10	10	6						
La.	-	16	42	51	33	-	0	1	-	-	-	2	24	18	2						
Okla.	8	8	40	40	34	-	0	17	1	-	-	2	9	8	15						
Tex.	-	46	106	2	130	-	2	37	3	4	4	29	169	54	131						
MOUNTAIN	23	51	87	290	333	2	7	35	19	26	11	26	87	106	129						
Ariz.	11	18	45	117	120	1	1	13	8	9	7	11	35	55	70						
Colo.	9	12	30	74	74	-	1	8	1	7	3	3	15	14	15						
Idaho	-	3	9	19	26	1	2	8	2	4	-	0	3	1	4						
Mont.	-	2	10	13	14	-	0	0	-	-	-	0	13	2	-						
Nev.	-	2	20	11	19	-	0	4	-	-	-	1	20	8	11						
N. Mex.	-	4	15	20	32	-	1	5	5	2	-	2	15	11	19						
Utah	3	5	15	26	36	-	1	14	3	3	1	1	6	4	9						
Wyo.	-	1	4	10	12	-	0	3	-	1	-	0	19	11	1						
PACIFIC	56	116	282	653	669	-	4	17	18	13	4	33	90	172	292						
Alaska	-	1	4	8	19	N	0	0	N	N	-	0	2	5	2						
Calif.	44	89	218	530	530	-	0	5	9	N	3	29	81	146	215						
Hawaii	-	5	16	35	35	-	0	2	1	1	-	0	3	4	10						
Oreg.	1	8	16	36	64	-	1	9	3	7	-	1	6	8	50						
Wash.	11	10	63	44	21	-	2	17	5	5	1	2	13	9	15						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
P.R.	5	13	65	39	29	-	0	0	-	-	-	0	6	2	2						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


