
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 3, 2007 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	55	83	214	679	1,044	26	24	76	227	210											
NEW ENGLAND	-	2	15	13	44	-	1	4	6	8											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	4	4	-	0	2	-	-											
Mass.	-	1	5	-	32	-	0	4	-	7											
N.H.	-	0	9	3	5	-	0	4	2	1											
R.I.	-	0	4	-	2	-	0	3	3	-											
Vt.	-	0	2	6	1	-	0	1	1	-											
MID. ATLANTIC	12	14	40	109	205	3	3	16	26	33											
N.J.	-	2	8	6	47	-	1	4	-	11											
N.Y. (Upstate)	12	5	24	46	39	3	2	13	26	19											
N.Y. City	-	3	8	17	42	-	0	2	-	3											
Pa.	-	6	13	40	77	N	0	0	N	N											
E.N. CENTRAL	7	15	46	127	237	4	6	14	43	62											
Ill.	-	4	12	20	91	-	1	6	4	14											
Ind.	5	2	11	17	22	-	0	10	4	7											
Mich.	-	3	11	28	46	-	1	5	17	17											
Ohio	2	4	19	62	53	4	1	7	17	14											
Wis.	-	1	7	-	25	-	0	2	1	10											
W.N. CENTRAL	2	5	57	44	42	-	2	10	12	10											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	3	10	20	-	0	3	2	4											
Minn.	-	0	52	-	-	-	1	7	-	-											
Mo.	1	2	6	28	11	-	0	2	7	4											
Nebr.	-	0	2	1	8	-	0	2	2	2											
N. Dak.	1	0	2	3	3	-	0	1	1	-											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	13	20	45	171	246	9	1	10	53	14											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	1	4	-	0	1	-	-											
Fla.	4	5	16	41	58	5	0	2	13	-											
Ga.	4	5	12	54	67	3	0	4	16	-											
Md.	4	4	12	34	45	1	1	5	19	10											
N.C.	-	0	26	14	28	-	0	0	-	-											
S.C.	1	1	6	9	19	-	0	2	4	-											
Va.	-	2	9	15	18	-	0	1	1	-											
W. Va.	-	0	6	3	6	-	0	2	-	4											
E.S. CENTRAL	1	4	11	33	42	1	0	6	15	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	5	8	8	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	1	-	5											
Tenn.	1	3	9	25	34	1	0	6	15	-											
W.S. CENTRAL	4	6	43	40	74	4	3	37	29	33											
Ark.	-	0	5	4	1	1	0	2	4	6											
La.	-	0	2	3	1	-	0	1	3	-											
Okla.	1	2	6	19	31	3	1	12	14	12											
Tex.	3	3	38	14	41	-	2	22	8	15											
MOUNTAIN	16	11	42	124	134	3	4	12	36	44											
Ariz.	2	5	34	50	72	3	2	9	24	26											
Colo.	8	3	7	36	26	-	1	4	9	12											
Idaho	-	0	1	3	3	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	3	3	-	-	0	0	-	-											
N. Mex.	-	1	5	8	15	-	0	2	3	5											
Utah	6	1	5	23	16	-	0	0	-	-											
Wyo.	-	0	1	1	2	-	0	0	-	-											
PACIFIC	-	2	9	18	20	2	0	2	7	1											
Alaska	-	0	2	5	N	-	0	2	5	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	13	20	2	0	1	2	1											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


