
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 8, 2008 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	60	167	534	951	1,840	17	103	197	472	797	-	34	147	35	89						
NEW ENGLAND	1	21	45	24	319	6	10	22	42	85	-	0	1	-	1						
Conn.	-	0	5	-	17	4	4	10	25	35	-	0	0	-	-						
Maine	-	1	5	14	21	-	1	5	2	20	-	0	1	-	-						
Mass.	-	17	33	-	251	-	0	0	-	N	-	0	1	-	1						
N.H.	-	1	5	1	13	1	1	4	6	7	-	0	1	-	-						
R.I.	1	0	8	5	2	1	1	4	5	4	-	0	0	-	-						
Vt.	-	0	6	4	15	-	2	13	4	19	-	0	0	-	-						
MID. ATLANTIC	12	22	38	149	336	9	25	56	51	194	-	1	7	2	9						
N.J.	-	2	6	1	52	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	4	8	24	49	177	9	9	20	51	58	-	0	1	-	-						
N.Y. City	-	2	7	15	33	-	0	5	-	15	-	0	3	1	3						
Pa.	8	7	22	84	74	-	15	44	-	121	-	0	3	1	5						
E.N. CENTRAL	13	24	181	375	342	1	4	49	1	3	-	1	4	1	3						
Ill.	-	2	8	10	53	-	1	15	-	1	-	0	3	-	1						
Ind.	-	0	9	3	1	-	0	1	-	-	-	0	2	-	-						
Mich.	-	4	16	20	81	-	1	28	-	1	-	0	1	-	1						
