
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 8, 2008 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	74	91	170	990	1,081	27	35	130	309	363											
NEW ENGLAND	1	4	28	13	72	-	1	4	5	35											
Conn.	-	0	22	-	2	-	0	1	-	6											
Maine	-	0	3	6	7	-	0	1	1	-											
Mass.	-	1	12	-	51	-	1	4	-	26											
N.H.	-	0	4	4	5	-	0	1	4	-											
R.I.	-	0	1	-	-	-	0	1	-	2											
Vt.	1	0	1	3	7	-	0	1	-	1											
MID. ATLANTIC	23	16	40	180	224	2	6	38	45	49											
N.J.	-	2	11	9	44	-	1	5	9	12											
N.Y. (Upstate)	18	6	20	84	54	2	2	14	22	26											
N.Y. City	-	3	13	19	59	-	2	35	14	11											
Pa.	5	4	11	68	67	N	0	0	N	N											
E.N. CENTRAL	11	16	52	237	224	3	5	19	63	56											
Ill.	-	4	10	40	83	-	1	6	14	8											
Ind.	-	2	10	29	17	-	0	11	7	3											
Mich.	4	3	10	40	51	2	1	5	14	23											
Ohio	7	4	14	71	66	-	1	5	14	18											
Wis.	-	0	38	57	7	1	0	9	14	4											
W.N. CENTRAL	3	5	33	73	72	3	3	19	28	15											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	8	10	-	0	1	2	-											
Minn.	-	0	29	20	29	2	1	18	8	4											
Mo.	2	2	10	28	25	1	0	2	13	8											
Nebr.	1	0	3	10	2	-	0	3	2	2											
N. Dak.	-	0	3	3	4	-	0	0	-	1											
S. Dak.	-	0	2	4	2	-	0	1	3	-											
S. ATLANTIC	15	23	49	225	212	4	5	10	44	78											
Del.	1	0	1	4	1	-	0	0	-	-											
D.C.	-	0	3	-	3	-	0	0	-	-											
Fla.	7	6	16	66	45	2	1	4	13	11											
Ga.	-	4	12	51	48	-	0	4	-	25											
Md.	5	4	9	47	42	-	1	5	17	23											
N.C.	-	2	22	19	14	-	0	0	-	-											
S.C.	1	1	7	13	23	2	1	4	11	7											
Va.	1	3	12	23	33	-	0	3	3	12											
W. Va.	-	0	3	2	3	-	0	1	-	-											
E.S. CENTRAL	2	4	13	36	46	3	2	11	20	22											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	8	12	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	4	2											
Tenn.	2	3	13	28	34	3	2	9	16	20											
W.S. CENTRAL	8	7	49	75	63	7	5	50	43	50											
Ark.	1	0	2	1	7	-	0	2	3	4											
La.	-	0	4	1	8	-	0	3	-	13											
Okla.	2	1	9	31	19	3	1	5	20	12											
Tex.	5	5	40	42	29	4	3	45	20	21											
MOUNTAIN	9	10	21	126	143	3	4	12	51	48											
Ariz.	1	4	9	49	53	2	2	8	34	26											
Colo.	6	2	9	29	31	1	1	4	8	10											
Idaho	-	0	2	6	4	-	0	1	1	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	2	-	0	1	1	-											
N. Mex.	1	2	5	28	26	-	0	4	6	9											
Utah	1	1	6	12	25	-	0	2	1	3											
Wyo.	-	0	1	-	2	-	0	0	-	-											
PACIFIC	2	3	7	25	25	2	0	4	10	10											
Alaska	2	0	3	8	3	2	0	4	10	6											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	5	17	22	-	0	1	-	4											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


