
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 29, 2008 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	40	167	637	1,181	2,349	41	98	176	660	1,067	2	34	147	52	119						
NEW ENGLAND	-	20	45	32	384	12	9	22	62	106	-	0	1	-	1						
Conn.	-	0	5	-	19	3	4	10	37	46	-	0	0	-	-						
Maine	-	1	5	14	28	4	1	5	7	21	N	0	0	N	N						
Mass.	-	14	33	-	304	N	0	0	N	N	-	0	1	-	1						
N.H.	-	1	5	6	16	1	1	4	7	9	-	0	1	-	-						
R.I.	-	0	8	8	2	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	4	15	4	2	13	11	30	-	0	0	-	-						
MID. ATLANTIC	8	22	38	172	396	8	25	56	79	281	-	1	7	3	10						
N.J.	-	3	7	2	61	-	0	0	-	-	-	0	3	-	1						
N.Y. (Upstate)	6	8	24	59	197	8	9	20	74	80	-	0	1	-	-						
N.Y. City	-	2	7	15	44	-	0	5	5	17	-	0	3	1	4						
Pa.	2	7	22	96	94	-	13	44	-	184	-	0	3	2	5						
E.N. CENTRAL	4	23	185	402	465	-	2	39	1	5	-	1	4	1	3						
Ill.	-	2	8	11	59	N	0	0	N	N	-	1	3	-	1						
Ind.	-	0	12	4	3	-	0	1	-	-	-	0	2	-	-						
Mich.	3	3	16	35	97	-	1	28	-	4	-	0	1	-	1						
Ohio	1	12	176	352	213	-	1	11	1	1	-	0	2	1	1						
Wis.	-	0	24	-	93	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	1	12	134	101	147	1	4	13	15	36	-	5	37	10	13						
Iowa	-	2	8	19	47	1	0	3	2	4	-	0	4	-	1						
Kans.	-	2	5	2	48	-	1	7	-	21	-	0	2	-	3						
Minn.	-	0	131	-	8	-	0	6	9	3	-	0	4	-	-						
Mo.	1	2	16	66	17	-	0	3	-	2	-	5	29	10	9						
Nebr.	-	1	12	12	6	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	5	-	0	0	-	-						
S. Dak.	-	0	7	2	20	-	0	2	2	1	-	0	1	-	-						
S. ATLANTIC	10	15	48	126	254	15	40	63	428	548	-	14	111	28	64						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	2	1	4						
D.C.	-	0	1	2	2	-	0	0	-	-	-	0	1	-	-						
Fla.	2	3	9	31	81	-	0	9	28	124	-	0	3	1	3						
Ga.	-	0	3	2	13	1	5	31	87	51	-	0	6	3	4						
Md.	-	2	6	17	43	-	9	18	86	86	-	1	6	7	10						
N.C.	4	3	34	39	59	13	9	19	100	102	-	5	96	11	32						
S.C.	-	2	22	17	21	-	0	11	-	31	-	0	7	-	4						
Va.	4	2	11	17	31	-	12	31	102	132	-	2	11	4	7						
W. Va.	-	0	12	-	3	1	0	11	25	22	-	0	3	1	-						
E.S. CENTRAL	-	6	35	49	71	1	3	7	29	30	1	5	16	4	24						
Ala.	-	1	6	15	22	-	0	0	-	-	-	1	10	2	9						
Ky.	-	0	4	6	3	1	0	3	4	6	-	0	2	-	-						
Miss.	-	3	32	20	14	-	0	1	-	-	-	0	3	-	1						
Tenn.	-	1	5	8	32	-	3	6	25	24	1	2	10	2	14						
W.S. CENTRAL	-	20	112	44	110	2	1	23	13	16	-	1	30	4	2						
Ark.	-	1	17	8	11	2	1	3	12	7	-	0	15	-	-						
La.	-	0	2	-	6	-	0	0	-	-	-	0	2	2	1						
Okla.	-	0	26	1	-	-	0	22	1	9	-	0	20	-	-						
Tex.	-	16	102	35	93	-	0	0	-	-	-	1	7	2	1						
MOUNTAIN	11	19	40	138	327	-	2	8	10	1	-	0	4	1	1						
Ariz.	-	2	10	15	96	N	0	0	N	N	-	0	1	-	-						
Colo.	5	5	14	27	85	-	0	0	-	-	-	0	2	-	-						
Idaho	-	1	4	6	10	-	0	4	-	-	-	0	1	-	1						
Mont.	6	1	11	45	11	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	7	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	2	13	-	0	2	8	-	-	0	1	1	-						
Utah	-	5	27	41	93	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	-	12	-	0	4	2	-	-	0	2	-	-						
PACIFIC	6	17	243	117	195	2	4	10	23	44	1	0	2	1	1						
Alaska	1	1	6	18	9	-	0	3	9	21	N	0	0	N	N						
Calif.	-	8	32	23	136	2	3	8	14	23	1	0	2	1	1						
Hawaii	-	0	2	2	8	-	0	0	-	-	N	0	0	N	N						
Oreg.	4	2	14	25	15	-	0	3	-	-	-	0	1	-	-						
Wash.	1	3	209	49	27	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	0	5	8	15	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


