
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 19, 2008 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	79	165	695	1,705	2,856	45	86	156	983	1,297	3	33	147	66	183						
NEW ENGLAND	-	21	45	224	455	13	9	22	86	142	-	0	1	-	2						
Conn.	-	0	5	-	20	9	4	10	50	62	-	0	0	-	-						
Maine	-	1	5	14	32	-	1	5	10	25	N	0	0	N	N						
Mass.	-	17	33	188	365	N	0	0	N	N	-	0	1	-	2						
N.H.	-	1	5	7	20	2	1	4	10	11	-	0	1	-	-						
R.I.	-	0	8	10	2	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	16	2	2	13	16	44	-	0	0	-	-						
MID. ATLANTIC	11	22	42	219	431	3	18	31	186	252	-	1	6	5	14						
N.J.	-	3	8	3	73	-	0	0	-	-	-	0	3	-	2						
N.Y. (Upstate)	5	8	24	74	215	3	9	20	100	106	-	0	1	-	-						
N.Y. City	-	2	7	15	49	-	0	2	5	23	-	0	3	3	7						
Pa.	6	7	23	127	94	-	7	23	81	123	-	0	2	2	5						
E.N. CENTRAL	36	22	186	477	541	-	2	39	5	5	-	1	4	1	8						
Ill.	-	2	8	20	67	N	0	0	N	N	-	1	3	1	5						
Ind.	-	0	12	14	9	-	0	1	-	-	-	0	2	-	-						
Mich.	-	3	16	41	104	-	1	28	4	4	-	0	1	-	1						
Ohio	36	12	176	402	241	-	1	11	1	1	-	0	2	-	2						
Wis.	-	0	14	-	120	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	4	12	136	134	208	1	4	13	17	53	-	4	33	12	21						
Iowa	-	2	8	20	59	-	0	3	2	6	-	0	4	-	1						
Kans.	-	2	5	18	55	-	0	7	-	32	-	0	2	-	4						
Minn.	2	0	131	3	43	1	0	6	10	3	-	0	4	-	-						
Mo.	1	2	16	74	20	-	0	3	1	3	-	3	25	12	15						
Nebr.	1	1	12	17	8	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	6	-	0	0	-	-						
S. Dak.	-	0	7	2	22	-	0	2	2	3	-	0	1	-	1						
S. ATLANTIC	14	14	50	181	302	25	40	62	584	714	1	14	111	30	89						
Del.	-	0	2	2	1	-	0	0	-	-	-	0	2	1	5						
D.C.	-	0	2	4	2	-	0	0	-	-	-	0	1	1	-						
Fla.	3	3	9	45	91	-	0	19	38	124	-	0	3	1	3						
Ga.	-	0	3	-	14	12	6	13	93	64	-	0	6	-	8						
Md.	3	2	5	23	48	-	9	18	120	114	-	1	6	8	12						
N.C.	5	3	38	59	79	11	9	19	141	141	-	3	96	11	45						
S.C.	1	1	22	19	27	-	0	11	-	35	1	0	7	2	7						
Va.	2	2	11	29	36	-	12	27	162	212	-	2	11	5	8						
W. Va.	-	0	12	-	4	2	0	11	30	24	-	0	3	1	1						
E.S. CENTRAL	-	6	35	58	86	-	3	7	33	44	-	5	16	8	40						
Ala.	-	1	6	16	25	-	0	0	-	-	-	1	10	4	12						
Ky.	-	0	4	6	6	-	0	3	7	6	-	0	2	-	-						
Miss.	-	3	32	21	15	-	0	1	1	-	-	0	3	1	2						
Tenn.	-	1	4	15	40	-	2	6	25	38	-	2	10	3	26						
W.S. CENTRAL	-	20	144	59	180	2	1	23	26	25	2	1	30	8	5						
Ark.	-	2	17	20	28	2	1	3	15	8	1	0	15	1	-						
La.	-	0	2	2	8	-	0	0	-	-	-	0	2	2	1						
Okla.	-	0	26	2	-	-	0	22	11	17	-	0	20	-	-						
Tex.	-	16	134	35	144	-	0	0	-	-	1	1	7	5	4						
MOUNTAIN	9	19	48	198	395	-	2	8	15	1	-	0	4	1	3						
Ariz.	1	2	8	22	117	N	0	0	N	N	-	0	1	-	-						
Colo.	-	5	13	28	96	-	0	0	-	-	-	0	2	-	-						
Idaho	-	1	4	9	12	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	11	54	14	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	8	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	3	16	-	0	2	11	-	-	0	1	1	-						
