
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 19, 2008 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	102	93	215	1,979	1,984	15	34	154	549	554											
NEW ENGLAND	-	5	28	110	152	2	1	5	34	50											
Conn.	-	0	22	13	30	-	0	4	-	8											
Maine	-	0	3	10	7	-	0	1	1	-											
Mass.	-	3	9	66	85	-	1	4	26	39											
N.H.	-	0	4	11	20	1	0	1	6	-											
R.I.	-	0	3	4	-	-	0	1	-	2											
Vt.	-	0	2	6	10	1	0	1	1	1											
MID. ATLANTIC	24	17	39	391	412	1	5	38	61	86											
N.J.	-	3	9	40	89	-	1	6	14	24											
N.Y. (Upstate)	15	6	20	139	111	1	2	14	33	39											
N.Y. City	-	4	10	70	102	-	1	35	14	23											
Pa.	9	5	16	142	110	N	0	0	N	N											
E.N. CENTRAL	9	16	58	416	383	1	5	22	106	92											
Ill.	-	4	14	107	126	-	1	6	22	21											
Ind.	-	2	11	57	43	-	0	14	13	5											
Mich.	-	3	10	62	87	-	1	5	27	36											
Ohio	5	4	12	116	105	1	1	5	21	24											
Wis.	4	0	38	74	22	-	0	9	23	6											
W.N. CENTRAL	30	5	39	185	132	-	2	23	46	36											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	26	18	-	0	2	6	1											
Minn.	28	0	35	83	60	-	1	21	15	19											
Mo.	2	2	10	43	35	-	0	2	16	12											
Nebr.	-	0	3	16	7	-	0	3	3	3											
N. Dak.	-	0	3	7	9	-	0	0	-	1											
S. Dak.	-	0	2	10	3	-	0	1	6	-											
S. ATLANTIC	21	23	50	405	433	3	5	10	85	80											
Del.	-	0	3	7	1	-	0	0	-	-											
D.C.	-	0	6	18	4	-	0	2	3	-											
Fla.	5	6	16	97	94	2	1	4	25	21											
Ga.	6	4	10	69	97	-	0	0	-	-											
Md.	4	4	9	77	77	1	1	5	30	27											
N.C.	5	2	22	51	50	N	0	0	N	N											
S.C.	-	1	7	24	42	-	1	4	17	10											
Va.	1	2	12	50	62	-	0	4	7	20											
W. Va.	-	0	3	12	6	-	0	1	3	2											
E.S. CENTRAL	3	4	13	62	70	1	2	11	36	31											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	13	19	N	0	0	N	N											
Miss.	N	0	0	N	N	1	0	3	11	2											
Tenn.	3	3	13	49	51	-	2	9	25	29											
W.S. CENTRAL	10	7	70	166	119	6	5	60	91	92											
Ark.	1	0	1	3	10	1	0	2	5	6											
La.	-	0	1	3	13	-	0	2	1	22											
Okla.	5	1	9	53	34	2	1	4	34	19											
Tex.	4	5	61	107	62	3	3	56	51	45											
MOUNTAIN	4	10	25	204	240	1	5	12	89	83											
Ariz.	1	3	9	74	84	1	2	8	54	44											
Colo.	2	2	9	44	65	-	1	4	18	17											
Idaho	-	0	2	8	6	-	0	1	2	2											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	3	2	N	0	0	N	N											
N. Mex.	-	2	8	46	39	-	0	3	9	17											
Utah	1	1	5	27	41	-	0	4	6	3											
Wyo.	-	0	1	2	3	-	0	0	-	-											
PACIFIC	1	3	7	40	43	-	0	1	1	4											
Alaska	1	0	3	11	6	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	5	29	37	-	0	1	1	4											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	13	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


