
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 10, 2008 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	85	93	235	2,372	2,383	29	35	156	686	692											
NEW ENGLAND	1	5	24	135	200	-	1	5	39	57											
Conn.	-	0	22	13	49	-	0	4	-	10											
Maine	-	0	3	11	10	-	0	1	1	1											
Mass.	-	3	7	82	105	-	1	4	30	41											
N.H.	-	0	2	16	22	-	0	1	7	-											
R.I.	-	0	6	5	2	-	0	1	-	3											
Vt.	1	0	2	8	12	-	0	1	1	2											
MID. ATLANTIC	20	17	41	486	497	1	5	38	81	115											
N.J.	-	3	8	67	104	-	1	6	17	30											
N.Y. (Upstate)	13	6	20	174	141	1	2	14	39	47											
N.Y. City	-	4	10	82	122	-	1	35	25	38											
Pa.	7	5	16	163	130	N	0	0	N	N											
E.N. CENTRAL	4	16	59	492	447	5	5	22	148	116											
Ill.	-	4	15	130	145	-	2	6	32	28											
Ind.	-	2	11	63	48	-	0	14	19	7											
Mich.	1	3	10	77	106	-	1	5	37	41											
Ohio	3	5	15	141	122	1	1	5	26	34											
Wis.	-	0	38	81	26	4	0	9	34	6											
W.N. CENTRAL	20	5	39	215	173	10	2	23	61	41											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	31	22	-	0	2	10	1											
Minn.	18	0	35	101	82	9	0	21	24	23											
Mo.	1	2	10	48	44	-	1	2	18	13											
Nebr.	-	0	3	17	11	1	0	3	4	3											
N. Dak.	1	0	3	8	10	-	0	1	1	1											
S. Dak.	-	0	2	10	4	-	0	1	4	-											
S. ATLANTIC	25	22	51	483	515	1	5	10	92	101											
Del.	-	0	2	6	3	-	0	0	-	-											
D.C.	-	0	6	18	7	-	0	2	3	-											
Fla.	10	6	16	118	110	-	1	4	26	29											
Ga.	5	4	10	91	114	-	0	0	-	-											
Md.	3	4	9	87	92	1	1	5	34	35											
N.C.	5	2	22	62	55	N	0	0	N	N											
S.C.	-	1	6	29	52	-	1	4	19	12											
Va.	2	2	12	60	73	-	0	4	7	23											
W. Va.	-	0	3	12	9	-	0	1	3	2											
E.S. CENTRAL	3	4	13	76	87	3	2	11	47	41											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	16	23	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	13	3											
Tenn.	3	3	13	60	64	3	2	9	34	38											
W.S. CENTRAL	3	7	83	190	141	6	5	61	108	109											
Ark.	-	0	1	3	12	-	0	2	4	6											
La.	-	0	1	3	13	-	0	2	1	23											
Okla.	-	1	17	56	39	1	1	5	39	23											
Tex.	3	5	65	128	77	5	3	56	64	57											
MOUNTAIN	8	10	24	250	267	3	4	12	103	104											
Ariz.	2	4	9	90	95	-	2	8	60	53											
Colo.	5	2	9	60	69	3	1	4	26	23											
Idaho	-	0	2	9	6	-	0	1	2	2											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	1	0	2	6	2	N	0	0	N	N											
N. Mex.	-	2	7	49	46	-	0	3	9	22											
Utah	-	1	5	34	45	-	0	4	6	4											
Wyo.	-	0	1	2	4	-	0	0	-	-											
PACIFIC	1	3	7	45	56	-	0	2	7	8											
Alaska	1	0	3	13	9	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	6	32	47	-	0	2	7	8											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	16	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


