
TABLE IV.  Provisional cases of selected notifiable diseases, United States,  quarter ending March 29, 2008 (13 WEEK)

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS * current quarter
AIDS * previous 4 quarters median 
AIDS * previous 4 quarters maximum 
AIDS * cummulative for 2008
AIDS * cummulative for 2007
HIV/AIDS * current quarter
HIV/AIDS * previous 4 quarters median 
HIV/AIDS * previous 4 quarters maximum 
HIV/AIDS * cummulative for 2008
HIV/AIDS * cummulative for 2007
Tuberculosis current quarter
Tuberculosis previous 4 quarters median 
Tuberculosis previous 4 quarters maximum 
Tuberculosis cummulative for 2008
Tuberculosis cummulative for 2007

tab delimited data:
test
UNITED STATES	-	-	-	-	-	-	-	-	-	-	1,157	1,157	3,085	1,157	2,557						
NEW ENGLAND	-	-	-	-	-	-	-	-	-	-	24	24	44	24	56						
Conn.	-	-	-	-	-	-	-	-	-	-	21	21	29	21	30						
Maine	-	-	-	-	-	-	-	-	-	-	-	-	8	-	3						
Mass.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
N.H.	-	-	-	-	-	-	-	-	-	-	3	2	4	3	3						
R.I.	-	-	-	-	-	-	-	-	-	-	-	-	8	-	19						
Vt.	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1						
MID. ATLANTIC	-	-	-	-	-	-	-	-	-	-	402	402	539	402	379						
N.J.	-	-	-	-	-	-	-	-	-	-	58	58	152	58	80						
N.Y. (Upstate)	-	-	-	-	-	-	-	-	-	-	48	47	99	48	48						
N.Y. City	-	-	-	-	-	-	-	-	-	-	206	206	250	206	205						
Pa.	-	-	-	-	-	-	-	-	-	-	90	72	90	90	46						
E.N. CENTRAL	-	-	-	-	-	-	-	-	-	-	110	110	295	110	232						
Ill.	-	-	-	-	-	-	-	-	-	-	55	55	137	55	121						
Ind.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7						
Mich.	-	-	-	-	-	-	-	-	-	-	3	3	74	3	38						
Ohio	-	-	-	-	-	-	-	-	-	-	47	47	71	47	52						
Wis.	-	-	-	-	-	-	-	-	-	-	5	5	29	5	14						
W.N. CENTRAL	-	-	-	-	-	-	-	-	-	-	76	76	132	76	100						
Iowa	-	-	-	-	-	-	-	-	-	-	13	1	13	13	7						
Kans.	-	-	-	-	-	-	-	-	-	-	-	-	18	-	19						
Minn.	-	-	-	-	-	-	-	-	-	-	29	29	73	29	45						
Mo.	-	-	-	-	-	-	-	-	-	-	20	20	32	20	26						
Nebr.	-	-	-	-	-	-	-	-	-	-	12	7	12	12	1						
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
S. Dak.	-	-	-	-	-	-	-	-	-	-	2	2	6	2	2						
S. ATLANTIC	-	-	-	-	-	-	-	-	-	-	180	180	705	180	676						
Del.	-	-	-	-	-	-	-	-	-	-	-	-	7	-	5						
D.C.	-	-	-	-	-	-	-	-	-	-	18	-	18	18	11						
Fla.	-	-	-	-	-	-	-	-	-	-	39	39	288	39	213						
Ga.	-	-	-	-	-	-	-	-	-	-	40	40	177	40	274						
Md.	-	-	-	-	-	-	-	-	-	-	42	42	75	42	55						
N.C.	-	-	-	-	-	-	-	-	-	-	-	-	117	-	61						
S.C.	-	-	-	-	-	-	-	-	-	-	-	-	12	-	16						
Va.	-	-	-	-	-	-	-	-	-	-	33	33	125	33	37						
W. Va.	-	-	-	-	-	-	-	-	-	-	8	6	8	8	4						
E.S. CENTRAL	-	-	-	-	-	-	-	-	-	-	93	93	226	93	112						
Ala.	-	-	-	-	-	-	-	-	-	-	33	33	50	33	41						
Ky.	-	-	-	-	-	-	-	-	-	-	2	2	42	2	17						
Miss.	-	-	-	-	-	-	-	-	-	-	17	17	46	17	22						
Tenn.	-	-	-	-	-	-	-	-	-	-	41	41	88	41	32						
W.S. CENTRAL	-	-	-	-	-	-	-	-	-	-	116	116	472	116	401						
Ark.	-	-	-	-	-	-	-	-	-	-	8	8	33	8	21						
La.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Okla.	-	-	-	-	-	-	-	-	-	-	20	20	44	20	39						
Tex.	-	-	-	-	-	-	-	-	-	-	88	88	416	88	341						
MOUNTAIN	-	-	-	-	-	-	-	-	-	-	32	32	196	32	75						
Ariz.	-	-	-	-	-	-	-	-	-	-	17	17	158	17	14						
Colo.	-	-	-	-	-	-	-	-	-	-	3	-	9	3	17						
Idaho	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Mont.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Nev.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16						
N. Mex.	-	-	-	-	-	-	-	-	-	-	9	4	17	9	14						
Utah	-	-	-	-	-	-	-	-	-	-	3	3	12	3	14						
Wyo.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
PACIFIC	-	-	-	-	-	-	-	-	-	-	124	124	815	124	526						
Alaska	-	-	-	-	-	-	-	-	-	-	11	11	15	11	10						
Calif.	-	-	-	-	-	-	-	-	-	-	94	94	704	94	419						
Hawaii	-	-	-	-	-	-	-	-	-	-	19	19	37	19	32						
Oreg.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Wash.	-	-	-	-	-	-	-	-	-	-	-	-	70	-	65						
Amer. Samoa	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	-	-	-	-	-	-	-	-	-	-	-	35	-	6						
V.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Min: Minimum.
Max: Maximum.

* AIDS and HIV/AIDS data are not updated for this quarter because of upgrading of 
the national HIV/AIDS surveillance data management system.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


