
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 14, 2008 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	55	161	844	2,827	4,142	67	90	176	1,739	2,560	16	27	195	234	539						
NEW ENGLAND	-	26	49	268	641	8	8	20	154	243	-	0	2	-	4						
Conn.	-	1	5	-	30	6	4	17	86	101	-	0	0	-	-						
Maine	-	1	5	16	37	1	1	5	22	39	N	0	0	N	N						
Mass.	-	18	35	224	513	N	0	0	N	N	-	0	2	-	4						
N.H.	-	1	5	9	36	1	1	4	15	19	-	0	1	-	-						
R.I.	-	0	25	14	4	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	21	-	2	6	31	84	-	0	0	-	-						
MID. ATLANTIC	11	22	43	338	571	17	19	29	383	443	-	1	6	23	32						
N.J.	-	2	9	3	93	-	0	0	-	-	-	0	2	2	11						
N.Y. (Upstate)	7	7	23	127	284	17	9	20	184	205	-	0	2	5	1						
N.Y. City	-	2	7	29	63	-	0	2	10	25	-	0	2	10	12						
Pa.	4	8	23	179	131	-	8	18	189	213	-	0	2	6	8						
E.N. CENTRAL	5	18	188	592	790	2	3	43	28	40	-	0	3	3	19						
Ill.	-	3	8	51	87	N	0	0	N	N	-	0	3	1	14						
Ind.	-	0	12	21	17	-	0	1	1	5	-	0	2	1	1						
Mich.	2	4	16	76	126	1	1	32	16	22	-	0	1	-	2						
Ohio	3	9	176	444	373	1	1	11	11	13	-	0	2	1	2						
Wis.	-	0	13	-	187	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	1	11	143	257	279	6	4	13	55	111	5	4	33	56	93						
Iowa	-	2	8	30	87	1	0	3	9	12	-	0	5	-	6						
Kans.	-	1	4	24	51	-	0	7	-	67	-	0	2	-	5						
Minn.	-	0	131	63	40	-	0	6	19	6	-	0	4	-	1						
Mo.	-	2	18	107	41	2	0	3	12	9	4	3	25	55	74						
Nebr.	1	1	12	28	14	-	0	0	-	-	1	0	2	1	5						
N. Dak.	-	0	5	1	3	3	0	8	13	7	-	0	0	-	-						
S. Dak.	-	0	2	4	43	-	0	2	2	10	-	0	1	-	2						
S. ATLANTIC	8	13	50	260	455	29	39	61	912	1,054	2	9	109	69	245						
Del.	-	0	2	5	5	-	0	0	-	-	-	0	2	3	9						
D.C.	-	0	1	2	7	-	0	0	-	-	-	0	2	2	2						
Fla.	4	3	9	81	105	-	0	25	57	128	-	0	3	3	3						
Ga.	-	0	3	4	23	13	6	37	163	108	-	0	6	10	28						
Md.	1	1	6	29	61	-	9	18	183	182	-	1	6	14	19						
N.C.	2	0	38	61	159	15	9	16	228	230	-	0	96	11	131						
S.C.	-	1	22	31	42	-	0	0	-	46	1	0	5	9	20						
Va.	1	2	11	45	46	-	12	27	226	323	1	1	10	16	32						
W. Va.	-	0	12	2	7	1	0	11	55	37	-	0	3	1	1						
E.S. CENTRAL	3	7	31	92	122	-	1	7	64	9	1	4	16	38	101						
Ala.	-	1	6	19	33	-	0	0	-	-	-	1	10	11	26						
Ky.	1	0	4	14	11	-	0	3	14	9	-	0	2	-	2						
Miss.	-	3	29	37	31	-	0	1	2	-	-	0	3	3	5						
Tenn.	2	1	4	22	47	-	0	6	48	-	1	1	10	24	68						
W.S. CENTRAL	12	18	192	253	423	3	12	40	51	539	8	2	153	37	29						
Ark.	1	2	17	28	92	3	1	6	35	11	-	0	15	1	1						
La.	-	0	2	2	11	-	0	0	-	-	-	0	2	2	1						
Okla.	2	0	26	12	2	-	0	32	16	45	8	0	132	28	20						
Tex.	9	15	175	211	318	-	9	34	-	483	-	1	8	6	7						
MOUNTAIN	9	19	37	404	543	-	2	8	22	14	-	0	4	6	14						
Ariz.	1	3	10	93	146	N	0	0	N	N	-	0	2	4	3						
Colo.	3	4	13	66	136	-	0	0	-	-	-	0	2	-	-						
Idaho	-	1	4	18	21	-	0	4	-	-	-	0	1	-	2						
Mont.	-	0	11	56	30	-	0	3	-	1	-	0	1	1	-						
Nev.	-	0	7	15	21	-	0	2	1	1	-	0	0	-	-						
N. Mex.	-	1	7	21	27	-	0	3	14	4	-	0	1	1	2						
Utah	5	5	27	131	147	-	0	2	1	4	-	0	0	-	-						
Wyo.	-	0	2	4	15	-	0	4	6	4	-	0	2	-	7						
PACIFIC	6	18	303	363	318	2	4	10	70	107	-	0	1	2	2						
Alaska	1	1	29	37	19	-	0	4	12	36	N	0	0	N	N						
Calif.	5	9	129	149	180	2	3	8	56	70	-	0	1	1	1						
Hawaii	-	0	2	4	10	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	2	14	65	45	-	0	3	2	1	-	0	1	1	1						
