
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 21, 2008 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	82	99	258	3,099	3,129	21	34	166	917	982											
NEW ENGLAND	-	6	31	199	252	-	2	14	41	80											
Conn.	-	0	28	71	70	-	0	11	-	11											
Maine	-	0	3	15	18	-	0	1	1	1											
Mass.	-	2	7	83	127	-	1	5	30	52											
N.H.	-	0	2	16	20	-	0	1	7	8											
R.I.	-	0	6	5	2	-	0	1	2	6											
Vt.	-	0	2	9	15	-	0	1	1	2											
MID. ATLANTIC	16	16	43	635	622	5	4	19	115	183											
N.J.	-	3	9	94	119	-	1	6	21	36											
N.Y. (Upstate)	10	6	18	224	184	5	2	14	61	60											
N.Y. City	-	3	10	111	153	-	1	12	33	87											
Pa.	6	5	16	206	166	N	0	0	N	N											
E.N. CENTRAL	7	17	59	641	658	4	5	23	186	182											
Ill.	-	5	16	163	202	-	1	6	40	44											
Ind.	-	2	11	83	68	-	0	14	23	11											
Mich.	-	3	10	101	137	1	1	5	45	54											
Ohio	6	4	15	182	160	2	1	5	35	37											
Wis.	1	1	38	112	91	1	1	9	43	36											
W.N. CENTRAL	14	4	39	255	209	4	2	16	76	52											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	33	25	-	0	3	12	-											
Minn.	13	0	35	116	97	4	0	13	28	32											
Mo.	1	2	10	61	56	-	1	2	22	14											
Nebr.	-	0	3	24	15	-	0	3	5	5											
N. Dak.	-	0	5	9	10	-	0	2	4	1											
S. Dak.	-	0	2	12	6	-	0	1	5	-											
S. ATLANTIC	21	22	51	609	691	3	6	13	140	167											
Del.	-	0	2	6	5	-	0	0	-	-											
D.C.	-	0	2	12	15	-	0	1	1	2											
Fla.	1	6	11	145	162	3	1	4	39	35											
Ga.	5	4	10	123	142	-	1	5	9	38											
Md.	5	4	9	112	121	-	1	5	37	41											
N.C.	6	3	22	83	72	N	0	0	N	N											
S.C.	-	1	5	35	66	-	1	4	26	19											
Va.	4	3	12	77	90	-	1	6	24	28											
W. Va.	-	0	3	16	18	-	0	1	4	4											
E.S. CENTRAL	2	4	13	100	115	2	2	11	62	53											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	0	3	18	29	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	15	4											
Tenn.	1	3	13	82	86	2	2	9	47	49											
W.S. CENTRAL	11	7	84	249	176	1	5	66	137	129											
Ark.	-	0	2	4	14	-	0	2	5	8											
La.	-	0	1	3	13	-	0	2	1	24											
Okla.	1	1	19	65	42	-	1	7	45	29											
Tex.	10	5	64	177	107	1	3	58	86	68											
MOUNTAIN	9	11	22	341	330	2	5	12	150	127											
Ariz.	1	4	9	121	122	1	2	8	76	63											
Colo.	6	3	8	97	84	-	1	4	41	30											
Idaho	1	0	2	10	6	1	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	2	-											
Nev.	-	0	2	6	3	N	0	0	N	N											
N. Mex.	1	3	7	65	57	-	0	3	13	26											
Utah	-	1	5	37	53	-	0	4	14	6											
Wyo.	-	0	2	5	5	-	0	1	1	-											
PACIFIC	2	3	9	70	76	-	0	2	10	9											
Alaska	1	0	3	20	15	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	1	2	9	50	61	-	0	2	10	9											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	22	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	5	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


